Drug,Disease
DB01023,D001404
DB01037,D001404
DB01095,D001404
DB01140,D001404
DB01210,D001404
DB01217,D001404
DB01232,D001404
DB01324,D001404
DB01403,D001404
DB01619,D001404
DB11181,D001404
DB00222,D001424
DB00232,D001424
DB00449,D001424
DB00450,D001424
DB00455,D001424
DB00464,D001424
DB00471,D001424
DB00678,D001424
DB00838,D001424
DB01066,D001424
DB01084,D001424
DB01112,D001424
DB01159,D001424
DB01597,D001424
DB01613,D001424
DB00232,D001442
DB00449,D001442
DB00450,D001442
DB00455,D001442
DB00464,D001442
DB00471,D001442
DB00678,D001442
DB00838,D001442
DB01066,D001442
DB01112,D001442
DB01159,D001442
DB01597,D001442
DB00233,D001477
DB00287,D001477
DB00384,D001477
DB00424,D001477
DB00686,D001477
DB00828,D001477
DB00861,D001477
DB00951,D001477
DB01150,D001477
DB01586,D001477
DB00351,D001714
DB01101,D001734
DB01131,D001734
DB01586,D001734
DB00831,D001745
DB01057,D001745
DB01113,D001748
DB00361,D001749
DB00320,D001750
DB00321,D001750
DB00330,D001750
DB00341,D001750
DB00368,D001750
DB00374,D001750
DB00527,D001750
DB00799,D001750
DB00839,D001750
DB00880,D001750
DB01409,D001750
DB00295,D001752
DB00501,D001752
DB00297,D001759
DB00388,D001759
DB00622,D001759
DB00730,D001759
DB00756,D001759
DB00957,D001759
DB01101,D001759
DB01131,D001759
DB01223,D001759
DB01246,D001759
DB01415,D001759
DB00215,D001764
DB00215,D001764
DB00310,D001764
DB00320,D001764
DB00334,D001764
DB00684,D001778
DB00582,D001850
DB00715,D001850
DB00719,D001850
DB00407,D001919
DB01294,D001929
DB00203,D001932
DB00307,D001932
DB00309,D001932
DB00316,D001932
DB00319,D001932
DB00320,D001932
DB00320,D001932
DB00321,D001932
DB00325,D001932
DB00330,D001932
DB00331,D001932
DB00332,D001932
DB00634,D001932
DB00763,D001932
DB00206,D001943
DB00238,D001943
DB00478,D001943
DB00513,D001943
DB00705,D001943
DB01217,D001943
DB00432,D001984
DB00555,D001986
DB00987,D001986
DB01007,D001986
DB00301,D001991
DB00557,D001991
DB00672,D001991
DB00847,D001991
DB00205,D002006
DB00221,D002006
DB00294,D002006
DB00435,D002006
DB00446,D002006
DB00468,D002006
DB00484,D002006
DB00514,D002006
DB00539,D002006
DB00541,D002006
DB00542,D002006
DB00547,D002006
DB00559,D002006
DB00594,D002006
DB00619,D002006
DB00679,D002006
DB00697,D002006
DB00736,D002006
DB00783,D002006
DB00792,D002006
DB00818,D002006
DB00860,D002006
DB00985,D002006
DB01197,D002006
DB01213,D002006
DB01214,D002006
DB01248,D002006
DB01601,D002006
DB01606,D002006
DB00451,D002032
DB00206,D002056
DB00393,D002056
DB00512,D002056
DB00513,D002056
DB00609,D002056
DB00694,D002056
DB00700,D002056
DB00806,D002056
DB01037,D002056
DB01140,D002056
DB01217,D002056
DB01324,D002056
DB00206,D002062
DB00307,D002062
DB00312,D002062
DB00313,D002062
DB00317,D002062
DB00322,D002062
DB00324,D002062
DB00328,D002062
DB00625,D002062
DB00633,D002062
DB00694,D002062
DB00748,D002062
DB00757,D002062
DB00880,D002062
DB00955,D002062
DB01180,D002062
DB01216,D002062
DB01217,D002062
DB01392,D002062
DB01409,D002062
DB01169,D002100
DB00596,D002169
DB00774,D002169
DB00252,D002177
DB00750,D002177
DB00943,D002177
DB00677,D002178
DB00692,D002178
DB00903,D002178
DB00792,D002179
DB00368,D002180
DB00532,D002180
DB01403,D002180
DB00583,D002181
DB00582,D002277
DB00715,D002277
DB00719,D002277
DB01209,D002277
DB00385,D002280
DB00494,D002280
DB00719,D002280
DB00845,D002280
DB00978,D002280
DB00385,D002289
DB00582,D002289
DB00715,D002289
DB00719,D002289
DB00385,D002292
DB00582,D002292
DB00715,D002292
DB00719,D002292
DB00845,D002292
DB01182,D002292
DB01212,D002292
DB01231,D002292
DB00301,D002294
DB00446,D002294
DB00924,D002294
DB00594,D002303
DB00411,D002311
DB00411,D002389
DB00468,D002422
DB00672,D002422
DB00697,D002422
DB01247,D002422
DB01606,D002422
DB00629,D002481
DB00672,D002542
DB00783,D002542
DB01205,D002544
DB01247,D002544
DB00269,D002545
DB00449,D002547
DB00450,D002547
DB00467,D002547
DB00478,D002547
DB00688,D002547
DB00688,D002602
DB00765,D002644
DB01240,D002653
DB00387,D002690
DB00443,D002690
DB00894,D002690
DB00967,D002690
DB00414,D002694
DB00247,D002769
DB00414,D002769
DB00331,D002822
DB00532,D002822
DB00181,D002862
DB00653,D003003
DB00215,D003015
DB00244,D003015
DB00485,D003015
DB00532,D003015
DB00748,D003015
DB00955,D003015
DB00983,D003015
DB01161,D003015
DB01190,D003015
DB01216,D003015
DB01403,D003015
DB01409,D003015
DB01176,D003027
DB01180,D003027
DB01410,D003047
DB01601,D003085
DB00583,D003093
DB00187,D003095
DB00943,D003108
DB00407,D003109
DB00452,D003109
DB00523,D003109
DB00524,D003109
DB01193,D003109
DB00774,D003110
DB00582,D003139
DB00715,D003139
DB00719,D003139
DB00675,D003218
DB00987,D003218
DB00240,D003231
DB00248,D003231
DB00665,D003231
DB00800,D003231
DB00917,D003231
DB01189,D003231
DB01056,D003232
DB01057,D003232
DB01144,D003233
DB00760,D003234
DB00301,D003236
DB00594,D003236
DB00697,D003236
DB00738,D003236
DB00294,D003248
DB00581,D003248
DB01095,D003294
DB00633,D003320
DB00545,D003324
DB00756,D003327
DB00687,D003371
DB00393,D003424
DB00982,D003424
DB01056,D003424
DB00500,D003453
DB00243,D003457
DB00722,D003457
DB00745,D003457
DB00768,D003457
DB00784,D003457
DB00905,D003457
DB00960,D003457
DB00991,D003457
DB01400,D003457
DB00246,D003480
DB00368,D003480
DB00768,D003480
DB00949,D003480
DB00955,D003480
DB00768,D003490
DB00726,D003550
DB00772,D003550
DB00955,D003554
DB01172,D003554
DB01190,D003554
DB00233,D003556
DB00380,D003556
DB00571,D003556
DB00606,D003556
DB00630,D003556
DB00770,D003556
DB01049,D003556
DB01156,D003556
DB00706,D003586
DB00708,D003586
DB01190,D003586
DB01233,D003586
DB00253,D003693
DB00436,D003693
DB00207,D003704
DB00240,D003704
DB00715,D003866
DB00933,D003872
DB00989,D003872
DB00205,D003874
DB00857,D003874
DB00706,D003876
DB00708,D003876
DB00204,D003924
DB00408,D003925
DB00368,D003928
DB00625,D003928
DB00880,D003928
DB00949,D003928
DB00955,D003928
DB00610,D003929
DB00359,D003967
DB00624,D003967
DB01087,D004238
DB00369,D004320
DB01069,D004320
DB01131,D004320
DB00210,D004342
DB00214,D004342
DB00287,D004342
DB00288,D004342
DB00369,D004342
DB00382,D004342
DB00424,D004342
DB00482,D004342
DB00535,D004342
DB00596,D004342
DB00607,D004342
DB00686,D004342
DB00698,D004342
DB00701,D004342
DB00756,D004342
DB00765,D004342
DB00774,D004342
DB00828,D004342
DB00852,D004342
DB00951,D004342
DB00990,D004342
DB01014,D004342
DB01048,D004342
DB01091,D004342
DB01150,D004342
DB01151,D004342
DB01204,D004342
DB01296,D004342
DB01299,D004342
DB01396,D004342
DB01586,D004342
DB00190,D004374
DB00200,D004374
DB00376,D004374
DB00416,D004381
DB01183,D004381
DB00814,D004403
DB01333,D004403
DB00255,D004405
DB00482,D004405
DB00590,D004405
DB00814,D004405
DB01030,D004405
DB01195,D004405
DB01333,D004405
DB01400,D004405
DB00255,D004409
DB00545,D004409
DB00719,D004409
DB01139,D004409
DB01172,D004409
DB00175,D004412
DB00179,D004412
DB00354,D004412
DB00634,D004412
DB00635,D004412
DB00636,D004412
DB00809,D004412
DB00848,D004412
DB00904,D004412
DB01035,D004412
DB01119,D004412
DB01138,D004412
DB01157,D004412
DB01239,D004412
DB01241,D004412
DB01007,D004415
DB00250,D004417
DB00292,D004417
DB00295,D004417
DB00501,D004417
DB00521,D004417
DB00615,D004417
DB00695,D004417
DB00754,D004417
DB00767,D004417
DB00864,D004417
DB00959,D004417
DB01009,D004417
DB01104,D004417
DB01116,D004417
DB01203,D004417
DB01291,D004417
DB01421,D004417
DB00369,D004427
DB00669,D004427
DB00843,D004427
DB01007,D004427
DB00384,D004433
DB00760,D004433
DB00933,D004433
DB01144,D004443
DB01218,D004461
DB00784,D004485
DB00238,D004487
DB00264,D004487
DB00495,D004487
DB00586,D004487
DB00608,D004487
DB00737,D004487
DB00750,D004487
DB00849,D004487
DB01026,D004487
DB00196,D004604
DB00692,D004604
DB00215,D004614
DB00366,D004614
DB00537,D004614
DB00563,D004614
DB00731,D004614
DB00774,D004614
DB00946,D004614
DB00961,D004614
DB01114,D004614
DB00368,D004617
DB01144,D004617
DB00215,D004696
DB00266,D004696
DB00760,D004696
DB00199,D004697
DB00407,D004698
DB00421,D004698
DB01124,D004698
DB00333,D004714
DB00384,D004714
DB00443,D004714
DB00677,D004714
DB00721,D004714
DB00788,D004714
DB00903,D004714
DB00366,D004715
DB00563,D004715
DB00946,D004715
DB00876,D004751
DB01172,D004756
DB00252,D004761
DB00990,D004775
DB01151,D004775
DB00187,D004806
DB00772,D004820
DB00944,D004820
DB00814,D004823
DB00204,D004827
DB00251,D004827
DB00254,D004827
DB00285,D004827
DB00295,D004827
DB00347,D004827
DB00356,D004827
DB00405,D004827
DB00413,D004827
DB00501,D004827
DB00543,D004827
DB00621,D004827
DB00661,D004827
DB00666,D004827
DB00688,D004827
DB00768,D004827
DB00822,D004827
DB00836,D004827
DB01047,D004827
DB01056,D004827
DB01110,D004827
DB01166,D004827
DB01261,D004827
DB01325,D004827
DB01326,D004827
DB00716,D004828
DB00968,D004830
DB00222,D004832
DB00181,D004833
DB00203,D004834
DB00634,D004834
DB00215,D004894
DB00310,D004894
DB00685,D004894
DB00894,D004894
DB00967,D004894
DB01169,D004894
DB01427,D004894
DB00999,D004927
DB00783,D004932
DB00948,D004932
DB01073,D004932
DB00783,D004935
DB00792,D004935
DB00413,D004938
DB00426,D004938
DB00552,D004938
DB00887,D004938
DB00948,D004938
DB00331,D004941
DB00685,D004942
DB01176,D004942
DB01180,D004942
DB00187,D004948
DB00716,D004948
DB00777,D004948
DB00246,D005119
DB00839,D005119
DB01427,D005119
DB00686,D005128
DB00774,D005128
DB00951,D005128
DB00301,D005148
DB01025,D005157
DB00331,D005158
DB00955,D005158
DB00622,D005221
DB00730,D005221
DB00740,D005221
DB00765,D005221
DB00973,D005221
DB00977,D005221
DB01018,D005221
DB01223,D005221
DB01246,D005221
DB15351,D005221
DB01062,D005334
DB00549,D005348
DB00796,D005348
DB01359,D005348
DB01415,D005348
DB01018,D005354
DB00297,D005401
DB00564,D005401
DB01013,D005401
DB01415,D005401
DB00795,D005494
DB00795,D005512
DB01025,D005512
DB00297,D005533
DB00795,D005533
DB00796,D005533
DB01018,D005533
DB01025,D005533
DB01246,D005533
DB00181,D005734
DB00996,D005734
DB00987,D005759
DB01618,D005759
DB00532,D005764
DB00215,D005767
DB00245,D005767
DB00266,D005767
DB00307,D005767
DB00308,D005767
DB00309,D005767
DB00310,D005767
DB00312,D005767
DB00316,D005767
DB00317,D005767
DB00319,D005767
DB00320,D005767
DB00320,D005767
DB00321,D005767
DB00322,D005767
DB00324,D005767
DB00325,D005767
DB00328,D005767
DB00330,D005767
DB00331,D005767
DB00332,D005767
DB00334,D005767
DB00335,D005767
DB00336,D005767
DB00337,D005767
DB00368,D005767
DB00503,D005767
DB00527,D005767
DB00612,D005767
DB00625,D005767
DB00748,D005767
DB00757,D005767
DB00799,D005767
DB00880,D005767
DB00908,D005767
DB00943,D005767
DB00949,D005767
DB00955,D005767
DB01036,D005767
DB01161,D005767
DB01202,D005767
DB01392,D005767
DB01409,D005767
DB00750,D005770
DB00451,D005776
DB00818,D005776
DB00706,D005831
DB00708,D005831
DB00944,D005831
DB01088,D005873
DB01158,D005873
DB00537,D005879
DB00731,D005879
DB00961,D005879
DB00986,D005879
DB00366,D005901
DB00563,D005901
DB00946,D005901
DB00493,D005902
DB01088,D005909
DB01022,D006042
DB01057,D006069
DB00246,D006073
DB00341,D006073
DB00532,D006073
DB00634,D006073
DB00748,D006073
DB01216,D006073
DB01237,D006073
DB01392,D006073
DB00190,D006083
DB00200,D006083
DB00255,D006083
DB00376,D006083
DB00378,D006083
DB00427,D006083
DB00431,D006083
DB00447,D006083
DB00590,D006083
DB00599,D006083
DB00651,D006083
DB00665,D006083
DB01053,D006083
DB01324,D006083
DB00491,D006086
DB01144,D006130
DB00390,D006177
DB00861,D006192
DB01586,D006229
DB00177,D006258
DB00231,D006258
DB00316,D006258
DB00325,D006258
DB00368,D006258
DB00677,D006258
DB00788,D006258
DB00799,D006258
DB00903,D006258
DB01142,D006258
DB00413,D006261
DB00411,D006323
DB00252,D006327
DB00944,D006327
DB01023,D006327
DB01004,D006333
DB00737,D006356
DB00393,D006402
DB00190,D006470
DB00200,D006470
DB00255,D006470
DB00376,D006470
DB00378,D006470
DB00427,D006470
DB00431,D006470
DB00447,D006470
DB00590,D006470
DB00599,D006470
DB00651,D006470
DB00665,D006470
DB01053,D006470
DB01324,D006470
DB00582,D006473
DB01007,D006483
DB00532,D006484
DB00260,D006501
DB00366,D006501
DB00537,D006501
DB00563,D006501
DB00706,D006501
DB00708,D006501
DB00731,D006501
DB00834,D006501
DB00946,D006501
DB00961,D006501
DB00986,D006501
DB01114,D006501
DB00445,D006509
DB01056,D006509
DB01057,D006509
DB00484,D006558
DB00684,D006558
DB00834,D006560
DB00401,D006561
DB00245,D006562
DB00319,D006562
DB00320,D006562
DB00321,D006562
DB00763,D006562
DB00187,D006563
DB00839,D006563
DB00933,D006563
DB01103,D006563
DB00178,D006606
DB00296,D006606
DB00384,D006606
DB00441,D006606
DB00703,D006606
DB01026,D006606
DB00418,D006628
DB00493,D006628
DB00811,D006628
DB01029,D006628
DB00257,D006660
DB00263,D006660
DB00277,D006660
DB00278,D006660
DB00302,D006660
DB00461,D006660
DB00479,D006660
DB00493,D006660
DB00513,D006660
DB00734,D006660
DB00744,D006660
DB00811,D006660
DB00833,D006660
DB01023,D006660
DB01229,D006660
DB01298,D006660
DB00301,D006689
DB00816,D006816
DB01089,D006816
DB01222,D006816
DB01332,D006816
DB00215,D006925
DB00245,D006925
DB00317,D006925
DB00320,D006925
DB00322,D006925
DB00330,D006925
DB00331,D006925
DB00332,D006925
DB00368,D006925
DB00420,D006925
DB00503,D006925
DB00532,D006925
DB00625,D006925
DB00880,D006925
DB00949,D006925
DB00955,D006925
DB00983,D006925
DB00999,D006925
DB01064,D006925
DB01162,D006925
DB01216,D006925
DB01403,D006925
DB01409,D006925
DB00195,D006929
DB00231,D006929
DB00390,D006929
DB00677,D006929
DB00903,D006929
DB01064,D006929
DB01190,D006929
DB00363,D006932
DB00831,D006934
DB00882,D006934
DB00883,D006934
DB01057,D006934
DB01195,D006934
DB00633,D006937
DB00717,D006937
DB00910,D006937
DB00938,D006937
DB00999,D006937
DB01000,D006937
DB01173,D006937
DB01179,D006937
DB00420,D006938
DB00938,D006938
DB00983,D006938
DB00999,D006938
DB01000,D006938
DB01173,D006938
DB01179,D006938
DB01216,D006938
DB00968,D006945
DB01197,D006951
DB00215,D006961
DB00244,D006961
DB00245,D006961
DB00307,D006961
DB00309,D006961
DB00312,D006961
DB00313,D006961
DB00316,D006961
DB00317,D006961
DB00319,D006961
DB00320,D006961
DB00320,D006961
DB00321,D006961
DB00322,D006961
DB00324,D006961
DB00325,D006961
DB00328,D006961
DB00330,D006961
DB00332,D006961
DB00341,D006961
DB00368,D006961
DB00394,D006961
DB00503,D006961
DB00527,D006961
DB00625,D006961
DB00748,D006961
DB00880,D006961
DB00949,D006961
DB00955,D006961
DB01161,D006961
DB01409,D006961
DB00190,D006966
DB00200,D006966
DB00255,D006966
DB00376,D006966
DB00378,D006966
DB00427,D006966
DB00431,D006966
DB00447,D006966
DB00590,D006966
DB00599,D006966
DB00651,D006966
DB00665,D006966
DB01053,D006966
DB01324,D006966
DB00555,D006967
DB00468,D006973
DB00594,D006973
DB00672,D006973
DB01029,D006973
DB01601,D006973
DB00486,D006974
DB00238,D006976
DB00513,D006976
DB00478,D006978
DB00513,D006978
DB00705,D006978
DB00232,D006996
DB00250,D006996
DB00251,D006996
DB00254,D006996
DB00268,D006996
DB00285,D006996
DB00292,D006996
DB00295,D006996
DB00303,D006996
DB00347,D006996
DB00356,D006996
DB00405,D006996
DB00449,D006996
DB00450,D006996
DB00501,D006996
DB00521,D006996
DB00537,D006996
DB00543,D006996
DB00573,D006996
DB00615,D006996
DB00621,D006996
DB00657,D006996
DB00661,D006996
DB00666,D006996
DB00688,D006996
DB00688,D006996
DB00706,D006996
DB00708,D006996
DB00724,D006996
DB00754,D006996
DB00767,D006996
DB00822,D006996
DB00836,D006996
DB00838,D006996
DB00849,D006996
DB00864,D006996
DB00885,D006996
DB00944,D006996
DB00945,D006996
DB00959,D006996
DB01009,D006996
DB01047,D006996
DB01088,D006996
DB01104,D006996
DB01110,D006996
DB01116,D006996
DB01166,D006996
DB01203,D006996
DB01229,D006996
DB01261,D006996
DB01291,D006996
DB01326,D006996
DB01421,D006996
DB00366,D007003
DB00537,D007003
DB00563,D007003
DB00946,D007003
DB00961,D007003
DB00215,D007006
DB00266,D007006
DB00366,D007006
DB00537,D007006
DB00563,D007006
DB00731,D007006
DB00839,D007006
DB00946,D007006
DB00955,D007006
DB00961,D007006
DB00986,D007006
DB01114,D007006
DB01216,D007006
DB00432,D007008
DB00831,D007008
DB01056,D007008
DB01057,D007008
DB00132,D007020
DB00252,D007022
DB00665,D007022
DB01023,D007022
DB00717,D007024
DB00726,D007024
DB00908,D007024
DB00185,D007040
DB01125,D007169
DB00181,D007172
DB00562,D007172
DB00610,D007172
DB01413,D007172
DB00181,D007177
DB00996,D007177
DB01413,D007177
DB00252,D007235
DB00562,D007246
DB01413,D007246
DB00181,D007247
DB00247,D007248
DB00253,D007248
DB00351,D007248
DB01329,D007248
DB00577,D007249
DB00603,D007249
DB01166,D007249
DB00557,D007319
DB01601,D007319
DB00582,D007383
DB00715,D007383
DB00719,D007383
DB00269,D007431
DB00301,D007431
DB00411,D007431
DB01601,D007431
DB01602,D007431
DB01606,D007431
DB00384,D007500
DB00539,D007500
DB00541,D007500
DB00542,D007500
DB00547,D007500
DB01106,D007500
DB00247,D007592
DB01010,D007592
DB01032,D007592
DB00187,D007634
DB01166,D007635
DB01018,D007639
DB00985,D007642
DB01057,D007642
DB00233,D007674
DB00380,D007674
DB00560,D007674
DB00571,D007674
DB00606,D007674
DB00630,D007674
DB00770,D007674
DB01049,D007674
DB01156,D007674
DB00672,D007676
DB00545,D007680
DB00675,D007680
DB00560,D007710
DB00233,D007815
DB00380,D007815
DB00571,D007815
DB00606,D007815
DB00630,D007815
DB00770,D007815
DB01049,D007815
DB01156,D007815
DB00454,D007868
DB00988,D007868
DB00280,D007877
DB00289,D007877
DB00831,D007896
DB01056,D007896
DB01057,D007896
DB00176,D007898
DB00204,D007898
DB00213,D007898
DB00232,D007898
DB00250,D007898
DB00251,D007898
DB00254,D007898
DB00254,D007898
DB00257,D007898
DB00268,D007898
DB00285,D007898
DB00292,D007898
DB00302,D007898
DB00303,D007898
DB00347,D007898
DB00356,D007898
DB00384,D007898
DB00405,D007898
DB00421,D007898
DB00455,D007898
DB00481,D007898
DB00518,D007898
DB00521,D007898
DB00537,D007898
DB00543,D007898
DB00567,D007898
DB00615,D007898
DB00621,D007898
DB00645,D007898
DB00648,D007898
DB00649,D007898
DB00650,D007898
DB00661,D007898
DB00666,D007898
DB00682,D007898
DB00688,D007898
DB00695,D007898
DB00712,D007898
DB00754,D007898
DB00767,D007898
DB00822,D007898
DB00825,D007898
DB00836,D007898
DB00838,D007898
DB00841,D007898
DB00864,D007898
DB00885,D007898
DB00916,D007898
DB00919,D007898
DB00927,D007898
DB00959,D007898
DB00993,D007898
DB01009,D007898
DB01033,D007898
DB01047,D007898
DB01050,D007898
DB01088,D007898
DB01104,D007898
DB01110,D007898
DB01116,D007898
DB01121,D007898
DB01124,D007898
DB01155,D007898
DB01166,D007898
DB01196,D007898
DB01203,D007898
DB01208,D007898
DB01229,D007898
DB01261,D007898
DB01291,D007898
DB01325,D007898
DB01326,D007898
DB01421,D007898
DB01597,D007898
DB00295,D007938
DB00438,D007938
DB00501,D007938
DB00573,D007938
DB00657,D007938
DB00724,D007938
DB00780,D007938
DB00851,D007938
DB00945,D007938
DB01019,D007938
DB01022,D007938
DB01361,D007938
DB00196,D007943
DB00273,D007943
DB00519,D007943
DB00657,D007943
DB00944,D007943
DB01320,D007943
DB00573,D007945
DB00233,D007964
DB00380,D007964
DB00571,D007964
DB00606,D007964
DB00630,D007964
DB00770,D007964
DB01049,D007964
DB01156,D007964
DB00454,D008088
DB00438,D008103
DB00280,D008105
DB00348,D008105
DB00539,D008105
DB00541,D008105
DB00542,D008105
DB00547,D008105
DB00552,D008105
DB00948,D008105
DB01214,D008105
DB00204,D008113
DB01166,D008113
DB01325,D008113
DB00196,D008172
DB01607,D008175
DB00513,D008179
DB00808,D008179
DB01023,D008179
DB00452,D008180
DB00512,D008180
DB00846,D008180
DB00783,D008193
DB00308,D008223
DB00332,D008223
DB00881,D008223
DB00196,D008228
DB01007,D008228
DB01155,D008228
DB00420,D008269
DB01607,D008275
DB00280,D008288
DB00381,D008289
DB00950,D008289
DB01073,D008289
DB00381,D008305
DB00190,D008368
DB00200,D008368
DB00231,D008368
DB00255,D008368
DB00376,D008368
DB00378,D008368
DB00427,D008368
DB00431,D008368
DB00443,D008368
DB00447,D008368
DB00590,D008368
DB00591,D008368
DB00593,D008368
DB00599,D008368
DB00602,D008368
DB00651,D008368
DB00656,D008368
DB00665,D008368
DB00677,D008368
DB00692,D008368
DB00722,D008368
DB00768,D008368
DB00831,D008368
DB00869,D008368
DB00884,D008368
DB00903,D008368
DB01039,D008368
DB01053,D008368
DB01056,D008368
DB01057,D008368
DB01129,D008368
DB01192,D008368
DB01324,D008368
DB00373,D008415
DB00393,D008415
DB00363,D008527
DB01007,D008527
DB01225,D008545
DB01221,D008577
DB00675,D008583
DB00944,D008583
DB00945,D008583
DB01144,D008585
DB01406,D008585
DB00768,D008586
DB01406,D008586
DB00675,D008589
DB01085,D008589
DB00387,D008594
DB00763,D008594
DB00768,D008595
DB01406,D008595
DB00680,D008599
DB01330,D008607
DB01598,D008607
DB01330,D008654
DB01598,D008654
DB00443,D009041
DB00594,D009041
DB00775,D009041
DB00478,D009059
DB00285,D009101
DB00543,D009101
DB00621,D009101
DB01261,D009101
DB00285,D009103
DB00454,D009103
DB00543,D009103
DB00621,D009103
DB01261,D009103
DB01601,D009120
DB00215,D009127
DB00307,D009127
DB00308,D009127
DB00309,D009127
DB00310,D009127
DB00312,D009127
DB00313,D009127
DB00316,D009127
DB00317,D009127
DB00319,D009127
DB00320,D009127
DB00320,D009127
DB00321,D009127
DB00322,D009127
DB00324,D009127
DB00325,D009127
DB00328,D009127
DB00330,D009127
DB00331,D009127
DB00332,D009127
DB00334,D009127
DB00335,D009127
DB00336,D009127
DB00337,D009127
DB00368,D009127
DB00503,D009127
DB00527,D009127
DB00625,D009127
DB00748,D009127
DB00757,D009127
DB00799,D009127
DB00880,D009127
DB00955,D009127
DB01161,D009127
DB01409,D009127
DB01218,D009128
DB00190,D009157
DB00200,D009157
DB00255,D009157
DB00376,D009157
DB00378,D009157
DB00427,D009157
DB00431,D009157
DB00447,D009157
DB00590,D009157
DB00599,D009157
DB00651,D009157
DB00665,D009157
DB01053,D009157
DB01324,D009157
DB00532,D009164
DB00748,D009164
DB01403,D009164
DB00715,D009165
DB00719,D009165
DB01001,D009175
DB00379,D009182
DB00379,D009188
