Disease,Protein
D011471,Q8NEB7
D009765,Q108N2
D008175,Q08AH1
D011471,Q53FZ2
D001943,Q13707
D004715,Q13707
D005317,Q13707
D006528,Q9UMN3
D004938,Q9UMN3
D008175,Q9UMN3
D010003,Q9UMN3
D002311,P68032
D013274,P68032
D010024,Q96FU6
D001943,Q53SV1
D005910,Q53SV1
D006976,P37023
D002292,Q03154
D001321,Q16073
D008175,Q16073
D008175,Q9UKQ2
D011471,Q9UKQ2
D001943,Q8N8Z9
D011471,Q13443
D000544,Q8NE26
D001943,Q8NE26
D006528,Q8NE26
D006528,Q96P40
D016553,Q96P40
D012559,Q96AY5
D011085,Q9UKP4
D011471,Q5FWF1
D003924,Q9P2N4
D001943,P55265
D010300,Q86X17
D001249,Q7RTV6
D003093,P51828
D015470,P51828
D012559,P51828
D001249,Q6S992
D006528,Q96D30
D000075222,Q96D30
D012559,Q8IZF3
D010003,Q8IZP9
D006528,Q96K78
D001289,Q9HAR2
D000437,P00325
D015179,P00325
D004938,P00325
D009765,P00325
D006528,P08319
D004938,P40394
D011471,Q9BV57
D002292,Q15848
D003924,Q15848
D009765,Q15848
D001321,P35318
D011085,P35318
D001321,Q6DHZ8
D016584,P29274
D006528,P35348
D016584,P08913
D006528,P18089
D002311,P08588
D009765,P08588
D013274,P08588
D001321,Q9BYZ0
D002311,Q9BYZ0
D009765,Q9BYZ0
D011471,Q9BYZ0
D013274,Q9BYZ0
D009765,P13945
D001321,P30566
D009765,Q8TAX5
D012559,Q8NB90
D001943,P02771
D006528,P02771
D013274,P02771
D001321,Q9UPQ3
D001249,Q71BG7
D020961,Q71BG7
D010003,Q71BG7
D001943,Q4JM47
D011471,Q4JM47
D015470,Q96QF9
D001145,Q53YY1
D000075222,Q53YY1
D005317,Q53YY1
D011225,Q53YY1
D004374,Q6NUP5
D000075222,Q6NUP5
D010911,Q6NUP5
D013274,P50052
D006527,Q1RMG2
D011471,Q96HN2
D001321,Q9NQN3
D012559,Q9NQN3
D002292,Q9BVU3
D001943,P35869
D009765,P35869
D011471,P35869
D013274,P35869
D014029,P35869
D001327,Q6QLN7
D000075222,Q5STX8
D020961,Q5STX8
D010300,Q5STX8
D014277,Q5STX8
D009103,Q5T3W0
D010003,P27144
D009765,Q92667
D012559,Q9UKA4
D001943,Q86TJ9
D002292,Q12802
D004938,Q12802
D011471,Q12802
D006528,Q5T621
D004715,P15121
D004715,Q04828
D010003,Q04828
D011085,Q04828
D006528,Q1KXY7
D004715,Q1KXY7
D010003,Q1KXY7
D011085,Q1KXY7
D004715,P42330
D009765,P42330
D011085,P42330
D011471,P42330
D013274,P42330
D011125,P31749
D001943,P31749
D006528,P31749
D015179,P31749
D003924,P31749
D008175,P31749
D009765,P31749
D011471,P31749
D012559,P31749
D001749,P31749
D001943,Q6P4H3
D003924,Q6P4H3
D011471,Q6P4H3
D002292,P13716
D011471,P13716
D053713,Q6LEH2
D001927,Q6LEH2
D003093,Q6LEH2
D007627,Q6LEH2
D009404,Q6LEH2
D013274,Q6LEH2
D002292,Q5SYQ9
D020734,Q5SYQ9
D010003,Q9UED3
D020734,Q9UED3
D011471,Q9UED3
D013274,P47895
D000437,Q9UN17
D001249,Q9UN17
D015179,Q9UN17
D004938,Q9UN17
D010300,Q9UN17
D009765,Q02252
D013274,P49419
D001943,P04075
D013274,P05062
D001943,Q580I3
D002292,Q580I3
D009447,Q580I3
D009101,Q6P6C2
D011225,Q6P6C2
D001943,Q96BT7
D002311,Q8TCU4
D004938,P16050
D001249,P09917
D002292,P09917
D006976,P09917
D015464,P09917
D011471,P09917
D013274,P09917
C563236,P09917
D000083242,P20292
C538603,Q9BYJ1
D011471,Q9BYJ1
D012559,Q60I27
D008175,Q9H161
D015179,Q9UHK6
D011471,Q9UHK6
D000544,Q6PGR1
D001749,Q6PGR1
D005910,Q8IY63
D001943,Q9BY76
D009765,Q9BY76
D006528,Q8NI99
D008175,Q12955
D001749,Q9P2R3
D004715,Q9HCJ1
D004715,Q05DQ9
D008175,Q8IVF6
D008175,Q5SQ80
D001943,Q69YU3
D006528,Q9NQW6
D011085,Q9NQW6
D004715,Q32M45
D015179,Q6PKH8
D001749,P15144
D010024,Q32Q26
D011471,Q32Q26
D011471,Q5TZZ9
D015470,P07355
D008175,P07355
D010024,P07355
D001749,Q3ZCQ2
D008180,P12429
D011471,P12429
D006528,Q6P452
D002292,Q6P452
D015470,Q6P452
D011471,Q6P452
D006527,P08758
D015470,P08758
D011225,P08758
D013274,P08758
D015470,P08133
D011471,Q06278
D003924,Q6PK37
D002292,Q9H0R1
D011125,Q9UM98
D001321,Q9UM98
D006528,Q9UM98
D015179,Q9UM98
D015212,Q9UM98
D008175,Q9UM98
D011471,Q9UM98
D013274,Q9UM98
C536928,Q9UM98
D001943,Q9UNL8
D015179,Q9UNL8
D015212,Q9UNL8
D009765,Q8J025
D006528,P02743
D006528,Q5TZP7
D011471,Q5TZP7
D013274,Q5TZP7
D000544,Q4R1J8
D006528,Q9ULZ1
C535393,Q6LEJ8
D006528,Q6LEJ8
D008175,Q6LEJ8
D013274,Q6LEJ8
D003093,Q13784
D006938,Q13784
D012559,Q13784
D006953,Q6Q788
D006954,Q6Q788
C535393,Q7Z7Q0
D002446,Q7Z7Q0
D006938,Q7Z7Q0
D001943,P31941
D001943,Q9UH17
D001749,Q9UH17
D000544,P02654
D002446,P02656
D006938,P02656
D008175,P02656
D005910,P05090
D000544,Q8TCZ8
C564330,Q8TCZ8
C536595,Q8TCZ8
C536596,Q8TCZ8
D006527,Q8TCZ8
D006938,Q8TCZ8
D008175,Q8TCZ8
D009103,Q8TCZ8
D009765,Q8TCZ8
D012559,Q8TCZ8
D006528,Q13790
D012559,Q9BQE5
D012559,Q9BRG6
D000544,Q9BYY9
D001927,Q9BYY9
D011471,Q8NEU8
D001943,Q12898
D002292,Q12898
D004938,Q92482
D001749,Q92482
D001321,Q9H3V7
D009765,Q6P5T0
D015470,Q6FGT0
D000505,Q9UKJ6
D001321,Q9UKJ6
D001943,Q9UKJ6
D006528,Q9UKJ6
D008175,Q9UKJ6
D011471,Q9UKJ6
D001943,Q96II5
D000544,Q7LC44
D001249,P15514
D001943,P15514
D004715,P15514
D013274,P15514
D001943,P84077
D013274,Q8N6H7
D001249,P05089
D007154,P05089
D007896,P05089
D001249,P78540
D006976,P78540
D011471,P78540
D006528,Q6P4F7
D004715,Q9P2N2
D011085,Q7Z6I6
D011225,Q92619
D013274,Q13017
D001943,P52565
D007627,P52565
D006528,Q8N4T4
D008175,Q12774
D011471,Q12774
D006528,Q8NFD5
D009447,Q8NFD5
D006528,Q8WV72
D011471,Q8WV72
D006528,Q99856
D011471,Q05CG0
D006111,Q14865
D011471,Q15041
D015179,Q9UH46
D004715,Q9UH46
D001943,Q96B67
D001943,Q5T4W7
D001289,Q9HBK9
D008175,Q9HBK9
D012559,Q9HBK9
D001749,Q9HBK9
D002446,Q9NR71
D001749,Q8WWA4
D002292,Q8WXK1
D006528,Q9NVP2
D011471,Q9NR48
D001321,Q16515
D001321,P46597
D006527,P46597
D006528,Q86U10
D006528,Q4G1H2
D011085,Q4G1H2
D007627,Q6P528
D010003,Q6P528
D009396,Q76L82
D015470,Q76L83
D001749,Q76L83
D011471,Q49AP3
D011471,Q5SV16
D003924,Q7Z567
D011471,Q7Z567
D005910,Q9Y2D1
D006816,Q9Y2D1
D001943,Q9H0Y0
D008175,Q9BSB4
D010024,P31939
D001943,Q96QM9
D006528,Q96QM9
D002311,Q96QM9
D015451,Q96QM9
C537243,Q96QM9
D011471,Q96QM9
D013274,Q96QM9
D001749,Q96QM9
D015179,Q6IBA3
D008175,Q6IBA3
D010300,Q8N4D4
D020734,Q8N4D4
C535351,Q58I21
D010003,Q58I21
D020734,Q58I21
D000075222,Q6LEU2
D015470,Q6LEU2
D005910,Q58I19
D007644,P16615
D003924,P16615
D003924,Q93084
D000544,P25705
D001749,P30049
D001943,Q52LC2
D013274,Q8N8Y2
D010003,P21281
D006976,Q762B6
D001943,Q9HBD9
D015179,Q9HBD9
D006527,Q9HBD9
D011471,Q9HBD9
D009765,Q5TC12
D011471,Q9H6X2
D005910,Q86U63
D009447,Q86U63
D001943,Q5QPD4
D006528,Q5QPD4
D015179,Q5QPD4
D009447,Q5QPD4
D011471,Q5QPD4
D006528,Q96GD4
D013274,Q96GD4
D003924,Q75MQ7
D001145,Q9UMM9
D001321,Q9UMM9
D003919,Q9UMM9
D020790,Q9UMM9
D012559,Q9UMM9
D008175,Q5T686
D001321,P37288
D002311,Q9BRF5
D015179,Q9BRF5
C562785,P30530
D008175,P25311
D011085,P25311
D011471,P25311
D001327,Q16446
D011471,Q16446
C537243,Q9P2W7
D006111,Q9NY97
D046152,Q9UPM9
D015470,Q8WXS3
D000544,Q8IYC8
D002446,Q7Z6Q0
D003922,Q7Z6Q0
D015470,Q7Z6Q0
D011471,Q92934
D001943,Q99933
D010300,Q9UL15
D008180,Q8NDB2
D001943,Q96TC6
D002292,Q96TC6
D008175,Q96TC6
D011471,Q96TC6
D013274,Q96TC6
D001749,Q96TC6
D001943,Q99728
D009447,Q99728
D000544,Q8WXU1
D001943,Q8WXU1
D015179,Q8WXU1
D003924,Q8WXU1
D004938,Q8WXU1
D011085,Q8WXU1
D011471,Q8WXU1
D011471,Q9UIF9
D004938,Q9BXH1
D011471,Q6P5Z4
C537243,Q05CL3
D011471,Q05CL3
D000544,Q96HL2
D001943,Q96HL2
D002292,Q96HL2
D009103,Q96HL2
D009447,Q96HL2
D009765,Q96HL2
D000544,Q96PA0
D001249,Q96PA0
D001321,Q96PA0
D053713,Q96PA0
D001943,Q96PA0
D015179,Q96PA0
D003924,Q96PA0
D004938,Q96PA0
D015451,Q96PA0
D015470,Q96PA0
D008228,Q96PA0
D009101,Q96PA0
D011085,Q96PA0
C537243,Q96PA0
D011471,Q96PA0
D001749,Q96PA0
D001943,Q16548
D004938,Q16548
D006528,Q9H1R6
D003924,Q9H1R6
D008175,Q9H1R6
D009101,Q9H1R6
D013274,Q9H1R6
D008228,Q16413
D006528,Q9BYV7
D012516,Q6W2J9
D009396,Q6W2J9
D015464,Q6QJE9
D000544,Q6YNR1
D001321,Q6YNR1
D010300,Q6YNR1
D012559,Q6YNR1
D013274,Q6YNR1
D014029,Q6YNR1
D020961,Q14457
D008175,Q14457
D001249,P02818
D011471,P02818
D001943,P21810
C564714,P21810
D008175,Q8TAT1
D003924,Q93088
D006527,Q93088
D008228,Q93088
D006528,P55957
D013274,P55957
D000544,Q9BTH3
D001943,Q13490
D009447,Q13490
D013274,Q13490
D009447,Q13489
D001749,Q13489
D002292,Q6R308
D008180,Q05D26
D008180,Q6BDS2
C537243,Q6BDS2
D013274,P30043
D015451,Q96LC9
D005910,Q5T8Z6
D012516,Q5T8Z6
D001943,P12643
D015179,P12643
D013274,P12643
D001943,Q53XC5
D015179,Q53XC5
D010003,Q53XC5
D010024,Q53XC5
D010003,Q4VBA3
D004715,Q9NQQ8
D011471,Q9NQQ8
D013274,Q9NQQ8
D006528,Q8N8U9
D001943,Q13873
D006976,Q13873
D009101,Q6NVY4
D011471,Q6NVY4
D013274,Q6NVY4
D015179,Q96DN7
D046152,Q96DN7
D015179,Q8N9W6
D013274,Q6DKJ9
D012559,Q96B45
D001749,Q86TN2
D006528,Q75MQ8
D015179,Q75MQ8
D003924,Q75MQ8
D005910,Q75MQ8
D008175,Q75MQ8
D011471,Q75MQ8
D001943,Q9UE29
D011471,Q9UE29
D001943,Q9H4L3
D005910,Q9H4L3
D008175,Q9H4L3
D011471,Q9H4L3
D009396,Q9H4L3
D000505,Q6PIS5
D006976,Q6PIS5
D012516,Q6PIS5
D011471,Q6PIS5
D004715,Q9H0E9
D001943,Q3SYD8
D001943,Q9P0J6
D011471,P55201
D006528,Q54A51
D002292,Q54A51
D004938,Q54A51
D010300,Q10588
D012148,Q96Q07
D001321,P43251
D009101,Q6IBC8
D012559,Q6IBC8
D006528,P78543
D002292,Q6IAU3
D001943,P78410
D006528,Q9BXX5
D015179,Q9BXX5
D015451,Q9P2W6
D006528,Q8N912
D008180,P02745
D001943,Q07021
D004715,P00736
D001327,P09871
D050031,P09871
D003924,Q8NCU7
D003093,P01024
D003924,P01024
D001321,Q9UNU2
D001327,Q9UNU2
D006528,Q9UGI4
D013274,P00915
D008175,Q9NXM9
D006528,P00918
D010024,P00918
D013274,P00918
D009765,P07451
D006976,Q16790
D015464,Q16790
D015179,Q8TDN4
D004832,Q9UN69
D020325,Q9UN69
D001145,Q86XX1
D001321,Q86XX1
D001321,Q9NYY7
D004832,Q9NYY7
C535698,Q13698
D004832,Q9NY47
C562694,Q9NZA2
D020190,Q9NZA2
D015179,Q86Y37
D001321,Q9BY67
D001943,Q9BY67
D001321,Q86UW7
D001321,P06881
D006976,P06881
D020326,P06881
D010003,P06881
D011471,P06881
D014277,P06881
D015179,Q13137
D010024,P30988
D001749,Q8IU99
D000544,Q96HY3
D008175,P27482
D015179,P27797
D055728,P27797
D011471,P27797
D013922,P27797
D001289,Q9NYX4
D000075222,Q9NYX4
D006527,Q8IWE0
D012559,Q75LA8
D011085,Q4G1A8
D011471,Q8IZW1
D010024,Q5T0S3
D006528,P40123
D002292,Q9BPX3
D007627,Q9BPX3
D015470,Q9BPX3
D003924,Q9HC96
D015470,P17655
D011471,P04632
D002292,Q9BXL7
D010916,Q9BXL6
D009765,Q16568
D009103,Q5FBZ0
D009765,Q5FBZ0
D008228,Q92851
D013274,Q92851
D003922,Q6UXS9
D002292,P42575
D000544,P42574
D003093,P42574
D003924,P42574
D012559,P49662
D001943,Q5SVL2
D015470,Q5SVL2
D001943,Q6NVI2
D006528,Q6NVI2
D015179,Q6NVI2
D003924,Q6NVI2
D004938,Q6NVI2
D008175,Q6NVI2
C537243,Q6NVI2
D013274,Q6NVI2
D011471,Q5JRU8
C562694,Q86UN7
C537156,Q86UN7
D000544,Q9NQ75
D011471,Q86V15
D001249,Q6IB77
D001321,Q6IB77
D001943,Q6IB77
D006528,Q6IB77
D003922,Q6IB77
D003924,Q6IB77
D005910,Q6IB77
D008180,Q6IB77
D065631,Q6IB77
D001749,Q6IB77
D001943,Q2TNI1
D005902,Q2TNI1
D008175,Q2TNI1
D011471,Q2TNI1
D013274,Q2TNI1
D005902,Q53X57
D011471,Q53X57
D015470,Q13951
D009103,Q13191
D012559,P27352
D006976,Q8IUK8
D006528,P16152
D011471,P16152
D003924,Q5CCK7
D008228,Q5CCK7
D011471,Q9Y654
D015179,Q6I9T7
D006528,Q6UXH8
D012559,Q6PK04
D000544,Q05CP8
D003924,Q53HC0
D011471,Q5STF0
D009771,P32239
D016584,P32239
D004715,P22362
D006976,P22362
D001249,Q6I9T4
D004715,Q6I9T4
D006528,Q16627
D008175,P55774
D001249,P13500
D006976,P13500
D009101,P13500
D009765,P13500
D012559,P13500
D001943,P78556
D003093,P78556
D003922,P78556
D009103,P78556
D006528,P10147
D001249,P13501
D006528,P20248
D008175,P20248
D008175,P29279
D006528,P78396
D006528,P14635
D011085,P14635
D001943,Q6FI00
D006528,Q6FI00
D015179,Q6FI00
D004938,Q6FI00
D008175,Q6FI00
D009101,Q6FI00
D011471,Q6FI00
D013274,Q6FI00
D001749,Q6FI00
D015179,P30279
D003924,P30279
D015470,P30279
D011471,P30279
D001943,P24864
D006528,P24864
D001749,P24864
D004715,Q8WUE3
D011085,Q8WUE3
D006528,P41002
D008175,P51959
D001943,P51946
D004938,P51946
D011471,P51946
D006528,Q5U003
D002446,Q9ULM6
D005910,Q9ULM6
D015179,Q9UN28
D003093,P51684
D010024,P78371
D001943,P48643
D013274,Q6IBT3
D001943,Q6YHK3
D015179,Q6YHK3
D001249,P08571
D006528,Q86VB7
D009765,Q86VB7
D009404,Q5JVN7
D015179,Q15762
D004715,Q15762
D008180,Q15762
D002311,P26842
D006528,Q9NZQ7
D008175,Q9NZQ7
D013274,Q9NZQ7
D006528,Q5ZPR3
D011471,Q5ZPR3
D001327,P10747
D000544,Q9Y5K6
D000544,Q546G0
D015470,Q546G0
D006528,Q9UH97
D002311,Q13965
D002446,Q13965
D003924,Q13965
D046152,P07766
D006111,Q6LCP8
D001943,Q6P2H9
D006689,Q6P2H9
D009103,Q6P2H9
D009765,Q6P2H9
D001327,Q45QX2
D006689,Q45QX2
D006976,Q45QX2
D008180,Q45QX2
D011125,Q9P2Z2
D015470,Q9P2Z2
D009103,Q9P2Z2
D009447,Q9P2Z2
D013274,Q9P2Z2
D015451,P06127
D004715,P08174
D009103,Q9BRW0
D009103,Q8N4Q7
D009765,P34810
D003922,Q6LAB3
D002311,P32970
D001943,P04233
D002446,P33681
D009101,P42081
D015179,P21926
D015470,P21926
D011471,P21926
D009103,Q8WUE2
D001943,Q71UE9
D006528,Q12834
D006528,Q9H2F0
D011471,P30260
D006528,Q99741
D011085,Q99741
D006528,Q69YH5
D006528,Q99618
D006528,Q96FF9
D006528,Q53HL2
D001943,Q9UM11
D003093,Q9UM11
D015179,Q9UM11
D016481,Q9UM11
C537243,Q9UM11
D011471,Q9UM11
D013274,Q9UM11
D001749,Q9UM11
D001321,Q9Y6N8
D011471,P55289
D006528,P55290
D004938,P55290
D008175,P55290
D011471,P55290
D001943,P19022
D013274,P19022
D015179,Q49AS4
D001943,Q4VAI4
D015179,Q4VAI4
D015179,Q9ULB5
D001321,Q32LY1
D001249,Q6ZTQ4
D006528,P06493
D011471,Q9NYV4
D009103,Q00537
D011471,Q6IAV4
D006528,Q96BE9
D013274,Q96BE9
D001927,Q8TAM4
D015470,Q00534
D003924,Q5VV42
D008175,P38936
D011471,P38936
D013274,P38936
D001749,P38936
D001943,Q708J1
D006528,Q708J1
D016481,Q708J1
D008175,Q708J1
D010911,Q708J1
C537243,Q708J1
D011471,Q708J1
D013274,Q708J1
D008175,P49918
D001943,Q9UPB7
D006528,Q9UPB7
D015179,Q9UPB7
D004938,Q9UPB7
D005910,Q9UPB7
D008175,Q9UPB7
D009101,Q9UPB7
D009447,Q9UPB7
D013274,Q9UPB7
D001749,Q9UPB7
D006528,Q8NIA6
D005910,Q8NIA6
D006528,Q9P1T2
D013274,P55273
D006528,Q16667
D003924,Q16878
D006528,Q9H211
D013274,Q99626
D008175,Q3KRG8
D010300,P40199
D006528,P49715
D015470,P49715
D009765,P49715
D011225,P49715
D006528,Q9BSC0
D013274,Q9BSC0
D006528,Q504X4
D015470,Q504X4
D011471,Q5VZZ6
D012559,Q5VZZ6
D006528,Q9NYQ7
D006528,P49450
D006528,Q02224
D001943,P49454
D006528,P49454
D011471,P49454
D006528,Q9NSP4
D006528,Q09GN1
D006528,Q5EE01
D006528,Q9UPN4
D006528,Q53EZ4
D011085,Q53EZ4
D008175,P23141
D009765,P23141
D006528,Q9H4L8
D006938,Q9H4L8
D012559,Q49A14
D003093,P00751
D008180,P00751
D009157,P00751
D004715,P00746
D001943,P23528
D006528,P27918
D053713,Q9UMN4
D015179,Q9UMN4
D003550,Q9UMN4
C572845,Q96QJ4
D006528,Q13112
D015179,Q7Z4M7
D011471,Q7Z4M7
C537243,Q2TAZ1
D011471,Q2TAZ1
D001321,Q05CG6
D008175,Q05CG6
D012559,Q05CG6
D013274,Q05CG6
D015179,Q8TDI0
D009447,Q8TDI0
D009447,Q8TD26
D011471,Q8TD26
D001749,Q8TD26
D011471,Q9P2D1
D001321,Q9HCK8
D001943,Q6W8P8
D013274,Q96EP1
D010673,P10645
D005910,Q9NY41
D010003,Q9NY41
D012559,Q9NY41
D015470,Q9UKJ5
D012559,Q96FC9
D015470,Q9NZZ3
D010300,Q99653
D003922,Q96RH0
D001750,Q96RH0
D008175,Q15822
D000437,Q6EWN2
D008175,Q6EWN2
D014029,Q6EWN2
D001289,Q5RLM1
D001321,Q5RLM1
D000437,Q6EWN4
D008175,Q6EWN4
D014029,Q6EWN4
D014029,Q15825
D000544,Q693P7
D001321,Q693P7
D008175,Q693P7
D014029,Q693P7
D000544,Q5SXY3
D001289,Q5SXY3
D001321,Q5SXY3
D008175,P30926
D014029,P30926
D011471,Q8NCH0
D008175,Q7LFX5
D001321,Q562E6
D001289,Q96RK0
D009765,Q8N5P9
D000224,Q6LC19
D003924,Q8N5K1
D011471,Q5SYW2
D006528,Q8IYA6
D013274,P12277
D008175,Q9UQC9
C562694,P51788
D005910,P51788
D005910,Q7Z4M4
D013274,Q7Z4M4
D005910,P51795
C562901,P51795
D001249,P56856
D011471,Q75L79
D065631,Q75L79
D013274,Q75L79
D001943,Q75L80
D011085,Q75L80
D010024,Q9Y240
D000224,Q2KHT3
D003922,Q2KHT3
D008180,Q2KHT3
D009103,Q2KHT3
D006528,Q9P126
D006528,Q6UXB4
D006528,Q2TB20
D001943,Q5SRT3
D007627,Q5SRT3
D010003,Q5SRT3
D010003,Q6FIC5
D011471,Q6FIC5
D013274,Q9UP10
D008175,Q96KA5
D011471,Q96KA5
D001749,Q96KA5
D008175,P09497
D006528,Q9HBJ8
D000544,Q8IWM0
D008180,Q8IWM0
D010003,Q8IWM0
D011471,Q8IWM0
D001943,Q15846
D009103,Q9Y471
D001943,Q9NRP2
D003924,Q8IY22
D006528,Q96KN2
D004715,Q8TBE1
D003924,Q8WXI2
D002292,Q6FHE4
D011471,Q9BWY6
D001145,Q9H8M5
D015179,Q9BV87
D013274,Q9Y2B0
D001289,Q9BYY6
D004715,Q9BYY6
D006816,Q9BYY6
D009103,Q9BYY6
D009765,Q9BYY6
D012559,Q9BYY6
D001943,P34972
D007154,P34972
D015212,P34972
D015470,P34972
D001321,Q9P232
D001321,Q8IWV2
D001321,Q9UDV4
D010300,Q9UDV4
D012559,Q9UDV4
D006528,Q9C0A0
D006528,P39059
D011471,P39059
D010300,Q5JVU1
D001327,Q9UNF2
D007627,Q9UNF2
D009404,Q9UNF2
D010024,Q9UNF2
D010003,Q7KZ71
D010024,Q7KZ71
C537243,Q86Y22
D007873,Q2V4X9
D010003,Q2V4X9
D007627,P02461
D012559,P02461
D009404,Q14051
D009404,P08572
D007627,Q9UML4
D011471,Q9UML4
D011471,P25940
D008175,Q05BT9
D010003,Q6FHW5
D009396,P12111
D001943,Q02388
D015179,Q02388
D006528,Q9Y6Z7
D010003,P49747
D000437,P21964
D001289,P21964
D001321,P21964
D001943,P21964
D006528,P21964
D005317,P21964
D016584,P21964
D010673,P21964
D011471,P21964
D012559,P21964
D001321,Q8NHY2
D001327,P53621
D004715,P61201
D006528,Q92905
D013274,Q567U8
D001943,Q14019
D017241,Q9B2W6
D008175,Q14061
D017241,Q9B2U8
D009447,Q9B2U8
D006528,Q8TF08
D009765,P15954
D001321,Q6NSB2
D001927,Q6NSB2
D006528,Q6NSB2
D003922,Q6NSB2
D006527,Q6NSB2
D010300,Q6NSB2
D011225,Q6NSB2
D012559,Q6NSB2
D015179,Q6NVW5
D009765,Q96IY4
D008175,P16870
D009765,P16870
D015451,Q9BZB8
D006528,Q5QP71
D012559,Q6PUV4
D004715,P14384
D011471,Q05DL8
D002292,Q9Y646
D013274,Q10570
D001943,Q8WZ48
D003924,Q8WZ48
D009290,Q92523
D000544,Q9HC55
D008180,Q5SR47
D002292,P29762
D007627,P29762
D002292,Q8IY43
D009101,Q96SW2
D011471,Q5T4L2
D011471,Q4G0V0
D001749,Q4G0V0
D000505,P06850
D000544,P06850
D006528,P24387
D001943,Q8WXR7
D006528,Q5VVP7
D003922,Q5VVP7
D007896,Q5VVP7
D008175,Q5VVP7
D008180,Q5VVP7
D009765,Q5VVP7
D015464,Q16526
D015464,Q49AN0
D001327,Q71V83
D002292,P02511
D004938,P02511
D011471,P02511
D001327,P43320
D011471,Q9Y2S2
D009765,Q0QEL2
D001943,P09603
D010001,P09603
D001943,Q14085
D015470,Q14085
D001943,P04141
D015179,P04141
D015470,P04141
D008228,P04141
D009101,P04141
D001943,Q8N4W3
D002311,Q8N4W3
D004938,Q8N4W3
D006689,Q8N4W3
D006932,Q8N4W3
D015470,Q8N4W3
D008228,Q8N4W3
D009101,Q8N4W3
D001749,Q8N4W3
D008180,P41240
D006528,Q96PZ7
D001321,Q7Z407
D002292,Q7Z407
D006528,Q6UVK1
D006528,Q96S65
D002311,Q96S65
D011471,P21291
D011471,P01037
D013274,P01037
D000544,P01034
D015470,P01034
D001943,Q6IBD2
D011471,Q6IBD2
D020194,Q76LA1
D015179,Q6IP95
D011471,P56545
D001927,Q2NKJ3
D009765,Q16619
D005317,Q96IQ7
D001249,Q6GR94
D002446,Q6GR94
D006111,Q6GR94
D050031,Q6GR94
D008180,Q6GR94
D046152,Q16370
D015470,Q16370
D013274,Q49AD3
D001249,Q8WW10
D001943,P35222
D006528,P35222
D002311,P35222
D015179,P35222
D008175,P35222
D011471,P35222
D009396,P35222
D002292,Q8TAC7
D011471,Q8TAC7
D013274,P53634
D006528,P07339
D002292,P07339
D010003,P07339
D011471,P07339
D003922,Q6IBC3
D015470,Q6IBC3
D010003,Q6FHN2
D013274,Q9HBQ7
D009765,P25774
D015470,Q9UBR2
D001943,Q7Z7A3
D001943,Q2VPK5
C538556,Q96RV0
D011471,Q53S54
D001943,Q93034
D001321,Q14999
D002292,Q14999
D008175,Q9H720
D011471,Q6I9S9
D002446,P02778
D001943,P48061
D006528,P48061
D011471,P48061
D004715,Q53X90
D001943,P19875
D004938,P19875
D010003,P19875
D001943,P19876
D010003,P80162
D001943,P10145
D006528,P10145
D003093,P10145
D015179,P10145
D005764,P10145
D006527,P10145
D006976,P10145
D011471,P10145
D013274,P10145
