Drug,Protein
DB00200,Q9BXJ7
DB00200,O60494
DB00200,Q9Y4U1
DB00201,P30542
DB00201,P29274
DB00201,P29275
DB00201,P0DMS8
DB00201,Q01064
DB00201,Q08499
DB00201,Q13370
DB00201,O76074
DB00201,Q07343
DB00201,P21817
DB00201,P54750
DB00201,Q01064
DB00201,Q14123
DB00201,Q9Y233
DB00201,P27815
DB00201,Q07343
DB00201,Q08493
DB00201,Q08499
DB00201,Q9NP56
DB00201,O00408
DB00201,Q14432
DB00201,Q13370
DB00201,O76074
DB00201,P51160
DB00201,Q9HCR9
DB00201,Q13946
DB00201,O60658
DB00201,O95263
DB00201,O76083
DB00201,P16499
DB00201,P35913
DB00201,P78527
DB00201,O00329
DB00201,P42336
DB00201,P42338
DB00201,Q14643
DB00201,Q14571
DB00201,Q14573
DB00201,Q13315
DB00203,O76074
DB00203,P18545
DB00203,Q13956
DB00203,P11926
DB00203,Q9NZQ7
DB00204,Q12809
DB00204,O95069
DB00204,Q14500
DB00206,Q05940
DB00206,P54219
DB00206,O15392
DB00208,Q9H244
DB00210,P10826
DB00210,P13631
DB00210,P28702
DB00210,P48443
DB00210,P19793
DB00210,P05412
DB00210,O60603
DB00210,P10276
DB00210,P17174
DB00211,P35348
DB00211,P35368
DB00211,P25100
DB00213,P20648
DB00213,O94760
DB00214,P55011
DB00214,Q13621
DB00215,P31645
DB00215,P35367
DB00216,P28221
DB00216,P28222
DB00216,P30939
DB00216,P08908
DB00218,P43700
DB00218,P43702
DB00218,P11388
DB00218,P27169
DB00221,P08588
DB00221,P07550
DB00222,Q14654
DB00222,P48048
DB00222,Q09428
DB00226,P23975
DB00227,P04035
DB00227,P20701
DB00227,Q92769
DB00230,P54289
DB00232,Q13621
DB00232,P00915
DB00232,P00918
DB00232,P22748
DB00240,P04150
DB00241,P47869
DB00241,P34903
DB00241,P48169
DB00241,P31644
DB00241,Q16445
DB00241,P14867
DB00241,P47869
DB00241,P34903
DB00241,P48169
DB00241,P31644
DB00241,Q16445
DB00241,P18505
DB00241,P47870
DB00241,P28472
DB00241,O14764
DB00241,P78334
DB00241,Q8N1C3
DB00241,P18507
DB00241,Q99928
DB00241,O00591
DB00241,Q9UN88
DB00241,P14867
DB00241,P43681
DB00241,P36544
DB00241,P42262
DB00241,Q13002
DB00242,P23921
DB00242,P31350
DB00242,Q7LG56
DB00242,P09884
DB00242,Q07864
DB00242,P56282
DB00242,Q9NRF9
DB00242,Q9NR33
DB00242,P00491
DB00244,P35354
DB00244,P23219
DB00244,P09917
DB00244,P37231
DB00244,O15111
DB00244,O14920
DB00244,P35228
DB00245,P11229
DB00245,Q01959
DB00245,P35367
DB00245,P31645
DB00245,P23975
DB00246,P14416
DB00246,P28223
DB00246,P08908
DB00246,P28221
DB00246,P28335
DB00246,P21728
DB00246,P21918
DB00246,P35462
DB00246,P21917
DB00246,P28222
DB00246,P28566
DB00246,P50406
DB00246,P34969
DB00246,P35367
DB00246,P35348
DB00246,P35368
DB00246,P08913
DB00246,P18089
DB00246,P18825
DB00246,P11229
DB00246,P08172
DB00246,P20309
DB00246,P08173
DB00246,P08912
DB00246,P46098
DB00246,O95264
DB00246,Q8WXA8
DB00246,Q70Z44
DB00246,A5X5Y0
DB00246,P47898
DB00248,P14416
DB00248,P41595
DB00248,P35462
DB00248,P28223
DB00248,P18089
DB00248,P28221
DB00248,P21917
DB00248,P08913
DB00248,P08908
DB00248,P18825
DB00248,P21918
DB00248,P21728
DB00248,P28222
DB00248,P28335
DB00248,P34969
DB00248,P35348
DB00248,P35368
DB00248,P25100
DB00248,P08588
DB00248,P07550
DB00248,P21728
DB00248,P21918
DB00252,Q14524
DB00252,P35498
DB00252,Q12809
DB00252,Q13936
DB00252,Q01668
DB00252,O60840
DB00252,Q13698
DB00252,Q02641
DB00252,Q08289
DB00252,P54284
DB00252,O00305
DB00252,O00555
DB00252,Q99250
DB00252,Q9UQD0
DB00252,O75469
DB00252,Q07699
DB00252,Q9NY46
DB00252,P14867
DB00252,P47869
DB00252,P34903
DB00252,P48169
DB00252,P31644
DB00252,Q16445
DB00252,P18505
DB00252,P47870
DB00252,P28472
DB00252,O14764
DB00252,P78334
DB00252,Q8N1C3
DB00252,P18507
DB00252,Q99928
DB00252,O00591
DB00252,Q9UN88
DB00253,P04150
DB00255,Q92731
DB00255,P03372
DB00255,P62508
DB00255,P11474
DB00255,O95718
DB00255,Q15596
DB00255,O75469
DB00255,P10275
DB00255,P04278
DB00257,P10613
DB00257,O15554
DB00257,O75469
DB00257,Q8TDS4
DB00262,P00390
DB00264,P08588
DB00264,P07550
DB00264,P08588
DB00264,P07550
DB00264,P13945
DB00268,P35462
DB00268,P14416
DB00268,P21917
DB00268,P35348
DB00268,P35368
DB00268,P25100
DB00268,P08913
DB00268,P18089
DB00268,P18825
DB00270,Q13936
DB00270,P54289
DB00270,Q08289
DB00270,O95180
DB00270,Q9NY47
DB00270,Q01668
DB00270,Q13698
DB00273,P14867
DB00273,P35498
DB00273,Q9Y5Y9
DB00273,Q9UI33
DB00273,Q99250
DB00273,Q9NY46
DB00273,P35499
DB00273,Q14524
DB00273,Q01118
DB00273,Q9UQD0
DB00273,Q15858
DB00273,P39086
DB00273,Q13002
DB00273,Q13003
DB00273,Q16099
DB00273,Q16478
DB00273,P00918
DB00273,P22748
DB00273,Q13936
DB00273,Q01668
DB00273,O60840
DB00273,Q13698
DB00273,Q02641
DB00273,Q08289
DB00273,P54284
DB00273,O00305
DB00273,P00915
DB00273,P07451
DB00273,Q15878
DB00275,P30556
DB00276,P11388
DB00276,Q12809
DB00276,P02763
DB00276,P02768
DB00277,P30542
DB00277,P29274
DB00277,P29275
DB00277,Q07343
DB00277,O76074
DB00277,P27815
DB00277,Q14432
DB00277,Q92769
DB00277,Q99829
DB00277,Q8TCT9
DB00277,Q15155
DB00277,P09874
DB00277,Q7Z5B4
DB00277,Q9Y4R7
DB00278,P00734
DB00279,P10827
DB00279,P10828
DB00279,P12004
DB00280,Q14524
DB00280,P11229
DB00280,P08172
DB00280,P20309
DB00280,Q9NZV8
DB00280,Q9UK17
DB00280,Q12809
DB00280,P19652
DB00281,Q9Y5Y9
DB00281,Q15858
DB00281,Q14524
DB00281,P00533
DB00281,P35499
DB00281,P02763
DB00281,P19652
DB00282,P14324
DB00282,O95749
DB00282,P42574
DB00282,P55211
DB00283,P35367
DB00284,O43451
DB00284,P14410
DB00284,P04746
DB00284,P10253
DB00285,P31645
DB00285,P23975
DB00285,Q01959
DB00286,Q92731
DB00286,P03372
DB00287,P43088
DB00289,P23975
DB00289,P31645
DB00289,Q05586
DB00289,Q12879
DB00289,Q13224
DB00289,Q14957
DB00289,O15399
DB00289,Q8TCU5
DB00289,O60391
DB00289,P48549
DB00289,P41145
DB00290,P18858
DB00290,P49916
DB00295,P35372
DB00295,P41145
DB00295,P41143
DB00295,Q9Y6Y9
DB00297,Q9Y5Y9
DB00297,P34995
DB00302,P00747
DB00304,P06401
DB00304,P03372
DB00307,P19793
DB00307,P28702
DB00307,P48443
DB00308,Q13936
DB00308,Q02641
DB00308,Q12809
DB00308,P54289
DB00308,Q06432
DB00308,O00180
DB00308,Q9Y257
DB00308,Q9H252
DB00308,Q9NS40
DB00308,Q14654
DB00310,P00915
DB00310,Q13621
DB00313,Q9UKV0
DB00313,P45954
DB00313,Q02218
DB00313,P51649
DB00313,P35498
DB00313,Q9Y5Y9
DB00313,Q9UI33
DB00313,Q99250
DB00313,Q9NY46
DB00313,P35499
DB00313,Q14524
DB00313,Q01118
DB00313,Q9UQD0
DB00313,Q15858
DB00313,Q07699
DB00313,O60939
DB00313,Q9NY72
DB00313,Q8IWT1
DB00313,Q92769
DB00313,Q07869
DB00313,Q03181
DB00313,P37231
DB00313,Q13547
DB00313,Q969S8
DB00313,Q96DB2
DB00313,Q92769
DB00313,O15379
DB00313,P56524
DB00313,Q9UQL6
DB00313,Q9UBN7
DB00313,Q8WUI4
DB00313,Q9BY41
DB00313,Q9UKV0
DB00313,P38936
DB00313,P14210
DB00313,P11926
DB00313,Q9NZQ7
DB00315,P28222
DB00315,P28221
DB00315,P30939
DB00315,P28566
DB00315,P34969
DB00315,P08908
DB00315,P28223
DB00315,P41595
DB00316,P35354
DB00316,P23219
DB00316,Q15185
DB00316,Q8NER1
DB00318,P35372
DB00318,P41145
DB00318,P41143
DB00320,P28222
DB00320,P28221
DB00320,P30939
DB00320,P08913
DB00320,P08908
DB00320,P28566
DB00320,P28223
DB00320,P41595
DB00320,P28335
DB00320,P35348
DB00320,P35368
DB00320,P25100
DB00320,P08913
DB00320,P18089
DB00320,P18825
DB00320,P14416
DB00320,P35462
DB00320,P21917
DB00320,Q13639
DB00320,P13945
DB00321,P23975
DB00321,P31645
DB00321,P28223
DB00321,P08908
DB00321,P41143
DB00321,P41145
DB00321,P04629
DB00321,Q16620
DB00321,P35348
DB00321,P25100
DB00321,P08913
DB00321,P35367
DB00321,O43526
DB00321,Q09470
DB00321,P25021
DB00321,Q9H3N8
DB00321,Q99720
DB00321,P28335
DB00321,P35368
DB00321,P34969
DB00321,P28221
DB00321,P35372
DB00321,P28222
DB00321,P50406
DB00321,O43525
DB00321,P08909
DB00321,P11229
DB00321,P08172
DB00321,P20309
DB00321,P08173
DB00321,P08912
DB00321,Q12809
DB00321,Q9H252
DB00321,Q9NS40
DB00323,P21964
DB00324,P04150
DB00325,P16066
DB00327,P35372
DB00327,P41143
DB00327,P41145
DB00328,P35354
DB00328,P14555
DB00328,P23219
DB00328,Q8N8N7
DB00328,P37231
DB00328,Q04760
DB00328,Q9Y5Y4
DB00328,Q07869
DB00328,P42330
DB00328,P19525
DB00328,P23219
DB00328,P35354
DB00331,Q16134
DB00331,Q9Y478
DB00331,P21695
DB00332,P20309
DB00332,P11229
DB00332,P08172
DB00333,P35372
DB00333,Q05586
DB00333,Q12879
DB00333,Q13224
DB00333,Q14957
DB00333,O15399
DB00333,Q8TCU5
DB00333,O60391
DB00333,P41143
DB00333,P36544
DB00333,P46098
DB00333,P32297
DB00333,P43681
DB00333,P17787
DB00334,P28223
DB00334,P14416
DB00334,P21728
DB00334,P21918
DB00334,P35462
DB00334,P21917
DB00334,P28335
DB00334,P46098
DB00334,P50406
DB00334,P35367
DB00334,P35348
DB00334,P35368
DB00334,P11229
DB00334,P08172
DB00334,P20309
DB00334,P08173
DB00334,P21728
DB00334,P21918
DB00334,P08588
DB00334,P07550
DB00334,P13945
DB00334,P08908
DB00334,P28222
DB00334,P28221
DB00334,P28566
DB00334,P30939
DB00334,P14867
DB00334,P47869
DB00334,P34903
DB00334,P31644
DB00334,Q8N1C3
DB00334,P18507
DB00334,Q99928
DB00335,P08588
DB00335,P07550
DB00337,P42345
DB00337,P62942
DB00338,P20648
DB00338,P35869
DB00341,P35367
DB00342,P35367
DB00342,P20309
DB00342,P11229
DB00342,P08912
DB00342,P08173
DB00342,P08172
DB00342,Q12809
DB00343,Q13936
DB00343,Q06432
DB00346,P35348
DB00346,P35368
DB00346,P25100
DB00346,P35348
DB00346,P35368
DB00346,P25100
DB00349,P14867
DB00349,P47869
DB00349,P34903
DB00349,P48169
DB00349,P31644
DB00349,Q16445
DB00349,P18505
DB00349,P47870
DB00349,P28472
DB00349,O14764
DB00349,P78334
DB00349,Q8N1C3
DB00349,P18507
DB00349,Q99928
DB00349,O00591
DB00349,Q9UN88
DB00349,P14867
DB00349,P47869
DB00349,P34903
DB00349,P31644
DB00349,Q8N1C3
DB00349,P18507
DB00349,Q99928
DB00350,P48048
DB00350,P00797
DB00350,P23219
DB00351,P06401
DB00351,P04150
DB00353,P21728
DB00353,P41595
DB00354,P35367
DB00354,P11229
DB00356,Q12791
DB00357,P05108
DB00357,P11511
DB00361,P07437
DB00363,P21728
DB00363,P14416
DB00363,P35462
DB00363,P21917
DB00363,P21918
DB00363,P08908
DB00363,P28222
DB00363,P28221
DB00363,P28566
DB00363,P28223
DB00363,P46098
DB00363,P28335
DB00363,P50406
DB00363,P34969
DB00363,P18825
DB00363,P35367
DB00363,Q9H3N8
DB00363,P35348
DB00363,P35368
DB00363,P08913
DB00363,P18089
DB00363,P11229
DB00363,P08172
DB00363,P20309
DB00363,P08173
DB00363,P08912
DB00363,Q9NYX4
DB00363,P09211
DB00363,Q9UBS5
DB00363,O75899
DB00363,P14867
DB00363,P18505
DB00363,Q8N1C3
DB00364,P0DJD9
DB00364,P09038
DB00364,P01133
DB00364,P02671
DB00364,P02675
DB00364,P02679
DB00366,P35367
DB00366,Q14994
DB00366,P11229
DB00366,P08172
DB00366,P20309
DB00366,P08173
DB00366,P08912
DB00367,P06401
DB00367,P18405
DB00367,P03372
DB00367,P10275
DB00367,P04278
DB00367,P04150
DB00368,P35348
DB00368,P35368
DB00368,P25100
DB00368,P08913
DB00368,P18089
DB00368,P18825
DB00368,P08588
DB00368,P07550
DB00368,P13945
DB00368,P00439
DB00368,Q05940
DB00368,P54219
DB00371,P14867
DB00371,P47869
DB00371,P34903
DB00371,P48169
DB00371,P31644
DB00371,Q16445
DB00371,P18505
DB00371,P47870
DB00371,P28472
DB00371,O14764
DB00371,P78334
DB00371,Q8N1C3
DB00371,P18507
DB00371,Q99928
DB00371,O00591
DB00371,Q9UN88
DB00371,P14867
DB00371,P47869
DB00371,P34903
DB00371,P48169
DB00371,P31644
DB00371,Q16445
DB00373,P08588
DB00373,P07550
DB00373,P00720
DB00374,P43119
DB00374,P43116
DB00374,Q13258
DB00374,Q03181
DB00374,Q9H244
DB00376,P11229
DB00376,P08172
DB00376,P20309
DB00376,P08173
DB00376,P08912
DB00379,Q14524
DB00379,P35869
DB00380,P11388
DB00380,Q02880
DB00381,Q13936
DB00381,Q9P0X4
DB00381,Q00975
DB00381,Q02641
DB00381,Q8IZS8
DB00381,P00915
DB00381,P17405
DB00381,A0A024R8I1
DB00381,Q00975
DB00382,P06276
DB00382,P22303
DB00382,P23141
DB00384,P51170
DB00384,P37088
DB00384,P51168
DB00384,P51172
DB00385,P11388
DB00387,P20309
DB00387,P11229
DB00387,P08172
DB00387,P08173
DB00388,P35348
DB00388,P35368
DB00388,P25100
DB00390,P05023
DB00392,P11229
DB00392,Q8TCU5
DB00392,P08172
DB00393,Q13936
DB00393,Q01668
DB00393,O60840
DB00393,Q13698
DB00393,Q02641
DB00393,Q08289
DB00393,P54284
DB00393,O00305
DB00393,P08235
DB00393,P35869
DB00394,P04150
DB00396,P06401
DB00396,P08235
DB00396,P03372
DB00396,P05093
DB00396,P41145
DB00396,P02763
DB00396,P04150
DB00396,P10275
DB00396,P04278
DB00396,Q92731
DB00397,P21728
DB00397,P08588
DB00397,P07550
DB00397,P08913
DB00397,P18089
DB00397,P18825
DB00398,P15056
DB00398,P04049
DB00398,P35916
DB00398,P35968
DB00398,P17948
DB00398,P36888
DB00398,P09619
DB00398,P10721
DB00398,P11362
DB00398,P07949
DB00399,O95749
DB00399,P14324
DB00401,Q13936
DB00401,P54289
DB00401,Q08289
DB00401,Q01668
DB00401,Q13698
DB00404,P14867
DB00404,P47869
DB00404,P34903
DB00404,P48169
DB00404,P31644
DB00404,Q16445
DB00404,P18505
DB00404,P47870
DB00404,P28472
DB00404,O14764
DB00404,P78334
DB00404,Q8N1C3
DB00404,P18507
DB00404,Q99928
DB00404,O00591
DB00404,Q9UN88
DB00404,P14867
DB00404,P47869
DB00404,P34903
DB00404,P31644
DB00404,Q8N1C3
DB00404,P18507
DB00404,Q99928
DB00405,P35367
DB00407,P01008
DB00407,P05546
DB00408,P28223
DB00408,P14416
DB00408,P28335
DB00408,P08908
DB00408,P28222
DB00408,P28221
DB00408,P28566
DB00408,P46098
DB00408,P47898
DB00408,P50406
DB00408,P34969
DB00408,P35348
DB00408,P35368
DB00408,P08913
DB00408,P18089
DB00408,P18825
DB00408,P08588
DB00408,P11229
DB00408,P08172
DB00408,P20309
DB00408,P08173
DB00408,P08912
DB00408,P21728
DB00408,P21918
DB00408,P35462
DB00408,P21917
DB00408,P21918
DB00408,P35367
DB00408,P25021
DB00408,Q9H3N8
DB00408,P31645
DB00408,P23975
DB00408,Q01959
DB00408,P21728
DB00412,P37231
DB00412,O60488
DB00412,Q07869
DB00412,Q03181
DB00412,P19793
DB00412,P28702
DB00412,P48443
DB00413,P35462
DB00413,P14416
DB00413,P21917
DB00413,P08908
DB00413,P08913
DB00414,P48048
DB00419,Q16739
DB00421,P08235
DB00421,P04150
DB00421,P10275
DB00421,P06401
DB00421,P03372
DB00421,Q92731
DB00421,O75469
DB00421,Q13936
DB00421,Q01668
DB00421,O60840
DB00421,Q13698
DB00421,Q02641
DB00421,Q08289
DB00421,P54284
DB00421,O00305
DB00421,O00555
DB00422,Q01959
DB00422,P08908
DB00422,P23975
DB00424,P11229
DB00424,P08172
DB00424,P20309
DB00424,P08173
DB00424,Q08828
DB00427,P35367
DB00428,Q89ZI2
DB00428,P11168
DB00428,O60502
DB00433,P14416
DB00433,P35367
DB00433,P35348
DB00433,P35368
DB00433,P25100
DB00433,P08913
DB00433,P18089
DB00433,P18825
DB00434,P35367
DB00434,P28223
DB00434,P28335
DB00434,P25021
DB00434,P41595
DB00434,P11229
DB00434,P08172
DB00434,P20309
DB00434,P34969
DB00436,P55017
DB00436,Q12791
DB00436,P00915
DB00436,P00918
DB00436,P22748
DB00437,P47989
DB00440,P0ABQ4
DB00441,P23921
DB00441,P04818
DB00441,P30085
DB00443,P04150
DB00444,P11388
DB00445,P11388
DB00448,P20648
DB00448,P10636
DB00449,P35348
DB00449,P08913
DB00449,P07550
DB00449,P06276
DB00449,P22303
DB00451,P06756
DB00451,P05106
DB00451,P10827
DB00451,P10828
DB00454,P41145
DB00454,Q05586
DB00454,Q13224
DB00454,Q12879
DB00454,Q14957
DB00454,O15399
DB00454,P11229
DB00454,P08172
DB00454,P20309
DB00454,P08173
DB00454,P08912
DB00454,P35372
DB00454,Q01959
DB00454,P23975
DB00454,P31645
DB00454,P23141
DB00455,P35367
DB00455,Q12809
DB00457,P35348
DB00457,P35368
DB00457,P25100
DB00457,Q12809
DB00457,P08913
DB00457,P18089
DB00457,P35348
DB00457,P35368
DB00457,P25100
DB00458,P23975
DB00458,P31645
DB00458,P28223
DB00458,P35367
DB00458,P35348
DB00458,P25100
DB00458,P11229
DB00458,P08172
DB00458,P20309
DB00458,P08173
DB00458,P08912
DB00458,Q9NZV8
DB00458,Q9UK17
DB00458,P28335
DB00458,P35368
DB00458,P34969
DB00458,P21728
DB00458,P21918
DB00458,P14416
DB00458,Q12809
DB00458,Q01959
DB00458,P08908
DB00458,P50406
DB00458,O95259
DB00458,P19652
DB00461,P35354
DB00461,P23219
DB00464,P07225
DB00464,P04070
DB00465,P35354
DB00465,P23219
DB00468,P14770
DB00468,O15554
DB00469,P35354
DB00469,P23219
DB00470,P21554
DB00470,P34972
DB00471,Q9Y271
DB00471,P09917
DB00472,P31645
DB00472,P28335
DB00472,Q15822
DB00472,P32297
DB00472,P30926
DB00472,P61024
DB00472,Q12809
DB00475,P14867
DB00475,P47869
DB00475,P34903
DB00475,P48169
DB00475,P31644
DB00475,Q16445
DB00475,P18505
DB00475,P47870
DB00475,P28472
DB00475,O14764
DB00475,P78334
DB00475,Q8N1C3
DB00475,P18507
DB00475,Q99928
DB00475,O00591
DB00475,Q9UN88
DB00475,P14867
DB00475,P47869
DB00475,P34903
DB00475,P31644
DB00475,Q8N1C3
DB00475,P18507
DB00475,Q99928
DB00476,P31645
DB00476,P23975
DB00476,Q01959
DB00477,P14416
DB00477,P21728
DB00477,P08908
DB00477,P28223
DB00477,P35348
DB00477,P35368
DB00477,P35367
DB00477,Q12809
DB00477,P21728
DB00477,P21918
DB00477,P35462
DB00477,P21917
DB00477,P21918
DB00477,P28335
DB00477,P28223
DB00477,P41595
DB00477,P28335
DB00477,P35348
DB00477,P35368
DB00477,P25100
DB00477,P08913
DB00477,P18089
DB00477,P18825
DB00477,P11229
DB00477,P20309
DB00477,P17405
DB00477,P0DP23
DB00477,P02763
DB00477,P19652
DB00477,P50406
DB00477,P34969
DB00477,Q9H3N8
DB00480,Q96SW2
DB00480,O14788
DB00480,P33151
DB00480,P35354
DB00481,P03372
DB00481,Q92731
DB00481,P50453
DB00481,P04155
DB00482,P35354
DB00482,P00918
DB00482,P07451
DB00482,P55287
DB00482,O15530
DB00482,Q99519
DB00484,P08913
DB00484,P18089
DB00484,P18825
DB00489,P08588
DB00489,P07550
DB00489,Q12809
DB00490,P08908
DB00490,P14416
DB00490,P35462
DB00490,P21917
DB00490,P35348
DB00490,P35368
DB00490,P25100
DB00491,P10253
DB00491,Q14697
DB00491,Q8TET4
DB00491,O43451
DB00492,P12821
DB00494,P21964
DB00497,P35372
DB00497,P41145
DB00497,P41143
DB00499,P10275
DB00499,P35869
DB00499,O75469
DB00500,P35354
DB00500,P23219
DB00501,P25021
DB00502,P28335
DB00502,P14416
DB00502,P28223
DB00502,P35462
DB00502,Q99705
DB00502,Q05940
DB00502,Q99720
DB00502,P35367
DB00502,P20309
DB00502,P35348
DB00502,P08913
DB00502,P18089
DB00502,P18825
DB00502,P08908
DB00502,P50406
DB00502,P34969
DB00502,Q13224
DB00502,P21728
DB00508,P14416
DB00508,P21728
DB00508,P41595
DB00508,P11229
DB00508,P08172
DB00514,Q99720
DB00514,Q8TCU5
DB00514,Q15822
DB00514,P31645
DB00514,O00264
DB00514,P32297
DB00514,P43681
DB00514,P30926
DB00514,P17787
DB00514,P36544
DB00514,P35372
DB00514,P41143
DB00514,P41145
DB00514,P04839
DB00514,P13498
DB00514,P14598
DB00514,P19878
DB00514,Q15080
DB00514,P63000
DB00514,P15153
DB00514,P23975
DB00515,P29372
DB00515,P01023
DB00515,P02787
DB00515,O00244
DB00519,P12821
DB00521,P07550
DB00521,P08588
DB00523,P10276
DB00523,P19793
DB00523,P10826
DB00523,P28702
DB00523,P13631
DB00523,P48443
DB00523,P17936
DB00523,Q15238
DB00523,Q6V0L0
DB00524,P55017
DB00527,Q14524
DB00527,Q9Y5Y9
DB00527,P0DP23
DB00528,Q06432
DB00530,O75469
DB00530,P00533
DB00531,O75469
DB00532,Q14524
DB00532,O75469
DB00535,P08149
DB00535,Q60FT7
DB00535,P05164
DB00536,P05091
DB00536,P07998
DB00536,P78352
DB00536,P00720
DB00536,Q14353
DB00536,P53608
DB00537,P43702
DB00537,P43700
DB00537,P11388
