Drug,Protein
DB00143,P36969
DB00143,Q8TED1
DB00143,P00390
DB00143,P48637
DB00143,P09488
DB00143,Q9Y2Q3
DB00143,Q16772
DB00143,P21266
DB00143,O15217
DB00143,Q03013
DB00143,Q7RTV2
DB00143,P09211
DB00143,P78417
DB00143,P07203
DB00143,P18283
DB00143,P30711
DB00143,O43708
DB00143,O75715
DB00143,P22352
DB00143,Q04760
DB00143,Q16873
DB00143,O14880
DB00143,O60760
DB00143,P08263
DB00143,P09210
DB00143,P10620
DB00143,P10768
DB00143,P19440
DB00143,P28161
DB00143,P35754
DB00143,P36969
DB00143,P46439
DB00143,P59796
DB00143,Q16775
DB00143,Q6NSD4
DB00143,Q96SL4
DB00143,Q99735
DB00143,Q9H4Y5
DB00143,Q9NS18
DB00146,P11473
DB00148,P06732
DB00148,P12532
DB00148,P12277
DB00148,P17540
DB00148,P48029
DB00148,Q14353
DB00152,Q9H3S4
DB00153,P11473
DB00153,Q06432
DB00153,Q9Y698
DB00153,O60359
DB00153,Q9UBN1
DB00153,Q9UF02
DB00153,Q9BXT2
DB00153,P62955
DB00153,Q8WXS5
DB00153,P54289
DB00153,Q9NY47
DB00153,Q8IZS8
DB00153,Q7Z3S7
DB00153,Q13936
DB00153,Q01668
DB00153,O60840
DB00153,Q13698
DB00153,Q02641
DB00153,Q08289
DB00153,P54284
DB00153,O00305
DB00153,Q00975
DB00153,O00555
DB00153,Q15878
DB00153,O43497
DB00153,O95180
DB00153,Q9P0X4
DB00157,O60701
DB00157,P07327
DB00157,Q00796
DB00157,P08319
DB00157,P00326
DB00157,P00325
DB00157,P40394
DB00157,P21695
DB00157,Q6ZMR3
DB00157,P11766
DB00157,P15121
DB00157,Q99714
DB00157,P40926
DB00157,P00338
DB00157,P23368
DB00157,P51659
DB00157,Q9BYZ2
DB00157,P07864
DB00157,P07195
DB00157,Q08426
DB00157,Q16836
DB00157,Q16798
DB00157,Q02338
DB00157,P40925
DB00157,P31937
DB00157,P37058
DB00157,P04035
DB00157,P48163
DB00157,O43175
DB00157,P56937
DB00157,P51553
DB00157,O43837
DB00157,P50213
DB00157,P14061
DB00157,P37059
DB00157,Q92781
DB00157,O95479
DB00157,Q92506
DB00157,P17516
DB00157,P12268
DB00157,P42330
DB00157,P15428
DB00157,Q13630
DB00157,Q04828
DB00157,P28845
DB00157,P26439
DB00157,P14060
DB00157,P20839
DB00157,P40939
DB00157,P05091
DB00157,P80365
DB00157,P52895
DB00157,Q15738
DB00157,P48448
DB00157,Q02252
DB00157,P30838
DB00157,P00352
DB00157,O14556
DB00157,P49189
DB00157,P47895
DB00157,P30837
DB00157,P43353
DB00157,P04406
DB00157,O94788
DB00157,P51648
DB00157,P51649
DB00157,P49419
DB00157,P30043
DB00157,Q96C36
DB00157,P32322
DB00157,P00367
DB00157,P11177
DB00157,P29803
DB00157,P08559
DB00157,P53004
DB00157,P16219
DB00157,P00374
DB00157,Q02218
DB00157,P49448
DB00157,Q9UBM7
DB00157,P16083
DB00157,P03891
DB00157,Q9UDR5
DB00157,P03897
DB00157,O75251
DB00157,P11586
DB00157,P13995
DB00157,P30038
DB00157,P00387
DB00157,Q86Y39
DB00157,P03905
DB00157,P09417
DB00157,P03886
DB00157,Q13423
DB00157,Q16718
DB00157,Q16795
DB00157,P03901
DB00157,O95299
DB00157,O95182
DB00157,O15239
DB00157,P03923
DB00157,P03915
DB00157,O00483
DB00157,P56556
DB00157,O14561
DB00157,O43678
DB00157,P51970
DB00157,O95167
DB00157,O95169
DB00157,O95298
DB00157,O75438
DB00157,P28331
DB00157,O96000
DB00157,O95168
DB00157,O43676
DB00157,O95178
DB00157,P17568
DB00157,Q9Y6M9
DB00157,O75306
DB00157,O43674
DB00157,O43677
DB00157,O95139
DB00157,P56181
DB00157,P09622
DB00157,O75489
DB00157,P00390
DB00157,Q9UI09
DB00157,O43920
DB00157,O43181
DB00157,P49821
DB00157,P19404
DB00157,Q9P0J0
DB00157,Q16878
DB00157,O75380
DB00157,Q9NRX3
DB00157,O00217
DB00157,Q02928
DB00157,P10515
DB00157,P48728
DB00157,Q15800
DB00157,P09601
DB00157,P30519
DB00157,P05093
DB00157,P14679
DB00158,P41439
DB00158,P14207
DB00158,P15328
DB00159,P35354
DB00159,P23219
DB00159,P37231
DB00159,Q03181
DB00159,O14842
DB00159,P32418
DB00159,O15540
DB00159,O60427
DB00159,O60488
DB00159,Q8NER1
DB00159,Q07869
DB00159,P09917
DB00160,P21549
DB00160,P24298
DB00160,Q9Y697
DB00160,Q7Z2H8
DB00160,Q9UHI5
DB00160,Q9BYV1
DB00160,P49588
DB00160,P43007
DB00160,P80404
DB00160,Q16719
DB00160,Q5JTZ9
DB00160,Q8IUZ5
DB00160,Q8TD30
DB00162,P05090
DB00162,P41222
DB00162,Q96NR8
DB00162,Q92781
DB00162,Q8NBN7
DB00162,O94788
DB00162,P00352
DB00162,O95237
DB00162,O75911
DB00162,P47895
DB00162,Q6NUM9
DB00162,Q8TC12
DB00162,Q9BTZ2
DB00162,Q9HBH5
DB00162,Q9NYR8
DB00163,Q9UDX3
DB00163,Q9UDX4
DB00163,O76054
DB00163,O75469
DB00163,P05771
DB00163,P09917
DB00163,P17252
DB00163,P23743
DB00163,P62714
DB00163,P67775
DB00165,O00764
DB00166,Q9Y234
DB00166,Q9Y289
DB00166,O43766
DB00167,P45954
DB00167,P54687
DB00167,O15382
DB00167,P41252
DB00167,Q9NSE4
DB00168,Q7RTX0
DB00168,Q8TE23
DB00168,Q8NER1
DB00169,P11473
DB00170,P38435
DB00170,Q9BQB6
DB00170,Q8N0U8
DB00170,P00734
DB00170,P00740
DB00170,P04070
DB00170,P07225
DB00170,P16083
DB00170,P15559
DB00170,P02818
DB00171,O95255
DB00171,O15439
DB00171,P33527
DB00171,P13569
DB00171,P42336
DB00171,P68400
DB00171,P67870
DB00171,Q96G91
DB00171,P53041
DB00171,P42684
DB00171,O95477
DB00171,Q9NR19
DB00171,Q9UM73
DB00171,Q13564
DB00171,Q13131
DB00171,P10398
DB00171,P37023
DB00171,P33121
DB00171,P49902
DB00171,O43681
DB00171,O60706
DB00171,P31749
DB00171,P25098
DB00171,O14727
DB00171,Q9NUB1
DB00171,P36896
DB00171,Q04771
DB00171,O95342
DB00171,P08243
DB00171,Q96Q40
DB00171,P12235
DB00171,Q09428
DB00171,P00966
DB00171,Q9Y4W6
DB00171,P35626
DB00171,Q16671
DB00171,Q07912
DB00171,P00519
DB00171,Q08828
DB00171,P08183
DB00171,P45844
DB00171,Q92887
DB00175,P04035
DB00175,Q92769
DB00176,P31645
DB00176,Q12809
DB00177,P30556
DB00178,P12821
DB00178,P46663
DB00179,P09917
DB00179,P04278
DB00179,Q96QT4
DB00180,P04150
DB00181,O75899
DB00181,P61073
DB00181,Q9UBS5
DB00182,Q05940
DB00182,Q01959
DB00182,Q16568
DB00182,Q96RJ0
DB00182,P21397
DB00182,P27338
DB00182,P23975
DB00182,P35348
DB00182,P35368
DB00182,P25100
DB00182,P08913
DB00182,P18089
DB00182,P18825
DB00182,P08588
DB00182,P07550
DB00182,P13945
DB00182,P14416
DB00182,P27338
DB00182,P31645
DB00184,P43681
DB00184,P36544
DB00184,P17787
DB00184,Q15822
DB00184,P32297
DB00184,P30532
DB00184,Q15825
DB00184,Q9UGM1
DB00184,Q9GZZ6
DB00184,Q05901
DB00184,P30926
DB00184,P11511
DB00184,P28329
DB00186,P14867
DB00186,P47869
DB00186,P34903
DB00186,P48169
DB00186,P31644
DB00186,Q16445
DB00186,P18505
DB00186,P47870
DB00186,P28472
DB00186,O14764
DB00186,P78334
DB00186,Q8N1C3
DB00186,P18507
DB00186,Q99928
DB00186,O00591
DB00186,Q9UN88
DB00186,P14867
DB00186,P47869
DB00186,P34903
DB00186,P31644
DB00186,Q8N1C3
DB00186,P18507
DB00186,Q99928
DB00187,P08588
DB00188,P28074
DB00188,P20618
DB00190,P20711
DB00191,P23975
DB00191,P31645
DB00191,Q01959
DB00191,P21397
DB00191,P27338
DB00191,P01303
DB00193,P35372
DB00193,P23975
DB00193,P31645
DB00193,Q99250
DB00193,Q05586
DB00193,Q12879
DB00193,Q13224
DB00193,Q14957
DB00193,O15399
DB00193,Q8TCU5
DB00193,O60391
DB00193,P30542
DB00193,P08913
DB00193,P18089
DB00193,P18825
DB00193,P28335
DB00193,P41145
DB00193,P41143
DB00193,P36544
DB00193,P20309
DB00193,P11229
DB00193,P25103
DB00193,Q8NER1
DB00195,P08588
DB00195,P07550
DB00197,P37231
DB00197,P62508
DB00197,P11474
DB00197,Q03181
DB00197,Q07869
DB00197,P09211
DB00197,O60488
DB00197,P05121
DB00197,Q99808
DB00199,O43193
DB00199,Q12809
DB00200,Q99707
DB00200,P22033
DB00200,Q8IVH4
DB00200,P20061
DB00200,Q9BXJ7
DB00200,O60494
DB00200,Q9Y4U1
DB00201,P30542
DB00201,P29274
DB00201,P29275
DB00201,P0DMS8
DB00201,Q01064
DB00201,Q08499
DB00201,Q13370
DB00201,O76074
DB00201,Q07343
DB00201,P21817
DB00201,P54750
DB00201,Q01064
DB00201,Q14123
DB00201,Q9Y233
DB00201,P27815
DB00201,Q07343
DB00201,Q08493
DB00201,Q08499
DB00201,Q9NP56
DB00201,O00408
DB00201,Q14432
DB00201,Q13370
DB00201,O76074
DB00201,P51160
DB00201,Q9HCR9
DB00201,Q13946
DB00201,O60658
DB00201,O95263
DB00201,O76083
DB00201,P16499
DB00201,P35913
DB00201,P78527
DB00201,O00329
DB00201,P42336
DB00201,P42338
DB00201,Q14643
DB00201,Q14571
DB00201,Q14573
DB00201,Q13315
DB00203,O76074
DB00203,P18545
DB00203,Q13956
DB00203,P11926
DB00203,Q9NZQ7
DB00204,Q12809
DB00204,O95069
DB00204,Q14500
DB00205,P00374
DB00205,P13922
DB00205,P07686
DB00206,Q05940
DB00206,P54219
DB00206,O15392
DB00207,Q9UM07
DB00208,Q9H244
DB00210,P10826
DB00210,P13631
DB00210,P28702
DB00210,P48443
DB00210,P19793
DB00210,P05412
DB00210,O60603
DB00210,P10276
DB00210,P17174
DB00211,P35348
DB00211,P35368
DB00211,P25100
DB00213,P20648
DB00213,O94760
DB00214,P55011
DB00214,Q13621
DB00215,P31645
DB00215,P35367
DB00216,P28221
DB00216,P28222
DB00216,P30939
DB00216,P08908
DB00218,P43700
DB00218,P43702
DB00218,P11388
DB00218,P27169
DB00219,P11229
DB00220,O90777
DB00221,P08588
DB00221,P07550
DB00222,Q14654
DB00222,P48048
DB00222,Q09428
DB00226,P23975
DB00227,P04035
DB00227,P20701
DB00227,Q92769
DB00230,P54289
DB00232,Q13621
DB00232,P00915
DB00232,P00918
DB00232,P22748
DB00234,P23975
DB00235,Q14432
DB00238,Q72547
DB00240,P04150
DB00241,P47869
DB00241,P34903
DB00241,P48169
DB00241,P31644
DB00241,Q16445
DB00241,P14867
DB00241,P47869
DB00241,P34903
DB00241,P48169
DB00241,P31644
DB00241,Q16445
DB00241,P18505
DB00241,P47870
DB00241,P28472
DB00241,O14764
DB00241,P78334
DB00241,Q8N1C3
DB00241,P18507
DB00241,Q99928
DB00241,O00591
DB00241,Q9UN88
DB00241,P14867
DB00241,P43681
DB00241,P36544
DB00241,P42262
DB00241,Q13002
DB00242,P23921
DB00242,P31350
DB00242,Q7LG56
DB00242,P09884
DB00242,Q07864
DB00242,P56282
DB00242,Q9NRF9
DB00242,Q9NR33
DB00242,P00491
DB00244,P35354
DB00244,P23219
DB00244,P09917
DB00244,P37231
DB00244,O15111
DB00244,O14920
DB00244,P35228
DB00245,P11229
DB00245,Q01959
DB00245,P35367
DB00245,P31645
DB00245,P23975
DB00246,P14416
DB00246,P28223
DB00246,P08908
DB00246,P28221
DB00246,P28335
DB00246,P21728
DB00246,P21918
DB00246,P35462
DB00246,P21917
DB00246,P28222
DB00246,P28566
DB00246,P50406
DB00246,P34969
DB00246,P35367
DB00246,P35348
DB00246,P35368
DB00246,P08913
DB00246,P18089
DB00246,P18825
DB00246,P11229
DB00246,P08172
DB00246,P20309
DB00246,P08173
DB00246,P08912
DB00246,P46098
DB00246,O95264
DB00246,Q8WXA8
DB00246,Q70Z44
DB00246,A5X5Y0
DB00246,P47898
DB00248,P14416
DB00248,P41595
DB00248,P35462
DB00248,P28223
DB00248,P18089
DB00248,P28221
DB00248,P21917
DB00248,P08913
DB00248,P08908
DB00248,P18825
DB00248,P21918
DB00248,P21728
DB00248,P28222
DB00248,P28335
DB00248,P34969
DB00248,P35348
DB00248,P35368
DB00248,P25100
DB00248,P08588
DB00248,P07550
DB00248,P21728
DB00248,P21918
DB00250,P0C0X2
DB00250,P0C0X1
DB00252,Q14524
DB00252,P35498
DB00252,Q12809
DB00252,Q13936
DB00252,Q01668
DB00252,O60840
DB00252,Q13698
DB00252,Q02641
DB00252,Q08289
DB00252,P54284
DB00252,O00305
DB00252,O00555
DB00252,Q99250
DB00252,Q9UQD0
DB00252,O75469
DB00252,Q07699
DB00252,Q9NY46
DB00252,P14867
DB00252,P47869
DB00252,P34903
DB00252,P48169
DB00252,P31644
DB00252,Q16445
DB00252,P18505
DB00252,P47870
DB00252,P28472
DB00252,O14764
DB00252,P78334
DB00252,Q8N1C3
DB00252,P18507
DB00252,Q99928
DB00252,O00591
DB00252,Q9UN88
DB00253,P04150
DB00255,Q92731
DB00255,P03372
DB00255,P62508
DB00255,P11474
DB00255,O95718
DB00255,Q15596
DB00255,O75469
DB00255,P10275
DB00255,P04278
DB00256,P0A7V8
DB00257,P10613
DB00257,O15554
DB00257,O75469
DB00257,Q8TDS4
DB00260,P0A6J8
DB00260,Q9L888
DB00261,Q14432
DB00262,P00390
DB00264,P08588
DB00264,P07550
DB00264,P08588
DB00264,P07550
DB00264,P13945
DB00266,Q9BQB6
DB00266,P15559
DB00266,Q08257
DB00268,P35462
DB00268,P14416
DB00268,P21917
DB00268,P35348
DB00268,P35368
DB00268,P25100
DB00268,P08913
DB00268,P18089
DB00268,P18825
DB00269,P03372
DB00270,Q13936
DB00270,P54289
DB00270,Q08289
DB00270,O95180
DB00270,Q9NY47
DB00270,Q01668
DB00270,Q13698
DB00273,P14867
DB00273,P35498
DB00273,Q9Y5Y9
DB00273,Q9UI33
DB00273,Q99250
DB00273,Q9NY46
DB00273,P35499
DB00273,Q14524
DB00273,Q01118
DB00273,Q9UQD0
DB00273,Q15858
DB00273,P39086
DB00273,Q13002
DB00273,Q13003
DB00273,Q16099
DB00273,Q16478
DB00273,P00918
DB00273,P22748
DB00273,Q13936
DB00273,Q01668
DB00273,O60840
DB00273,Q13698
DB00273,Q02641
DB00273,Q08289
DB00273,P54284
DB00273,O00305
DB00273,P00915
DB00273,P07451
DB00273,Q15878
DB00275,P30556
DB00276,P11388
DB00276,Q12809
DB00276,P02763
DB00276,P02768
DB00277,P30542
DB00277,P29274
DB00277,P29275
DB00277,Q07343
DB00277,O76074
DB00277,P27815
DB00277,Q14432
DB00277,Q92769
DB00277,Q99829
DB00277,Q8TCT9
DB00277,Q15155
DB00277,P09874
DB00277,Q7Z5B4
DB00277,Q9Y4R7
DB00278,P00734
DB00279,P10827
DB00279,P10828
DB00279,P12004
DB00280,Q14524
DB00280,P11229
DB00280,P08172
DB00280,P20309
DB00280,Q9NZV8
DB00280,Q9UK17
DB00280,Q12809
DB00280,P19652
DB00281,Q9Y5Y9
DB00281,Q15858
DB00281,Q14524
DB00281,P00533
DB00281,P35499
DB00281,P02763
DB00281,P19652
DB00282,P14324
DB00282,O95749
DB00282,P42574
DB00282,P55211
DB00283,P35367
DB00284,O43451
DB00284,P14410
DB00284,P04746
DB00284,P10253
DB00285,P31645
DB00285,P23975
DB00285,Q01959
DB00286,Q92731
DB00286,P03372
DB00287,P43088
DB00288,P04150
DB00288,P04083
DB00289,P23975
DB00289,P31645
DB00289,Q05586
DB00289,Q12879
DB00289,Q13224
DB00289,Q14957
DB00289,O15399
DB00289,Q8TCU5
DB00289,O60391
DB00289,P48549
DB00289,P41145
DB00290,P18858
DB00290,P49916
DB00293,P04818
DB00293,Q05932
DB00295,P35372
DB00295,P41145
DB00295,P41143
DB00295,Q9Y6Y9
DB00297,Q9Y5Y9
DB00297,P34995
DB00302,P00747
DB00304,P06401
DB00304,P03372
DB00307,P19793
DB00307,P28702
DB00307,P48443
DB00308,Q13936
DB00308,Q02641
DB00308,Q12809
DB00308,P54289
DB00308,Q06432
DB00308,O00180
DB00308,Q9Y257
DB00308,Q9H252
DB00308,Q9NS40
DB00308,Q14654
DB00309,Q9H4B7
DB00310,P00915
DB00310,Q13621
DB00311,P00918
DB00311,P22748
DB00311,P43166
DB00311,P00915
DB00311,P07451
DB00312,P14867
DB00312,P47869
DB00312,P34903
DB00312,P48169
DB00312,P31644
DB00312,Q16445
DB00312,P14867
DB00312,P47869
DB00312,P34903
DB00312,P48169
DB00312,P31644
DB00312,Q16445
DB00312,P18505
DB00312,P47870
DB00312,P28472
DB00312,O14764
DB00312,P78334
DB00312,Q8N1C3
DB00312,P18507
DB00312,Q99928
DB00312,O00591
DB00312,Q9UN88
DB00312,P43681
DB00312,P36544
DB00312,P42262
DB00312,Q13002
DB00312,Q05586
DB00312,Q12879
DB00312,Q13224
DB00312,Q14957
DB00312,O15399
DB00312,Q8TCU5
DB00312,O60391
DB00312,O75469
DB00313,Q9UKV0
DB00313,P45954
DB00313,Q02218
DB00313,P51649
DB00313,P35498
DB00313,Q9Y5Y9
DB00313,Q9UI33
DB00313,Q99250
DB00313,Q9NY46
DB00313,P35499
DB00313,Q14524
DB00313,Q01118
DB00313,Q9UQD0
DB00313,Q15858
DB00313,Q07699
DB00313,O60939
DB00313,Q9NY72
DB00313,Q8IWT1
DB00313,Q92769
DB00313,Q07869
DB00313,Q03181
DB00313,P37231
DB00313,Q13547
DB00313,Q969S8
DB00313,Q96DB2
DB00313,Q92769
DB00313,O15379
DB00313,P56524
DB00313,Q9UQL6
DB00313,Q9UBN7
DB00313,Q8WUI4
DB00313,Q9BY41
DB00313,Q9UKV0
DB00313,P38936
DB00313,P14210
DB00313,P11926
DB00313,Q9NZQ7
DB00315,P28222
DB00315,P28221
DB00315,P30939
DB00315,P28566
DB00315,P34969
DB00315,P08908
DB00315,P28223
DB00315,P41595
DB00316,P35354
DB00316,P23219
DB00316,Q15185
DB00316,Q8NER1
DB00317,P00533
DB00318,P35372
DB00318,P41145
DB00318,P41143
DB00319,Q75Y35
DB00319,P0A3M6
DB00319,Q8DNB6
DB00319,Q7CRA4
DB00320,P28222
DB00320,P28221
DB00320,P30939
DB00320,P08913
DB00320,P08908
DB00320,P28566
DB00320,P28223
DB00320,P41595
DB00320,P28335
DB00320,P35348
DB00320,P35368
DB00320,P25100
DB00320,P08913
DB00320,P18089
DB00320,P18825
DB00320,P14416
DB00320,P35462
DB00320,P21917
DB00320,Q13639
DB00320,P13945
DB00321,P23975
DB00321,P31645
DB00321,P28223
DB00321,P08908
DB00321,P41143
DB00321,P41145
DB00321,P04629
DB00321,Q16620
DB00321,P35348
DB00321,P25100
DB00321,P08913
DB00321,P35367
DB00321,O43526
DB00321,Q09470
DB00321,P25021
DB00321,Q9H3N8
DB00321,Q99720
DB00321,P28335
DB00321,P35368
DB00321,P34969
DB00321,P28221
DB00321,P35372
DB00321,P28222
DB00321,P50406
DB00321,O43525
DB00321,P08909
DB00321,P11229
DB00321,P08172
DB00321,P20309
DB00321,P08173
DB00321,P08912
DB00321,Q12809
DB00321,Q9H252
DB00321,Q9NS40
DB00322,P04818
DB00323,P21964
DB00324,P04150
DB00325,P16066
DB00327,P35372
DB00327,P41143
DB00327,P41145
DB00328,P35354
DB00328,P14555
DB00328,P23219
DB00328,Q8N8N7
DB00328,P37231
DB00328,Q04760
DB00328,Q9Y5Y4
DB00328,Q07869
DB00328,P42330
DB00328,P19525
DB00328,P23219
DB00328,P35354
DB00330,P9WNL5
DB00330,P9WNL7
DB00330,P9WNL9
DB00331,Q16134
DB00331,Q9Y478
DB00331,P21695
DB00332,P20309
DB00332,P11229
DB00332,P08172
DB00333,P35372
DB00333,Q05586
DB00333,Q12879
DB00333,Q13224
DB00333,Q14957
DB00333,O15399
DB00333,Q8TCU5
DB00333,O60391
DB00333,P41143
DB00333,P36544
DB00333,P46098
DB00333,P32297
DB00333,P43681
DB00333,P17787
DB00334,P28223
DB00334,P14416
DB00334,P21728
DB00334,P21918
DB00334,P35462
DB00334,P21917
DB00334,P28335
DB00334,P46098
DB00334,P50406
DB00334,P35367
DB00334,P35348
DB00334,P35368
DB00334,P11229
DB00334,P08172
DB00334,P20309
DB00334,P08173
DB00334,P21728
DB00334,P21918
DB00334,P08588
DB00334,P07550
DB00334,P13945
DB00334,P08908
DB00334,P28222
DB00334,P28221
DB00334,P28566
DB00334,P30939
DB00334,P14867
DB00334,P47869
DB00334,P34903
DB00334,P31644
DB00334,Q8N1C3
DB00334,P18507
DB00334,Q99928
DB00335,P08588
DB00335,P07550
DB00337,P42345
DB00337,P62942
DB00338,P20648
DB00338,P35869
DB00341,P35367
DB00342,P35367
DB00342,P20309
DB00342,P11229
DB00342,P08912
DB00342,P08173
DB00342,P08172
DB00342,Q12809
DB00343,Q13936
DB00343,Q06432
DB00346,P35348
DB00346,P35368
DB00346,P25100
DB00346,P35348
DB00346,P35368
DB00346,P25100
DB00347,O43497
DB00348,P32754
DB00349,P14867
DB00349,P47869
DB00349,P34903
DB00349,P48169
DB00349,P31644
DB00349,Q16445
DB00349,P18505
DB00349,P47870
DB00349,P28472
DB00349,O14764
DB00349,P78334
DB00349,Q8N1C3
DB00349,P18507
DB00349,Q99928
DB00349,O00591
DB00349,Q9UN88
DB00349,P14867
DB00349,P47869
DB00349,P34903
DB00349,P31644
DB00349,Q8N1C3
DB00349,P18507
DB00349,Q99928
DB00350,P48048
DB00350,P00797
DB00350,P23219
DB00351,P06401
DB00351,P04150
DB00353,P21728
DB00353,P41595
DB00354,P35367
DB00354,P11229
DB00355,P42971
DB00355,P05193
DB00355,Q47066
DB00356,Q12791
DB00357,P05108
DB00357,P11511
DB00360,P00439
DB00360,P29474
DB00360,P07101
DB00360,P17752
DB00361,P07437
DB00363,P21728
DB00363,P14416
DB00363,P35462
DB00363,P21917
DB00363,P21918
DB00363,P08908
DB00363,P28222
DB00363,P28221
DB00363,P28566
DB00363,P28223
DB00363,P46098
DB00363,P28335
DB00363,P50406
DB00363,P34969
DB00363,P18825
DB00363,P35367
DB00363,Q9H3N8
DB00363,P35348
DB00363,P35368
DB00363,P08913
DB00363,P18089
DB00363,P11229
DB00363,P08172
DB00363,P20309
DB00363,P08173
DB00363,P08912
DB00363,Q9NYX4
DB00363,P09211
DB00363,Q9UBS5
DB00363,O75899
DB00363,P14867
DB00363,P18505
DB00363,Q8N1C3
DB00364,P0DJD9
DB00364,P09038
DB00364,P01133
DB00364,P02671
DB00364,P02675
DB00364,P02679
DB00366,P35367
DB00366,Q14994
DB00366,P11229
DB00366,P08172
DB00366,P20309
DB00366,P08173
DB00366,P08912
DB00367,P06401
DB00367,P18405
DB00367,P03372
DB00367,P10275
DB00367,P04278
DB00367,P04150
DB00368,P35348
DB00368,P35368
DB00368,P25100
DB00368,P08913
DB00368,P18089
DB00368,P18825
DB00368,P08588
DB00368,P07550
DB00368,P13945
DB00368,P00439
DB00368,Q05940
DB00368,P54219
DB00370,P28223
DB00370,Q9UE69
DB00370,P08913
DB00370,P35348
DB00370,P35368
DB00370,P25100
DB00370,P28335
DB00370,P41145
DB00370,P35367
DB00371,P14867
DB00371,P47869
DB00371,P34903
DB00371,P48169
DB00371,P31644
DB00371,Q16445
DB00371,P18505
DB00371,P47870
DB00371,P28472
DB00371,O14764
DB00371,P78334
DB00371,Q8N1C3
DB00371,P18507
DB00371,Q99928
DB00371,O00591
DB00371,Q9UN88
DB00371,P14867
DB00371,P47869
DB00371,P34903
DB00371,P48169
DB00371,P31644
DB00371,Q16445
DB00373,P08588
DB00373,P07550
DB00373,P00720
DB00374,P43119
DB00374,P43116
DB00374,Q13258
DB00374,Q03181
DB00374,Q9H244
DB00376,P11229
DB00376,P08172
DB00376,P20309
DB00376,P08173
