Disease,Protein
D001008,P29274
D001172,P29274
D003866,P29274
D004342,P29274
D064420,P29274
D007022,P29274
D016584,P29274
D012640,P29274
D018805,P29274
D007319,P29274
D013375,P29274
D014202,P29274
D018754,P29274
D009362,Q2L7J7
D018805,Q2L7J7
D009203,P0DMS8
D008103,P35348
D007022,P35368
D007674,P35368
D012640,P35368
D004827,P08913
D006973,P08913
D007022,P08913
D016584,P08913
D003490,P18089
D008607,P18089
D006333,Q4W594
D002311,P08588
D006333,P08588
D006973,P08588
D009765,P08588
D013274,P08588
D018754,P08588
D001321,Q9BYZ0
D002311,Q9BYZ0
D007008,Q9BYZ0
D009765,Q9BYZ0
D011471,Q9BYZ0
D013274,Q9BYZ0
D014202,Q9BYZ0
D018487,Q9BYZ0
D006333,P13945
D009765,P13945
D001321,P30566
D003324,Q96IZ2
D002294,Q8N4X5
D001172,P51826
D019966,P51826
D006130,Q8TAX5
D009765,Q8TAX5
D012559,Q8NB90
D058186,P43652
D064420,P43652
D001943,P02771
D013274,P02771
D001321,Q9UPQ3
D001281,Q5VU57
D019966,Q5VU57
D001172,Q71BG7
D001249,Q71BG7
D003925,Q71BG7
D006973,Q71BG7
D007249,Q71BG7
D010003,Q71BG7
D011656,Q71BG7
D019970,Q9UKV8
D001943,Q4JM47
D011471,Q4JM47
D015470,Q96QF9
D001014,Q53YY1
D001145,Q53YY1
D001919,Q53YY1
D003928,Q53YY1
D062787,Q53YY1
D006333,Q53YY1
D006973,Q53YY1
D006974,Q53YY1
D007008,Q53YY1
D007022,Q53YY1
D007249,Q53YY1
D007674,Q53YY1
D008103,Q53YY1
D009203,Q53YY1
D009336,Q53YY1
D011014,Q53YY1
D011225,Q53YY1
D012640,Q53YY1
D013927,Q53YY1
D018487,Q53YY1
D000022,Q6NUP5
D021441,Q6NUP5
D004374,Q6NUP5
D006333,Q6NUP5
D006973,Q6NUP5
D007674,Q6NUP5
D009362,Q6NUP5
D007674,P30556
D006973,P30556
D006973,P50052
D009362,P50052
D013274,P50052
D011471,Q96HN2
D001321,Q9NQN3
D008607,Q9NQN3
D012559,Q9NQN3
D002292,Q9BVU3
D000022,P35869
D001172,P35869
D001943,P35869
D003876,P35869
D006130,P35869
D006973,P35869
D007003,P35869
D007247,P35869
D007248,P35869
D007249,P35869
D007642,P35869
D008103,P35869
D008113,P35869
D009336,P35869
D009362,P35869
D009369,P35869
D009765,P35869
D010190,P35869
D011014,P35869
D011471,P35869
D011537,P35869
D013274,P35869
D014029,P35869
D058186,P02765
D064420,P02765
D001327,Q6QLN7
D001752,Q6QLN7
D007945,Q6QLN7
D006973,Q5STX8
D010300,Q5STX8
D013345,Q5STX8
D014277,Q5STX8
D009103,Q5T3W0
D010003,P27144
D009765,Q92667
D001714,Q9UKA4
D012559,Q9UKA4
D001943,Q86TJ9
D002292,Q12802
D004938,Q12802
D011471,Q12802
D001281,Q13023
D019966,Q6P4D3
D012871,Q6PJH3
D016889,P15121
D004715,P15121
D012128,P15121
D002289,Q04828
D016889,Q04828
D004715,Q04828
D009376,Q04828
D010003,Q04828
D004715,Q1KXY7
D009376,Q1KXY7
D010003,Q1KXY7
D016889,P42330
D004715,P42330
D009376,P42330
D009765,P42330
D011471,P42330
D013274,P42330
D001714,P17516
D011125,P31749
D001943,P31749
D002294,P31749
D015179,P31749
D003924,P31749
D004827,P31749
D015228,P31749
D007249,P31749
D015473,P31749
D008175,P31749
D009765,P31749
D010051,P31749
D010146,P31749
D011471,P31749
D012559,P31749
D001749,P31749
D013119,Q96B36
D001943,Q6P4H3
D003924,Q6P4H3
D011471,Q6P4H3
D002292,P13716
D006402,P13716
D006973,P13716
D007674,P13716
D008103,P13716
D011471,P13716
D012128,P13716
D012640,P13716
D058186,Q6LEH2
D002545,Q6LEH2
D003093,Q6LEH2
D003866,Q6LEH2
D003925,Q6LEH2
D003928,Q6LEH2
D064420,Q6LEH2
D004443,Q6LEH2
D004827,Q6LEH2
D006333,Q6LEH2
D006967,Q6LEH2
D006973,Q6LEH2
D007022,Q6LEH2
D007674,Q6LEH2
D007676,Q6LEH2
D008103,Q6LEH2
D008105,Q6LEH2
D009393,Q6LEH2
D009404,Q6LEH2
D010146,Q6LEH2
D010195,Q6LEH2
D011041,Q6LEH2
D012128,Q6LEH2
D012140,Q6LEH2
D012221,Q6LEH2
D013274,Q6LEH2
D020521,Q6LEH2
D013921,Q6LEH2
D014581,Q6LEH2
D014605,Q6LEH2
D002277,Q13740
D006073,Q8IZ83
D002292,Q5SYQ9
D008545,Q5SYQ9
D020734,Q5SYQ9
D010003,Q9UED3
D020734,Q9UED3
D011471,Q9UED3
D008545,P47895
D013274,P47895
D003110,P30837
D000437,Q9UN17
D001249,Q9UN17
D015179,Q9UN17
D004938,Q9UN17
D007248,Q9UN17
D010300,Q9UN17
D018754,Q9UN17
D008607,Q8N3W7
D009461,Q8N3W7
D009765,Q02252
D013274,P49419
D001943,P04075
D009362,P04075
D013274,P05062
D004827,Q9NP73
D001932,Q580I3
D001943,Q580I3
D002289,Q580I3
D002292,Q580I3
D009362,Q580I3
D009447,Q580I3
D009101,Q6P6C2
D011225,Q6P6C2
D001943,Q96BT7
D002311,Q8TCU4
D001171,P18054
D012871,P18054
D004938,P16050
D006973,P16050
D001172,P09917
D001249,P09917
D002292,P09917
D003110,P09917
D006976,P09917
D015464,P09917
D009362,P09917
D010051,P09917
D011471,P09917
D013274,P09917
D014581,P09917
D011471,Q9BYJ1
D003928,Q96QP1
D006073,Q96QP1
D012640,P05186
D012559,Q60I27
D008175,Q9H161
D015179,Q9UHK6
D011471,Q9UHK6
D058186,P02760
D064420,P02760
D013119,Q9C0C7
D000544,Q6PGR1
D001749,Q6PGR1
D058186,Q9BXJ7
D004487,Q9BXJ7
D005119,Q9BXJ7
D001932,Q4VCS5
D007249,Q15389
D018805,Q15389
D001943,Q9BY76
D002277,Q9BY76
D003324,Q9BY76
D015228,Q9BY76
D009362,Q9BY76
D009765,Q9BY76
D020521,Q01484
D001714,Q12955
D008175,Q12955
D013226,Q12955
D001749,Q9P2R3
D004715,Q9HCJ1
D004715,Q05DQ9
D004827,Q8IVY9
D008175,Q8IVF6
D008175,Q5SQ80
D001943,Q69YU3
D001172,Q3KP44
D003324,Q49AR9
D008103,Q68DC2
D003294,Q9BYT9
D004715,Q32M45
D019966,Q32M45
D013167,Q4KMQ2
D015179,Q6PKH8
D001749,P15144
D010014,Q32Q26
D011471,Q32Q26
D013167,Q32Q26
D002277,Q5TZZ9
D002294,Q5TZZ9
D006973,Q5TZZ9
D007674,Q5TZZ9
D009362,Q5TZZ9
D011471,Q5TZZ9
D010190,Q9UJ72
D002294,P07355
D015470,P07355
D008113,P07355
D008175,P07355
D001749,Q3ZCQ2
D001172,P12429
D008180,P12429
D010051,P12429
D011471,P12429
D002277,Q6P452
D002292,Q6P452
D015470,Q6P452
D008113,Q6P452
D009362,Q6P452
D011471,Q6P452
D002294,P08758
D015470,P08758
D011225,P08758
D013274,P08758
D015470,P08133
D008113,P20073
D006973,P19801
D003928,Q16853
D006973,Q16853
D001171,Q8N6M6
D001281,Q8N6M6
D011471,Q06278
D011565,Q53T10
D003924,Q6PK37
D002292,Q9H0R1
D012871,Q99767
D011125,Q9UM98
D001321,Q9UM98
D002289,Q9UM98
D003110,Q9UM98
D015179,Q9UM98
D005770,Q9UM98
D005909,Q9UM98
D015212,Q9UM98
D008607,Q9UM98
D007964,Q9UM98
D008113,Q9UM98
D008175,Q9UM98
D008527,Q9UM98
D008654,Q9UM98
D011471,Q9UM98
D012004,Q9UM98
D012128,Q9UM98
D013274,Q9UM98
D001943,Q9UNL8
D015179,Q9UNL8
D015212,Q9UNL8
D009765,Q8J025
D003324,P02743
D006333,P02743
D008113,P02743
D008545,Q5TZP7
D011471,Q5TZP7
D012640,Q5TZP7
D013274,Q5TZP7
D000544,Q4R1J8
D007022,Q9ULZ1
D003324,Q6LEJ8
D004487,Q6LEJ8
D006973,Q6LEJ8
D007249,Q6LEJ8
D008175,Q6LEJ8
D013274,Q6LEJ8
D020521,Q6LEJ8
D003093,Q13784
D006938,Q13784
D012559,Q13784
D003324,Q6Q788
D015228,Q6Q788
D003327,Q7Z7Q0
D064420,Q7Z7Q0
D006470,Q7Z7Q0
D006937,Q7Z7Q0
D006938,Q7Z7Q0
D015228,Q7Z7Q0
D001171,P31941
D001943,P31941
D009369,P31941
D001943,Q9UH17
D002294,Q9UH17
D006258,Q9UH17
D009369,Q9UH17
D001749,Q9UH17
D000544,P02654
D006333,P02654
D003324,P02656
D006951,P02656
D006938,P02656
D008175,P02656
D000022,Q8TCZ8
D000544,Q8TCZ8
D000686,Q8TCZ8
D001008,Q8TCZ8
D001161,Q8TCZ8
D003327,Q8TCZ8
D006937,Q8TCZ8
D006938,Q8TCZ8
D006973,Q8TCZ8
D008175,Q8TCZ8
D009103,Q8TCZ8
D009203,Q8TCZ8
D009765,Q8TCZ8
D011565,Q8TCZ8
D012559,Q8TCZ8
D012640,Q8TCZ8
D019970,Q9BQE5
D012559,Q9BQE5
D012559,Q9BRG6
D000544,Q9BYY9
D000686,Q9BYY9
D001008,Q9BYY9
D003704,Q9BYY9
D009336,Q9BYY9
D011471,Q8NEU8
D019966,Q8NEU8
D001943,Q12898
D002292,Q12898
D002277,Q8TCV1
D006973,Q8TCV1
D010146,Q8TCV1
D012772,Q8TCV1
D013119,Q8TCV1
D002294,Q92482
D004938,Q92482
D010051,Q92482
D001749,Q92482
D001321,Q9H3V7
D013119,Q9H3V7
D013226,Q9H3V7
D009765,Q6P5T0
D001171,Q6FGT0
D007938,Q6FGT0
D015470,Q6FGT0
D015473,Q6FGT0
D000505,Q9UKJ6
D001321,Q9UKJ6
D001943,Q9UKJ6
D006973,Q9UKJ6
D007247,Q9UKJ6
D007248,Q9UKJ6
D007938,Q9UKJ6
D008175,Q9UKJ6
D011471,Q9UKJ6
D001943,Q96II5
D000544,Q7LC44
D019970,Q7LC44
D001171,P15514
D001249,P15514
D001943,P15514
D002289,P15514
D002294,P15514
D004715,P15514
D006258,P15514
D010051,P15514
D013274,P15514
D001943,P84077
D013274,Q8N6H7
D001249,P05089
D007896,P05089
D001249,P78540
D021441,P78540
D006333,P78540
D006976,P78540
D009336,P78540
D011471,P78540
D001281,Q86T21
D004715,Q9P2N2
D009369,Q92619
D011225,Q92619
D013274,Q13017
D001943,P52565
D009362,P52565
D008175,Q12774
D011471,Q12774
D004827,Q8NFD5
D009447,Q8NFD5
D011471,Q8WV72
D011471,Q05CG0
D001172,Q14865
D064420,Q14865
D054198,Q14865
D010051,Q969Q4
D008545,P36404
D008545,Q96KC2
D011471,Q15041
D001281,Q5T2E8
D000022,Q9UH46
D015179,Q9UH46
D004715,Q9UH46
D008103,Q9UH46
D008545,Q9UH46
D054198,Q9UH46
D001281,Q86TN1
D008103,P49407
D001943,Q96B67
D001943,Q5T4W7
D003876,Q5T4W7
D011537,Q5T4W7
D001289,Q9HBK9
D008175,Q9HBK9
D012559,Q9HBK9
D001749,Q9HBK9
D001281,Q13510
D001171,Q8WWA4
D014397,Q8WWA4
D001749,Q8WWA4
D002292,Q8WXK1
D008607,P50553
D003110,Q99929
D008545,Q9Y294
D008113,Q9NR48
D011471,Q9NR48
D002545,P78348
D007249,P78348
D001321,Q16515
D007249,Q16515
D007249,Q9UHC3
D002280,P42127
D008545,P42127
D001321,P46597
D008113,P08243
D000707,Q86U10
D002769,Q86U10
D005334,Q86U10
D013921,Q86U10
D014839,Q86U10
D010003,Q6P528
D003925,Q5T6L6
D015473,Q76L82
D015470,Q76L83
D001749,Q76L83
D004827,Q9C0F0
D011471,Q49AP3
D011471,Q5SV16
D009369,P15336
D002289,Q7Z567
D003924,Q7Z567
D008113,Q7Z567
D010051,Q7Z567
D011471,Q7Z567
D009336,Q6ICP0
D013119,Q6ICP0
D006816,Q9Y2D1
D020795,P18850
D013736,Q6VMQ6
D001943,Q9H0Y0
D008175,Q9BSB4
D008103,Q7Z3H3
D009336,Q7Z3H3
D010051,Q7Z3H3
D013119,Q7Z3H3
D001172,P31939
D064420,P31939
D001943,Q96QM9
D002294,Q96QM9
D002311,Q96QM9
D015451,Q96QM9
D008103,Q96QM9
D016410,Q96QM9
D008545,Q96QM9
D009203,Q96QM9
D009369,Q96QM9
D010190,Q96QM9
D011471,Q96QM9
D013274,Q96QM9
D001749,Q96QM9
D018487,Q96QM9
D015179,Q6IBA3
D006973,Q6IBA3
D008175,Q6IBA3
D010300,Q8N4D4
D020734,Q8N4D4
D006929,Q5TC05
D006973,Q5TC05
D009203,Q5TC05
D006973,Q58I22
D006333,Q58I21
D010003,Q58I21
D020734,Q58I21
D018487,Q58I21
D015470,Q6LEU2
D019966,Q6LEU2
D003924,P16615
D006333,P16615
D013226,P16615
D018487,P16615
D003924,Q93084
D003324,Q58F24
D006973,Q58F24
D006929,Q16720
D006973,Q16720
D000544,P25705
D058186,P06576
D001749,P30049
D002277,Q9UII2
D001943,Q52LC2
D013274,Q8N8Y2
D010003,P21281
D003110,Q762B6
D006130,Q762B6
D006976,Q762B6
D009461,Q762B6
D012640,Q762B6
D014202,Q762B6
D001943,Q9HBD9
D002277,Q9HBD9
D015179,Q9HBD9
D007249,Q9HBD9
D007680,Q9HBD9
D008103,Q9HBD9
D008113,Q9HBD9
D010051,Q9HBD9
D011471,Q9HBD9
D019970,Q7Z6L4
D009765,Q5TC12
D011471,Q9H6X2
D006130,Q86U63
D009447,Q86U63
D010190,Q86U63
D001281,Q96FF1
D001943,Q5QPD4
D015179,Q5QPD4
D007680,Q5QPD4
D008545,Q5QPD4
D009447,Q5QPD4
D011471,Q5QPD4
D013274,Q96GD4
D003924,Q75MQ7
D004827,Q75MQ7
D002289,Q9NQS1
D058186,Q9UMM9
D000787,Q9UMM9
D001145,Q9UMM9
D001321,Q9UMM9
D062787,Q9UMM9
D004412,Q9UMM9
D006333,Q9UMM9
D006973,Q9UMM9
D007022,Q9UMM9
D007177,Q9UMM9
D010146,Q9UMM9
D011141,Q9UMM9
D011618,Q9UMM9
D012559,Q9UMM9
D012769,Q9UMM9
D013375,Q9UMM9
D008175,Q5T686
D000312,P37288
D001321,P37288
D000312,P30518
D006130,P30518
D006333,P30518
D002311,Q9BRF5
D003110,Q9BRF5
D015179,Q9BRF5
D002289,P30530
D003928,P30530
D007680,P30530
D009362,P30530
D010190,P30530
D008175,P25311
D011471,P25311
D012852,P25311
D058186,Q16446
D001327,Q16446
D064420,Q16446
D007674,Q16446
D011471,Q16446
D001172,Q9NY97
D001172,Q6UX72
D015470,Q8WXS3
D010051,Q9NWV8
D000544,Q8IYC8
D003424,Q7Z6Q0
D015470,Q7Z6Q0
D007938,Q92934
D011471,Q92934
D001943,Q99933
D010300,Q9UL15
D001172,Q9UHR4
D003110,Q16611
D009203,Q16611
D006333,Q13145
D008103,Q13145
D008180,Q8NDB2
D001943,Q96TC6
D002280,Q96TC6
D002292,Q96TC6
D003110,Q96TC6
D006258,Q96TC6
D007680,Q96TC6
D007938,Q96TC6
D008113,Q96TC6
D008175,Q96TC6
D008654,Q96TC6
D010051,Q96TC6
D010190,Q96TC6
D011471,Q96TC6
D013274,Q96TC6
D013736,Q96TC6
D001749,Q96TC6
D014594,Q96TC6
D001943,Q99728
D009447,Q99728
D002277,P80723
D008545,Q8N1L9
D058186,Q8WXU1
D000544,Q8WXU1
D001943,Q8WXU1
D003110,Q8WXU1
D015179,Q8WXU1
D003924,Q8WXU1
D004938,Q8WXU1
D007248,Q8WXU1
D016410,Q8WXU1
D009203,Q8WXU1
D054198,Q8WXU1
D011471,Q8WXU1
D011471,Q9UIF9
D002545,Q9BXH1
D004938,Q9BXH1
D010190,Q6P5Z4
D011471,Q6P5Z4
D011471,Q05CL3
D000544,Q96HL2
D001049,Q96HL2
D001943,Q96HL2
D002292,Q96HL2
D019970,Q96HL2
D064420,Q96HL2
D004830,Q96HL2
D005909,Q96HL2
D015228,Q96HL2
D009103,Q96HL2
D009447,Q96HL2
D009765,Q96HL2
D011041,Q96HL2
D011183,Q96HL2
D012640,Q96HL2
D008223,Q9C0K0
D000544,Q96PA0
D001249,Q96PA0
D001321,Q96PA0
D001943,Q96PA0
D002277,Q96PA0
D003110,Q96PA0
D015179,Q96PA0
D017449,Q96PA0
D003924,Q96PA0
D007172,Q96PA0
D004938,Q96PA0
D006258,Q96PA0
D006973,Q96PA0
D007248,Q96PA0
D015451,Q96PA0
D015470,Q96PA0
D008228,Q96PA0
D009101,Q96PA0
D009203,Q96PA0
D009336,Q96PA0
D011471,Q96PA0
D012983,Q96PA0
D001749,Q96PA0
D001172,Q16548
D001943,Q16548
D004938,Q16548
D002277,Q9H1R6
D003924,Q9H1R6
D007172,Q9H1R6
D006258,Q9H1R6
D008175,Q9H1R6
D009101,Q9H1R6
D009203,Q9H1R6
D010190,Q9H1R6
D013274,Q9H1R6
D008228,Q16413
D010051,Q1JQ81
D007680,Q6W2J9
D012516,Q6W2J9
D001752,Q6QJE9
D015464,Q6QJE9
D009336,Q6QJE9
D054198,Q6QJE9
D004833,P46663
D007249,P46663
D010146,P46663
D058186,P30411
D001172,P30411
D004833,P30411
D005119,P30411
D006470,P30411
D006973,P30411
D007022,P30411
D007249,P30411
D010146,P30411
D013927,P30411
D000544,Q6YNR1
D001321,Q6YNR1
D001714,Q6YNR1
D002545,Q6YNR1
D019970,Q6YNR1
D003866,Q6YNR1
D004827,Q6YNR1
D004830,Q6YNR1
D007249,Q6YNR1
D008607,Q6YNR1
D010300,Q6YNR1
D011618,Q6YNR1
D012559,Q6YNR1
D012640,Q6YNR1
D013226,Q6YNR1
D013274,Q6YNR1
D013375,Q6YNR1
D014029,Q6YNR1
D003110,Q14457
D008175,Q14457
D009203,Q14457
D013119,Q14457
D013226,Q14457
D002289,Q6ZU67
D001281,Q8N1M1
D001249,P02818
D011471,P02818
D001172,P21810
D001943,P21810
D008175,Q8TAT1
D012893,Q8TAT1
D003924,Q93088
D008228,Q93088
D013274,P55957
D000544,Q9BTH3
D001943,Q13490
D007938,Q13490
D009447,Q13490
D013274,Q13490
D007938,Q13489
D009447,Q13489
D001749,Q13489
D009369,Q9NR09
D002292,Q6R308
D001172,Q05D26
D008180,Q05D26
D008180,Q6BDS2
D013274,P30043
D015451,Q96LC9
D005909,Q5T8Z6
D015465,Q5T8Z6
D012516,Q5T8Z6
D001943,P12643
D015179,P12643
D013274,P12643
D001172,Q53XC5
D001943,Q53XC5
D015179,Q53XC5
D010003,Q53XC5
D001172,Q4VBA3
D017449,Q4VBA3
D010003,Q4VBA3
D004715,Q9NQQ8
D011471,Q9NQQ8
D013274,Q9NQQ8
D009293,Q8N8U9
D001943,Q13873
D006976,Q13873
D010051,Q06HC7
D009101,Q6NVY4
D011471,Q6NVY4
D013274,Q6NVY4
D015179,Q96DN7
D015179,Q8N9W6
D013274,Q6DKJ9
D012559,Q96B45
D019966,Q96DR5
D001749,Q86TN2
D015179,Q75MQ8
D003924,Q75MQ8
D007680,Q75MQ8
D008113,Q75MQ8
D008175,Q75MQ8
D016410,Q75MQ8
D008545,Q75MQ8
D011471,Q75MQ8
D013964,Q75MQ8
D009203,Q7Z569
D001943,Q9UE29
D002277,Q9UE29
D009059,Q9UE29
D009369,Q9UE29
D010051,Q9UE29
D010190,Q9UE29
D011471,Q9UE29
D001943,Q9H4L3
D008175,Q9H4L3
D008527,Q9H4L3
D010051,Q9H4L3
D010190,Q9H4L3
D011471,Q9H4L3
D005909,P25440
D008527,P25440
D000505,Q6PIS5
D003110,Q6PIS5
D005909,Q6PIS5
D006976,Q6PIS5
D008527,Q6PIS5
D012516,Q6PIS5
D011471,Q6PIS5
D013964,Q6PIS5
D004715,Q9H0E9
D001943,Q3SYD8
D001943,Q9P0J6
D010051,Q9P0J6
D009362,Q9HCU9
D011471,P55201
D011628,Q96G97
D002292,Q54A51
D004938,Q54A51
D016778,Q54A51
D008545,Q54A51
D009362,Q54A51
D010190,Q54A51
D010300,Q10588
D012148,Q96Q07
D001321,P43251
D001171,Q6IBC8
D009101,Q6IBC8
D012559,Q6IBC8
D001171,Q6IAU3
D002292,Q6IAU3
D001943,P78410
D015179,Q9BXX5
D008545,Q7L1Q6
D015451,Q9P2W6
D008545,Q9H3H3
D010051,Q9NSK7
D019966,Q8NEA5
D001281,Q5T7R7
D008180,P02745
D008103,Q6LDZ7
D001943,Q07021
D004715,P00736
D001327,P09871
D003924,Q8NCU7
D058186,P01024
D003093,P01024
D003924,P01024
D064420,P01024
D010392,P01024
D001321,Q9UNU2
D001327,Q9UNU2
D010538,P01031
D012772,P21730
D016870,Q05CV2
D001171,Q05CV3
D016870,Q05CV3
D005148,Q9UGI4
D008585,Q9UGI4
D009293,Q9UGI4
D000690,Q96LT7
D001171,Q96LT7
D005128,Q96LT7
D013274,P00915
D008175,Q9NXM9
D013274,P00918
D009765,P07451
D002289,Q16790
D006976,Q16790
D015464,Q16790
D015179,Q8TDN4
D004832,Q9UN69
D001008,Q86XX1
D001145,Q86XX1
D001321,Q86XX1
D001714,Q86XX1
D006973,Q86XX1
D007003,Q86XX1
D011595,Q86XX1
D001714,Q01668
D001919,Q01668
D006327,Q01668
D006929,Q01668
D013617,Q01668
D001321,Q9NYY7
D064420,Q9NYY7
D004832,Q9NYY7
