Disease,Disease,Similarity
D010911,D009396,0.24852
D010911,D056769,0.25827
D010911,C565932,0.24467
D010911,D001260,0.22385
D010911,D001321,0.20119
D010911,C535933,0.23675
D010911,D002311,0.20696
D010911,C536778,0.21825
D010911,D003057,0.22059
D010911,D005199,0.22051
D010911,D005776,0.21251
D010911,C535758,0.22017
D010911,D006712,0.21352
D010911,D009084,0.2055
D010911,D044903,0.2204
D010911,D009447,0.23605
D010911,D012516,0.22515
D010911,D010190,0.25929
D010911,C538556,0.20658
D010911,D053579,0.20184
D010911,D012035,0.21773
D010911,D016111,0.21061
D010911,C563236,0.21659
D010911,D006111,0.21252
D010911,C536928,0.20641
D010911,D020176,0.20785
D010911,D020176,0.20574
D010911,D014898,0.30891
D010911,D006527,0.25701
D010911,D014983,0.27619
D010911,D000795,0.26831
D010911,D010911,0.35776
D010911,D006502,0.21923
D010911,D000083242,0.2203
D010911,D009765,0.25261
D010911,D011565,0.21925
D010911,D000075222,0.2519
D010911,D000075222,0.24939
D010911,D052496,0.22151
D010911,D002292,0.21743
D010911,D018192,0.22796
D010911,D000077274,0.2074
D010911,D000075222,0.25137
D010911,C563817,0.21876
D010911,D017681,0.20815
D010911,D010282,0.22227
D010911,C538261,0.21459
D010911,C563897,0.27724
D012148,D012148,1
D012148,C531617,0.24227
D012148,C535506,0.22163
D012148,D002819,0.21554
D012148,C538007,0.25076
D012148,D004916,0.21319
D012148,D012021,0.25417
D012148,C537156,0.23092
D012148,C563534,0.2564
D012148,D009771,0.23048
D012148,D010300,0.2731
D012148,D012559,0.22912
D012148,C565678,0.24245
D012148,D005317,0.27755
D012148,C564894,0.2245
D012148,D020754,0.23013
D012148,D012559,0.22038
D012148,C563401,0.37989
D012148,C566652,0.30306
D012148,D009223,0.2354
D012148,D012559,0.30575
D012148,D012559,0.30762
D012148,D012560,0.27531
D012148,D009290,0.22534
D012148,D001321,0.259
D012148,C564676,0.27103
D012148,C535428,0.21328
D012148,D010300,0.24425
D012148,D004831,0.20015
D012148,C562694,0.32992
D012148,D004832,0.24627
D012148,C564296,0.26121
D012148,D012148,0.61911
D030981,D007644,0.20175
D030981,C535654,0.29165
D030981,D030981,1
D030981,D031845,0.31504
D030981,C538052,0.28659
D030981,D029503,0.26981
D030981,D004057,0.24624
D030981,C562509,0.32476
D030981,D004387,0.22351
D030981,C565080,0.24377
D030981,C538007,0.2049
D030981,D003966,0.22691
D030981,D004916,0.24509
D030981,C563167,0.23501
D030981,D010003,0.34475
D030981,C564164,0.23556
D030981,D012021,0.31204
D030981,D015417,0.20789
D030981,C537156,0.26336
D030981,D007873,0.20821
D030981,D008180,0.20869
D030981,D020254,0.32612
D030981,D049310,0.41215
D030981,D010003,0.25428
D030981,C536051,0.37719
D030981,D010024,0.29093
D030981,D011371,0.22837
D030981,C566757,0.3011
D030981,D011928,0.28976
D030981,D012559,0.39871
D030981,D013771,0.20878
D030981,C536545,0.21124
D030981,D004314,0.22741
D030981,C535387,0.32514
D030981,C535858,0.21865
D030981,D002813,0.20626
D030981,C565679,0.23018
D030981,D010009,0.24512
D030981,D007589,0.2118
D030981,C537480,0.30148
D030981,D010009,0.29366
D030981,C536420,0.36359
D030981,D012516,0.24709
D030981,C535282,0.36772
D030981,C536063,0.22763
D030981,C562794,0.20938
D030981,C564714,0.30923
D030981,D010009,0.26292
D030981,D010009,0.21655
D030981,D010024,0.32783
D030981,D010001,0.23242
D030981,D010003,0.29671
D031845,C535654,0.28702
D031845,D030981,0.31504
D031845,D031845,1
D031845,C538052,0.2897
D031845,C537057,0.27043
D031845,D054179,0.2155
D031845,D013167,0.22293
D031845,C531622,0.20443
D031845,D020181,0.20045
D031845,D001478,0.38356
D031845,D001528,0.22853
D031845,C562419,0.371
D031845,D001943,0.23425
D031845,C567779,0.23452
D031845,C536691,0.31343
D031845,D002607,0.20426
D031845,D002607,0.29381
D031845,C562509,0.38835
D031845,D007644,0.23569
D031845,C562379,0.24311
D031845,D020790,0.25896
D031845,D004387,0.27799
D031845,C565080,0.22984
D031845,D003966,0.34334
D031845,D005351,0.24184
D031845,D006816,0.20502
D031845,D006938,0.23189
D031845,D011546,0.20151
D031845,C535694,0.34036
D031845,C537156,0.32763
D031845,C537907,0.2179
D031845,D052496,0.27488
D031845,D008180,0.24089
D031845,D008382,0.36314
D031845,D008945,0.37506
D031845,D020254,0.2871
D031845,D009223,0.31234
D031845,C562889,0.23929
D031845,C536051,0.36503
D031845,D010024,0.2527
D031845,D010235,0.24963
D031845,D016506,0.22946
D031845,D010520,0.22724
D031845,D007690,0.31761
D031845,C536330,0.27788
D031845,D005359,0.35525
D031845,D011125,0.25251
D031845,D017118,0.22563
D031845,D017119,0.21964
D031845,D011218,0.36562
D031845,C536961,0.20553
D031845,D011371,0.27526
D031845,D011471,0.20669
D031845,D011561,0.29357
D031845,D011565,0.25099
D031845,D012175,0.34165
D031845,D012507,0.21759
D031845,D012559,0.23845
D031845,D058496,0.31933
D031845,D009436,0.26259
D031845,D011085,0.20656
D031845,D013700,0.21968
D031845,D013771,0.27045
D031845,C536545,0.21451
D031845,D004314,0.33403
D031845,C565346,0.34473
D031845,D009396,0.22254
D031845,C538178,0.29056
D031845,D000326,0.24498
D031845,D038261,0.20868
D031845,C537055,0.27279
D031845,D056769,0.30753
D031845,C565932,0.21825
D031845,D001260,0.24871
D031845,C537345,0.21299
D031845,C535933,0.21399
D031845,D002178,0.21547
D031845,C535858,0.28013
D031845,D003057,0.41854
D031845,C565679,0.25005
D031845,D003456,0.26096
D031845,D003550,0.24567
D031845,D003554,0.23735
D031845,D003922,0.20594
D031845,D004695,0.25042
D031845,D005199,0.27924
D031845,D005776,0.27078
D031845,D005776,0.22431
D031845,D005317,0.22513
D031845,C535758,0.20414
D031845,D006712,0.35944
D031845,D006849,0.20887
D031845,D010009,0.31278
D031845,D005058,0.20507
D031845,D007589,0.23239
D031845,D010214,0.27655
D031845,D054221,0.4356
D031845,C537153,0.2597
D031845,D010505,0.2717
D031845,D009084,0.33809
D031845,D009084,0.33198
D031845,D009084,0.3604
D031845,D009084,0.33226
D031845,D010009,0.40152
D031845,D009447,0.28473
D031845,D052536,0.23449
D031845,D052556,0.20057
D031845,C536420,0.38035
D031845,C535282,0.24228
D031845,C536063,0.28376
D031845,D010190,0.20132
D031845,D054078,0.20465
D031845,C537286,0.27147
D031845,C562688,0.23769
D031845,D011561,0.30328
D031845,D012035,0.26744
D031845,D015212,0.24162
D031845,C535865,0.23697
D031845,D016111,0.31974
D031845,C563236,0.21679
D031845,D013915,0.25318
D031845,C536928,0.20897
D031845,D020176,0.23016
D031845,C562794,0.29424
D031845,D014898,0.22607
D031845,D006527,0.2577
D031845,C536746,0.20863
D031845,D014983,0.28777
D031845,D000326,0.21544
D031845,C564714,0.38541
D031845,D000795,0.30588
D031845,D006467,0.25686
D031845,D053098,0.28592
D031845,C536085,0.28589
D031845,D010009,0.46887
D031845,D007706,0.2862
D031845,D020388,0.24267
D031845,D010024,0.27307
D031845,D010001,0.30391
D031845,C566530,0.24379
D031845,D009223,0.34384
D031845,D000755,0.23085
D031845,D052496,0.25974
D031845,D007039,0.26976
D031845,D056693,0.22425
D031845,C535500,0.26401
D031845,D052537,0.25414
D031845,D010282,0.20106
D015845,D015845,1
D015845,D002607,0.27882
D015845,C562509,0.21055
D015845,D003103,0.2819
D015845,C564234,0.34909
D015845,D005902,0.29939
D015845,D012021,0.24312
D015845,C564156,0.2066
D015845,D019578,0.20163
D015845,D008269,0.22563
D015845,C563591,0.20224
D015845,C563534,0.27755
D015845,D020754,0.2461
D015845,D020754,0.24958
D015845,C563498,0.27387
D015845,C535351,0.24877
D015845,D017889,0.20167
D015845,D058496,0.21271
D015845,D010264,0.2596
D015845,D020754,0.25431
D015845,D013285,0.21057
D015845,D000326,0.20281
D015845,D003103,0.23132
D015845,C565672,0.2074
D015845,D010009,0.20927
D015845,C537150,0.27445
D015845,D009447,0.23481
D015845,C536063,0.21706
D015845,C564847,0.25726
D015845,D020915,0.22583
D015845,D020817,0.28498
D015845,C563401,0.20464
D015845,D005902,0.21585
D015845,C565238,0.20507
D015845,C535428,0.22703
D015845,C535499,0.25711
D015845,D020817,0.23355
D015845,D020817,0.21708
D000224,D010911,0.23566
D000224,D000224,1
D000224,C537095,0.29717
D000224,C567296,0.30399
D000224,D046349,0.20267
D000224,D018500,0.31528
D000224,C565101,0.22509
D000224,D003924,0.27882
D000224,D006467,0.25599
D000224,D050031,0.20273
D000224,D006938,0.27596
D000224,D006950,0.27644
D000224,D006938,0.2312
D000224,D006954,0.26881
D000224,C562400,0.44913
D000224,C564164,0.32316
D000224,D011546,0.25278
D000224,D006953,0.3124
D000224,C562785,0.22985
D000224,C537156,0.20441
D000224,D019578,0.23495
D000224,C535932,0.22717
D000224,D012514,0.21782
D000224,D018459,0.28471
D000224,D007589,0.20259
D000224,D010673,0.2471
D000224,D017119,0.27263
D000224,C536961,0.24318
D000224,D056929,0.2992
D000224,D018288,0.24453
D000224,D011085,0.20175
D000224,D016750,0.20829
D000224,C536000,0.22703
D000224,C538178,0.22491
D000224,C562707,0.27796
D000224,D000326,0.20719
D000224,C562385,0.2113
D000224,C565932,0.23244
D000224,C537345,0.24679
D000224,C536778,0.20594
D000224,C565850,0.20038
D000224,D003555,0.29421
D000224,D005166,0.24178
D000224,D005776,0.2165
D000224,D006932,0.21732
D000224,D012614,0.23154
D000224,C535933,0.21629
D000224,D010505,0.21533
D000224,C535761,0.22423
D000224,C538556,0.28729
D000224,D053579,0.25713
D000224,C564870,0.25495
D000224,D011546,0.21889
D000224,D020176,0.29789
D000224,C567296,0.304
D000224,C535393,0.2426
D000224,D056729,0.23123
D000224,D000326,0.23411
D000224,C563933,0.2132
D000224,D012559,0.26926
D000224,C566603,0.22396
D000224,D007896,0.20344
D000224,D006950,0.22652
D000224,C566530,0.232
D000224,D011565,0.24096
D000224,D000075222,0.21515
D000224,D000075222,0.24427
D000224,D052496,0.20503
D000224,D006950,0.24133
D000224,C565325,0.30686
D000224,D011565,0.24464
D000224,D000075222,0.21042
D000224,D003865,0.32245
C538052,D007644,0.22555
C538052,C535654,0.31492
C538052,D030981,0.28659
C538052,D031845,0.2897
C538052,C538052,1
C538052,C537057,0.32167
C538052,D004057,0.25588
C538052,C566271,0.20136
C538052,D000505,0.22275
C538052,D001478,0.28367
C538052,D001528,0.23551
C538052,C562419,0.3687
C538052,C567779,0.26189
C538052,C536691,0.22984
C538052,D002607,0.23539
C538052,C562509,0.37813
C538052,C562379,0.31266
C538052,D004387,0.33699
C538052,D003966,0.25152
C538052,C565034,0.20769
C538052,D010003,0.24063
C538052,C562400,0.25878
C538052,C564164,0.21795
C538052,D015417,0.24111
C538052,C537156,0.30861
C538052,D007627,0.21044
C538052,D052496,0.2243
C538052,D008269,0.2083
C538052,D008382,0.24388
C538052,D008945,0.27592
C538052,D020254,0.35297
C538052,D049310,0.20414
C538052,D009223,0.21159
C538052,C536051,0.23926
C538052,D016506,0.20529
C538052,D010520,0.25708
C538052,D010916,0.20069
C538052,D011125,0.22549
C538052,D017119,0.22877
C538052,D011218,0.29339
C538052,D011371,0.25369
C538052,C566757,0.32298
C538052,D011561,0.27377
C538052,D011565,0.20225
C538052,D012175,0.20273
C538052,D002607,0.20385
C538052,D012559,0.2879
C538052,D017492,0.21177
C538052,D058496,0.22774
C538052,D013700,0.22467
C538052,D013771,0.21637
C538052,D014103,0.20714
C538052,C536545,0.2158
C538052,D004314,0.20999
C538052,C565346,0.26438
C538052,C538178,0.26254
C538052,C537055,0.33698
C538052,D056769,0.27121
C538052,D002178,0.22988
C538052,C535858,0.27045
C538052,D003057,0.24813
C538052,D003103,0.22986
C538052,C565679,0.30865
C538052,D005317,0.28932
C538052,D006712,0.21634
C538052,D010009,0.25523
C538052,C538603,0.21313
C538052,D007589,0.26442
C538052,D010214,0.28728
C538052,D054221,0.26062
C538052,D009084,0.27048
C538052,D009084,0.23079
C538052,D009084,0.25991
C538052,D009084,0.2324
C538052,D010009,0.35394
C538052,C536420,0.34394
C538052,C535282,0.27882
C538052,C536063,0.22351
C538052,C564906,0.21225
C538052,C537286,0.20782
C538052,C562688,0.21069
C538052,D011561,0.2585
C538052,C535865,0.27204
C538052,D016111,0.30498
C538052,D020176,0.23852
C538052,C562794,0.28859
C538052,C536746,0.31177
C538052,D014983,0.20735
C538052,C564714,0.31378
C538052,D020817,0.20069
C538052,C536085,0.28629
C538052,D010009,0.30164
C538052,D007706,0.20272
C538052,D010009,0.2468
C538052,D009223,0.28629
C538052,C566404,0.20787
C538052,D007039,0.43568
D000437,D000437,1
D000437,D000544,0.25049
D000437,D001528,0.22179
D000437,D008105,0.26854
D000437,D002311,0.20783
D000437,C565100,0.26849
D000437,D003924,0.24478
D000437,C536698,0.20797
D000437,D005879,0.30347
D000437,C562999,0.236
D000437,D006938,0.28327
D000437,D006950,0.2065
D000437,D006954,0.39585
D000437,D006953,0.20254
D000437,C537907,0.21242
D000437,D019578,0.24306
D000437,C562479,0.20998
D000437,C563534,0.24389
D000437,D012507,0.2227
D000437,D012559,0.23056
D000437,D020754,0.21997
D000437,D019851,0.25331
D000437,C562707,0.20774
D000437,C536353,0.26603
D000437,C537055,0.22211
D000437,D009472,0.22428
D000437,C538013,0.26553
D000437,D001321,0.25934
D000437,D002311,0.21493
D000437,C536778,0.22659
D000437,C535765,0.20068
D000437,C535767,0.23969
D000437,D001927,0.22632
D000437,C565557,0.21702
D000437,D020165,0.23101
D000437,D012614,0.20036
D000437,C565478,0.27538
D000437,D009084,0.20474
D000437,D009084,0.20482
D000437,D009084,0.21073
D000437,D009084,0.22552
D000437,D044903,0.2
D000437,C564870,0.20823
D000437,D011546,0.22734
D000437,D012035,0.20271
D000437,D013915,0.22715
D000437,D006111,0.22156
D000437,C535393,0.2484
D000437,D020915,0.48202
D000437,D006527,0.21539
D000437,D020388,0.25046
D000437,D001321,0.2621
D000437,C564505,0.20918
D000437,D001321,0.26254
D000437,D001321,0.2765
D000437,D018500,0.21602
D000437,C564015,0.21041
D000437,D020754,0.20107
D000437,D012559,0.23362
D000437,D012559,0.29054
D000437,D000083242,0.29218
D000437,C566603,0.21425
D000437,C566578,0.21216
D000437,D006950,0.24158
D000437,D012559,0.2623
D000437,D012559,0.26393
D000437,D000075222,0.21677
D000437,D052456,0.21069
D000437,D000075222,0.23341
D000437,D006950,0.23505
D000437,D001321,0.22363
D000437,D056693,0.23944
D000437,C535500,0.20339
D000437,D019966,0.49869
D000437,D002446,0.22684
D000437,D000075222,0.21385
D000437,D001321,0.25855
D000437,D020325,0.21357
D000437,D052537,0.2659
D000437,D017681,0.21028
D000437,D001008,0.41762
D000437,D001321,0.24913
D000437,D003327,0.21959
D000437,C563897,0.23123
D000437,D001321,0.23833
D000437,D005271,0.2575
C537057,D031845,0.27043
C537057,C538052,0.32167
C537057,C537057,1
C537057,D000544,0.20078
C537057,C566271,0.24221
C537057,D000505,0.32858
C537057,D001478,0.25475
C537057,D001528,0.33154
C537057,C562419,0.24752
C537057,C566188,0.2095
C537057,C567779,0.36264
C537057,C536691,0.30877
C537057,D019305,0.32896
C537057,C562509,0.24607
C537057,D020936,0.25809
C537057,D020936,0.32111
C537057,D007644,0.31934
C537057,C562379,0.20603
C537057,D004387,0.20073
C537057,D004828,0.33151
C537057,D010787,0.24536
C537057,D020195,0.23885
C537057,D005351,0.27342
C537057,C564239,0.25211
C537057,D005910,0.21678
C537057,C562999,0.21451
C537057,D006938,0.20003
C537057,C562400,0.21495
C537057,C564156,0.20185
C537057,C537156,0.34022
C537057,D019578,0.2306
C537057,D052496,0.21765
C537057,D008382,0.21547
C537057,D000096142,0.20441
C537057,D009223,0.24766
C537057,C563498,0.30588
C537057,D016506,0.24275
C537057,D010520,0.27409
C537057,D005359,0.2017
C537057,D011125,0.21142
C537057,D017119,0.22663
C537057,D011218,0.23918
C537057,D011561,0.26222
C537057,D013341,0.36799
C537057,C536545,0.23581
C537057,D004314,0.25543
C537057,C565346,0.27688
C537057,D001327,0.25246
C537057,C538178,0.32785
C537057,D000326,0.26346
C537057,D038261,0.23039
C537057,C537055,0.36189
C537057,D002549,0.20929
C537057,D056769,0.20428
C537057,D009472,0.23405
C537057,D009472,0.29158
C537057,C565932,0.20734
C537057,D001260,0.21529
C537057,D001321,0.22092
C537057,D002178,0.37246
C537057,D002817,0.26023
C537057,C565850,0.20953
C537057,D003057,0.23632
C537057,C565678,0.2381
C537057,D003414,0.2177
C537057,C535767,0.25347
C537057,D005317,0.21488
C537057,D006712,0.25345
C537057,C537150,0.20846
C537057,C538603,0.24098
C537057,D010214,0.34087
C537057,D054221,0.24761
C537057,D009084,0.28902
C537057,D009084,0.26975
C537057,D009084,0.30283
C537057,D009084,0.32725
C537057,D020190,0.24932
C537057,D010009,0.26375
C537057,D052536,0.25393
C537057,D052556,0.20555
C537057,C537752,0.22329
C537057,C536420,0.23849
C537057,C564906,0.20364
C537057,C538556,0.21857
C537057,C537286,0.20638
C537057,D053579,0.21582
C537057,C562688,0.24535
C537057,D011561,0.21991
C537057,C564847,0.28636
C537057,C535865,0.27082
C537057,D016111,0.32319
C537057,D013915,0.25362
C537057,C536928,0.21928
C537057,D020176,0.22979
C537057,C562794,0.30009
C537057,D006527,0.24038
C537057,D007039,0.2136
C537057,C536746,0.38601
C537057,D014983,0.21904
C537057,C564714,0.34221
C537057,D001321,0.29485
C537057,C564505,0.44009
C537057,D020817,0.20456
C537057,D001321,0.30263
C537057,D001321,0.31105
C537057,D006467,0.20297
C537057,C562782,0.22411
C537057,C536085,0.38244
C537057,C567924,0.24055
C537057,D007706,0.24888
C537057,D004832,0.29376
C537057,D020754,0.2326
C537057,D009765,0.20157
C537057,D009223,0.29704
C537057,D007039,0.41182
C537057,D020190,0.22299
C537057,D004831,0.32149
C537057,C537537,0.28957
C537057,D012560,0.20579
C537057,D008180,0.27252
C537057,D056693,0.20401
C537057,C565238,0.21735
C537057,C535500,0.34031
C537057,D004831,0.27032
C537057,D001321,0.26745
C537057,C562694,0.28763
C537057,D004832,0.26578
C537057,C565811,0.30017
C537057,C562694,0.3015
C537057,D001321,0.25461
C537057,C535499,0.31146
C537057,C564274,0.31409
C537057,D001321,0.2672
C537057,D020190,0.21869
D000544,D000437,0.25049
D000544,C537057,0.20078
D000544,D000544,1
D000544,C536595,0.38066
D000544,C531617,0.32927
D000544,D054179,0.2776
D000544,C531622,0.21527
D000544,D020181,0.22084
D000544,C535506,0.22584
D000544,C537095,0.23359
D000544,C566188,0.27786
D000544,D001943,0.24315
D000544,D006528,0.24604
D000544,C567779,0.22517
D000544,D002311,0.25327
D000544,C567296,0.20026
D000544,D002607,0.21941
D000544,D002607,0.23235
D000544,D002819,0.23186
D000544,D046349,0.28401
D000544,D007644,0.25682
D000544,D046589,0.31314
D000544,C565115,0.32568
D000544,D020191,0.29802
D000544,D020790,0.26442
D000544,C565100,0.25728
D000544,D003924,0.27301
D000544,D009103,0.30246
D000544,D020961,0.35783
D000544,C565054,0.20515
D000544,D004916,0.20322
D000544,D005879,0.28339
D000544,D005910,0.29655
D000544,D050031,0.21249
D000544,D006816,0.45976
D000544,D001289,0.24191
D000544,D005878,0.23414
D000544,C562999,0.2225
D000544,D006938,0.30639
D000544,D006938,0.25686
D000544,D006950,0.23745
D000544,D002292,0.25409
D000544,D000075222,0.35069
D000544,C535694,0.24525
D000544,D006953,0.21903
D000544,C537156,0.2981
D000544,C537907,0.26366
D000544,D019578,0.34222
D000544,D052496,0.24852
D000544,D008180,0.2523
D000544,C535323,0.29804
D000544,D008258,0.22097
D000544,C562479,0.261
D000544,D008382,0.24485
D000544,C535507,0.22163
D000544,D008527,0.22682
D000544,D000098943,0.26328
D000544,D020326,0.21045
D000544,D015493,0.21185
D000544,D009223,0.29512
D000544,C563534,0.24192
D000544,D020754,0.25649
D000544,D020754,0.27195
D000544,D010300,0.32577
D000544,D010300,0.34262
D000544,D010673,0.21755
D000544,D020774,0.41402
D000544,D007690,0.25378
D000544,C536330,0.26415
D000544,D011125,0.31129
D000544,D017118,0.30889
D000544,D017119,0.29496
D000544,D011218,0.35335
D000544,D011371,0.26375
D000544,D011471,0.20912
D000544,D054990,0.21249
D000544,D012175,0.30736
D000544,D012507,0.22565
D000544,D012559,0.40951
D000544,D018288,0.2488
D000544,D058496,0.23635
D000544,D020754,0.31156
D000544,D020754,0.24599
D000544,D011085,0.23174
D000544,D016750,0.24524
D000544,D013285,0.20028
D000544,D013341,0.28703
D000544,D013700,0.20966
D000544,D013922,0.26611
D000544,D019851,0.23264
D000544,D000077273,0.2028
D000544,C536545,0.23404
D000544,D004314,0.43449
D000544,C565346,0.30918
D000544,D056725,0.28428
D000544,D009396,0.21054
D000544,C538178,0.2381
D000544,C562707,0.21172
D000544,C536353,0.27971
D000544,D000326,0.27309
D000544,D038261,0.23973
D000544,C537055,0.24032
D000544,D002549,0.29054
D000544,D056769,0.22048
D000544,D009472,0.36643
D000544,D009472,0.33273
D000544,C565933,0.20022
D000544,D001260,0.40992
D000544,C538013,0.29772
D000544,D001321,0.28645
D000544,D009165,0.20783
D000544,C565905,0.2397
D000544,C537345,0.27052
D000544,C535933,0.25082
D000544,C536778,0.27404
D000544,C565850,0.2335
D000544,D003057,0.32517
D000544,D003414,0.28249
D000544,D003550,0.25926
D000544,C535765,0.27665
D000544,D003554,0.30694
D000544,C535767,0.27869
D000544,D003922,0.24918
D000544,C565617,0.20768
D000544,D005199,0.34364
D000544,D005198,0.2174
D000544,D005776,0.32437
D000544,D005776,0.37172
D000544,D005776,0.26786
D000544,D001606,0.22215
D000544,D006689,0.21921
D000544,D006712,0.27761
D000544,D020165,0.22652
D000544,D007566,0.22875
D000544,D000075262,0.2026
D000544,D012614,0.24097
D000544,D054221,0.32269
D000544,D013132,0.23687
D000544,D010505,0.25964
D000544,C567102,0.24023
D000544,D009084,0.30849
D000544,D009084,0.34855
D000544,D009084,0.2978
D000544,D009084,0.31256
D000544,D009182,0.21937
D000544,D009101,0.27256
D000544,D020194,0.36272
D000544,D044903,0.22553
D000544,D009447,0.27038
D000544,D052536,0.30547
D000544,D052556,0.41004
D000544,C538104,0.25408
D000544,C538556,0.25176
D000544,C537286,0.29407
D000544,D011087,0.21029
D000544,D011546,0.25513
D000544,C562688,0.25217
D000544,D011561,0.22222
D000544,D012035,0.27257
D000544,D015212,0.28598
D000544,D012174,0.23738
D000544,D016111,0.26137
D000544,C563236,0.23296
D000544,D013915,0.25673
D000544,D006111,0.22557
D000544,D020176,0.31349
D000544,D020176,0.26576
D000544,D020176,0.23413
D000544,C562794,0.23772
D000544,C535393,0.20762
D000544,D014898,0.38456
D000544,D020915,0.22548
D000544,D006527,0.37882
D000544,D014983,0.31461
D000544,D000326,0.35503
D000544,C564714,0.20256
D000544,D020388,0.22358
D000544,D001321,0.28991
D000544,C564505,0.21252
D000544,D001321,0.28243
D000544,D001321,0.29388
D000544,D000795,0.34174
D000544,D056889,0.24289
D000544,D018500,0.22552
D000544,D006467,0.33774
D000544,C536085,0.2043
D000544,D008232,0.27674
D000544,C567924,0.22068
D000544,D007706,0.37872
D000544,D005600,0.24134
D000544,D020388,0.26062
D000544,D016649,0.2341
D000544,D017241,0.26532
D000544,C564015,0.3026
D000544,D020734,0.28143
D000544,D020754,0.20659
D000544,D057180,0.42873
D000544,D001249,0.28875
D000544,D012559,0.31015
D000544,D006502,0.21701
D000544,D013494,0.35734
D000544,D000083242,0.36957
D000544,D015470,0.2303
D000544,D009765,0.24723
D000544,D044903,0.22385
D000544,D056735,0.22966
D000544,D010001,0.21431
D000544,C566578,0.31712
D000544,C566552,0.21405
D000544,D004915,0.30048
