Disease,Disease,Similarity_Score
C535654,D000075222,0
C535654,C564156,0.012675905
C535654,C535694,0
C535654,D006953,0
C535654,C562785,0.308364746
C535654,C537156,0.298093305
C535654,C537907,0.298093305
C535654,D019578,0.278430676
C535654,D016112,0.252207783
C535654,D007154,0.058059459
C535654,C535932,0.040424845
C535654,D000699,0.129108586
C535654,D007299,0
C535654,D012514,0
C535654,D007627,0.244263054
C535654,D007873,0.3291218
C535654,D007948,0
C535654,D015451,0
C535654,D018459,0.306386858
C535654,D008180,0.304453861
C535654,C562479,0.356748541
C535654,D008269,0.320380707
C535654,C535695,0
C535654,C535696,0
C535654,C535507,0.189011254
C535654,D008575,0
C535654,C563591,0.331519805
C535654,D020326,0.242482801
C535654,D008945,0
C535654,D020254,0
C535654,D009041,0
C535654,D049310,0.20923719
C535654,D009220,0.307402658
C535654,C563534,0.157376753
C535654,C562889,0.227393702
C535654,C563498,0.33396576
C535654,C535351,0.336425808
C535654,D010003,0.316243051
C535654,C536051,0.368442315
C535654,D010024,0.408052731
C535654,D010033,0.003839668
C535654,C563476,0.372075051
C535654,D010300,0.323438372
C535654,D010300,0.323438372
C535654,D010300,0.323438372
C535654,D000752,0
C535654,D010673,0
C535654,D010916,0.297213593
C535654,D005359,0.32015693
C535654,D011125,0
C535654,C562464,0.014136938
C535654,C566757,0.344089071
C535654,D011471,0.017099121
C535654,D006976,0.004557922
C535654,D011928,0
C535654,D012507,0.001598046
C535654,D012555,0
C535654,D017492,0.31651254
C535654,D018288,0
C535654,D010264,0.179327907
C535654,D011085,0.290723424
C535654,D013700,0.30815198
C535654,D013922,0
C535654,D016553,0
C535654,D019851,0.006682964
C535654,C572845,0
C535654,D014029,0
C535654,D014103,0.226106502
C535654,D011225,0.002106194
C535654,C536545,0.230562441
C535654,C536406,0.332104901
C535654,D014277,0.163916129
C535654,C565346,0.181767292
C535654,D003093,0.003410857
C535654,D001750,0.17060976
C535654,D014648,0
C535654,D001327,0.040733219
C535654,D056725,0
C535654,D009396,0
C535654,D014927,0
C535654,C536000,0.322834507
C535654,D000326,0.264000065
C535654,D000347,0
C535654,D002549,0.263148647
C535654,D000744,0
C535654,C562385,0
C535654,C535382,0.246867325
C535654,C535387,0.376746119
C535654,D002915,0
C535654,C565935,0
C535654,C565933,0.381498364
C535654,C565932,0.20434272
C535654,C538013,0.303136593
C535654,D008175,0.029535825
C535654,D002178,0.276290332
C535654,D002311,0
C535654,D002311,0
C535654,C565881,0.019918372
C535654,C538280,0.364332654
C535654,C535858,0.406023584
C535654,C565850,0.34600637
C535654,C565679,0.285909573
C535654,C565678,0.226624141
C535654,C565672,0.246900346
C535654,D003414,0
C535654,D003550,0.003672021
C535654,C535765,0
C535654,D003554,0
C535654,D003555,0
C535654,D003922,0.329896567
C535654,D001927,0.467404186
C535654,D004695,0
C535654,D004760,0
C535654,D005166,0
C535654,D005776,0.264469054
C535654,D005776,0.264469054
C535654,D005776,0.264469054
C535654,D006828,0
C535654,D001606,0
C535654,D006030,0
C535654,D005317,0
C535654,C535758,0.007387315
C535654,D006689,0.00372936
C535654,D006932,0.009777775
C535654,D007566,0
C535654,C565498,0.002751262
C535654,C565494,0.209722416
C535654,D000075262,0.249460383
C535654,D012614,0
C535654,D005058,0.2449828
C535654,C538603,0.274355621
C535654,D011559,0.284396135
C535654,D007918,0.002075539
C535654,D006646,0
C535654,C565441,0.011311331
C535654,D054221,0.108760608
C535654,C565429,0.002569003
C535654,C565423,0.378588859
C535654,D010505,0.063939274
C535654,C536988,0.220195063
C535654,D009157,0.179829177
C535654,D009182,0
C535654,D055728,0
C535654,D009101,0.005401497
C535654,D020190,0.237568109
C535654,D020194,0.206060015
C535654,D009230,0.282921981
C535654,D009404,0
C535654,D009447,0.002153662
C535654,D052536,0.189267801
C535654,D052556,0.227078354
C535654,C536420,0.218278962
C535654,D012516,0.026439428
C535654,C535282,0.374887667
C535654,C564906,0.319603719
C535654,C564899,0.036459324
C535654,C564894,0.248396498
C535654,C538556,0.012095962
C535654,C537286,0.238489629
C535654,D011087,0
C535654,D053579,0
C535654,C562688,0.289384656
C535654,C564862,0.004557922
C535654,D015212,0.018994892
C535654,D008228,0.023832127
C535654,C564847,0.399555327
C535654,D018232,0
C535654,C535865,0.432776901
C535654,D053713,0
C535654,C563236,0.307501384
C535654,D013915,0
C535654,D006111,0.331676654
C535654,C536928,0.369386447
C535654,C562794,0.289384656
C535654,C535393,0.20434272
C535654,D056729,0
C535654,D020915,0.127439234
C535654,D006527,0.269345401
C535654,C536746,0.341161025
C535654,D000326,0.264000065
C535654,D020326,0.242482801
C535654,D003922,0.329896567
C535654,C564714,0.406023584
C535654,D015794,0.261930674
C535654,C580192,0.329896567
C535654,D003919,0.586120418
C535654,D056889,0
C535654,C536085,0.346981621
C535654,C567924,0.271713939
C535654,C564118,0
C535654,C562901,0.029699792
C535654,D016649,0.263682952
C535654,C536692,0.281992322
C535654,D017241,0.252373633
C535654,C564015,0.323438372
C535654,C564005,0.289384656
C535654,D011470,0
C535654,D020734,0.350857942
C535654,D004832,0.273905796
C535654,D016481,0.002159168
C535654,C563959,0.329896567
C535654,C563949,0.036477668
C535654,C535697,0
C535654,C563933,0.342625579
C535654,D053206,0
C535654,D010911,0.607566333
C535654,D002764,0
C535654,D001249,0.017606981
C535654,C563439,0
C535654,C563401,0.311530796
C535654,C563371,0.329896567
C535654,C563352,0.329896567
C535654,C537243,0.017099121
C535654,C566652,0.137708694
C535654,D015470,0.011311331
C535654,D009765,0.023507942
C535654,C566645,0.329896567
C535654,D005902,0.341125078
C535654,D008180,0.304453861
C535654,C535698,0
C535654,C535699,0
C535654,C566603,0.329896567
C535654,C566602,0.329896567
C535654,D007896,0.350644207
C535654,D010001,0.372075051
C535654,C566578,0.338042754
C535654,C536546,0.182212307
C535654,C566552,0.323438372
C535654,D004915,0
C535654,C566530,0.250890603
C535654,C566404,0.333510632
C535654,C566395,0.329896567
C535654,D006111,0.331676654
C535654,C565798,0.272609913
C535654,C536253,0.35119617
C535654,D020190,0.237568109
C535654,D004831,0.284147348
C535654,C565728,0.338042754
C535654,D008180,0.304453861
C535654,D008180,0.304453861
C535654,C565325,0.338042754
C535654,C565292,0.333510632
C535654,C565291,0.333510632
C535654,C535516,0.409119701
C535654,D009290,0.157376753
C535654,C565280,0.333510632
C535654,D056693,0
C535654,C565238,0.323438372
C535654,C535500,0.228687943
C535654,C564676,0.308480625
C535654,D046152,0.020411414
C535654,C535428,0.306840538
C535654,C536596,0.338042754
C535654,D010300,0.323438372
C535654,D065631,0.005899415
C535654,D002446,0
C535654,C537217,0.137708694
C535654,D004374,0
C535654,C537583,0.33396576
C535654,D020325,0.257383472
C535654,D020326,0.242482801
C535654,D020325,0.257383472
C535654,D020326,0.242482801
C535654,C563817,0.007547036
C535654,D052537,0.194245242
C535654,C536119,0.227078354
C535654,C562694,0.326085472
C535654,D004832,0.273905796
C535654,C565811,0.326085472
C535654,C562694,0.326085472
C535654,D017681,0
C535654,C564345,0.323438372
C535654,C564330,0.338042754
C535654,D010003,0.316243051
C535654,C564306,0.264469054
C535654,D001925,0.349871503
C535654,C564296,0.153002355
C535654,C535499,0.265738353
C535654,C564274,0.239176767
C535654,D015464,0
C535654,D010282,0.287042027
C535654,C564258,0.021258416
C535654,D008180,0.304453861
C535654,C563924,0
C535654,C538261,0.007547036
C535654,C563897,0.028151599
C535654,C563838,0.356748541
C535654,C563834,0.338042754
D012148,D030981,0
D012148,D031845,0
D012148,D015845,0.169893083
D012148,D000224,0
D012148,D000437,0.002487327
D012148,C537057,0.25729048
D012148,D000544,0.193436351
D012148,C536595,0.193436351
D012148,D054179,0
D012148,D004057,0
D012148,C531622,0
D012148,D020181,0.594690111
D012148,D001327,0.031317011
D012148,D000505,0.015403038
D012148,D005764,0
D012148,D015451,0
D012148,D001749,0
D012148,C562419,0.012141058
D012148,C566188,0.212207623
D012148,D017488,0
D012148,D001943,0.017883829
D012148,D015179,0.018092662
D012148,D006528,0.003011957
D012148,C567779,0
D012148,D001145,0.038118264
D012148,D020936,0.114250466
D012148,D020936,0.114250466
D012148,D007644,0
D012148,D046589,0.116504068
D012148,C565115,0.222059192
D012148,C562379,0.00764221
D012148,D020790,0.006486259
D012148,C565101,0.007561754
D012148,C564219,0.007561754
D012148,C565100,0.002377186
D012148,D003924,0.007561754
D012148,D009103,0.185834993
D012148,C565080,0.032550798
D012148,D020961,0.139470915
D012148,C536698,0.217288323
D012148,D004715,0
D012148,D003966,0
D012148,C565054,0.005229214
D012148,D004828,0.182518477
D012148,D010787,0
D012148,D020195,0.129137496
D012148,D004938,0
D012148,C565034,0
D012148,C565025,0.003812961
D012148,D006467,0
D012148,C565024,0.003812961
D012148,C565023,0.003812961
D012148,D005198,0
D012148,D005258,0
D012148,D005351,0
D012148,D006970,0.619313727
D012148,D013274,0.00472073
D012148,C564239,0
D012148,D005879,0.145398978
D012148,C564234,0
D012148,D005902,0
D012148,D005910,0.009940141
D012148,D018310,0
D012148,D050031,0
D012148,D010003,0.003694794
D012148,D006392,0
D012148,D006816,0.18001678
D012148,D005878,0
D012148,C562999,0
D012148,D006938,0
D012148,D006938,0
D012148,D006945,0
D012148,D006950,0
D012148,D006938,0
D012148,D006954,0
D012148,D002292,0
D012148,C564164,0.012632826
D012148,D000075222,0
D012148,C564156,0.05991743
D012148,C535694,0.01286749
D012148,D006953,0
D012148,C562785,0
D012148,C537156,0
D012148,C537907,0.204308176
D012148,D019578,0.147344096
D012148,D016112,0
D012148,D007154,0.048643251
D012148,C535932,0.031008637
D012148,D000699,0.119327281
D012148,D007299,0
D012148,D012514,0
D012148,D007627,0.008690623
D012148,D007873,0.007669116
D012148,D007948,0
D012148,D015451,0
D012148,D018459,0
D012148,D008180,0.000962555
D012148,C562479,0
D012148,D008269,0
D012148,C535695,0.01286749
D012148,C535696,0.01286749
D012148,C535507,0.204308176
D012148,D008575,0
D012148,C563591,0.251897189
D012148,D020326,0.12050948
D012148,D008945,0
D012148,D020254,0
D012148,D009041,0.048250639
D012148,D049310,0.111693083
D012148,D009220,0.185170122
D012148,C563534,0.57800833
D012148,C562889,0
D012148,C563498,0.251897189
D012148,C535351,0.246618914
D012148,D010003,0.003694794
D012148,C536051,0
D012148,D010024,0.001352437
D012148,D010033,0
D012148,C563476,0.144715746
D012148,D010300,0.185977061
D012148,D010300,0.185977061
D012148,D010300,0.185977061
D012148,D000752,0
D012148,D010673,0
D012148,D010916,0
D012148,D005359,0
D012148,D011125,0
D012148,C562464,0.00472073
D012148,C566757,0.23382928
D012148,D011471,0.007682914
D012148,D006976,0
D012148,D011928,0
D012148,D012507,0
D012148,D012555,0
D012148,D017492,0
D012148,D018288,0
D012148,D010264,0.214179063
D012148,D011085,0.007963331
D012148,D013700,0.148853958
D012148,D013922,0
D012148,D016553,0.012567063
D012148,D019851,0
D012148,C572845,0
D012148,D014029,0
D012148,D014103,0.173326836
D012148,D011225,0
D012148,C536545,0.141030574
D012148,C536406,0.162367456
D012148,D014277,0.152918529
D012148,C565346,0.147813778
D012148,D003093,0
D012148,D001750,0.205104262
D012148,D014648,0
D012148,D001327,0.031317011
D012148,D056725,0
D012148,D009396,0
D012148,D014927,0.007495117
D012148,C536000,0.176127086
D012148,D000326,0.142175768
D012148,D000347,0
D012148,D002549,0.137111464
D012148,D000744,0
D012148,C562385,0
D012148,C535382,0.031414504
D012148,C535387,0.031330087
D012148,D002915,0
D012148,C565935,0.011318312
D012148,C565933,0.253833274
D012148,C565932,0.222089637
D012148,C538013,0.207980412
D012148,D008175,0.020119618
D012148,D002178,0
D012148,D002311,0.008690623
D012148,D002311,0.008690623
D012148,C565881,0.024763988
D012148,C538280,0.010502164
D012148,C535858,0.001174429
D012148,C565850,0.174466565
D012148,C565679,0.173326836
D012148,C565678,0.270164864
D012148,C565672,0.237655062
D012148,D003414,0
D012148,D003550,0
D012148,C535765,0
D012148,D003554,0
D012148,D003555,0
D012148,D003922,0.002377186
D012148,D001927,0.272731227
D012148,D004695,0
D012148,D004760,0
D012148,D005166,0
D012148,D005776,0.143729134
D012148,D005776,0.143729134
D012148,D005776,0.143729134
D012148,D006828,0
D012148,D001606,0
D012148,D006030,0
D012148,D005317,0.010860663
D012148,C535758,0.011526471
D012148,D006689,0
D012148,D006932,0.020229477
D012148,D007566,0.00597285
D012148,C565498,0
D012148,C565494,0.258211909
D012148,D000075262,0
D012148,D012614,0
D012148,D005058,0
D012148,C538603,0
D012148,D011559,0.147020538
D012148,D007918,0
D012148,D006646,0
D012148,C565441,0.001895123
D012148,D054221,0.126679685
D012148,C565429,0
D012148,C565423,0
D012148,D010505,0
D012148,C536988,0.21194167
D012148,D009157,0.168711884
D012148,D009182,0
D012148,D055728,0
D012148,D009101,0
D012148,D020190,0.117086033
D012148,D020194,0.106405936
D012148,D009230,0
D012148,D009404,0
D012148,D009447,0
D012148,D052536,0.103024089
D012148,D052556,0.113965916
D012148,C536420,0.251897189
D012148,D012516,0
D012148,C535282,0.14897999
D012148,C564906,0
D012148,C564899,0.071015735
D012148,C564894,0.264531115
D012148,C538556,0.028769316
D012148,C537286,0.204308176
D012148,D011087,0
D012148,D053579,0
D012148,C562688,0
D012148,C564862,0
D012148,D015212,0.009578685
D012148,D008228,0.01441592
D012148,C564847,0.213195923
D012148,D018232,0
D012148,C535865,0.210632954
D012148,D053713,0
D012148,C563236,0.033667245
D012148,D013915,0
D012148,D006111,0
D012148,C536928,0.21341182
D012148,C562794,0
D012148,C535393,0.222089637
D012148,D056729,0
D012148,D020915,0.153533714
D012148,D006527,0.146831596
D012148,C536746,0.030951121
D012148,D000326,0.142175768
D012148,D020326,0.12050948
D012148,D003922,0.002377186
D012148,C564714,0.00457732
D012148,D015794,0
D012148,C580192,0.08327911
D012148,D003919,0.007095933
D012148,D056889,0
D012148,C536085,0.155815557
D012148,C567924,0.142906106
D012148,C564118,0.023067045
D012148,C562901,0.020283584
D012148,D016649,0
D012148,C536692,0.270264783
D012148,D017241,0.125017051
D012148,C564015,0.185977061
D012148,C564005,0
D012148,D011470,0
D012148,D020734,0.202613545
D012148,D004832,0.144733648
D012148,D016481,0
D012148,C563959,0.002377186
D012148,C563949,0.075312099
D012148,C535697,0.01286749
D012148,C563933,0.007561754
D012148,D053206,0
D012148,D010911,0.172899354
D012148,D002764,0
D012148,D001249,0.008190774
D012148,C563439,0
D012148,C563401,0.26083216
D012148,C563371,0.002377186
D012148,C563352,0.002377186
D012148,C537243,0.007682914
D012148,C566652,0.126669211
D012148,D015470,0.001895123
D012148,D009765,0.035197532
D012148,C566645,0.002377186
D012148,D005902,0
D012148,D008180,0.000962555
D012148,C535698,0.01286749
D012148,C535699,0.01286749
D012148,C566603,0.002377186
D012148,C566602,0.002377186
D012148,D007896,0
D012148,D010001,0
D012148,C566578,0.193436351
D012148,C536546,0.200588419
D012148,C566552,0.185977061
D012148,D004915,0
D012148,C566530,0.204308176
D012148,C566404,0
D012148,C566395,0.002377186
D012148,D006111,0
D012148,C565798,0
D012148,C536253,0
D012148,D020190,0.117086033
D012148,D004831,0.153234017
D012148,C565728,0.193436351
D012148,D008180,0.000962555
D012148,D008180,0.000962555
D012148,C565325,0.193436351
D012148,C565292,0.008190774
D012148,C565291,0
D012148,C535516,0.014021749
D012148,D009290,0.57800833
D012148,C565280,0
D012148,D056693,0
D012148,C565238,0.185977061
D012148,C535500,0.111702449
D012148,C564676,0.26083216
D012148,D046152,0
D012148,C535428,0
D012148,C536596,0.193436351
D012148,D010300,0.185977061
D012148,D065631,0
D012148,D002446,0
D012148,C537217,0.126669211
D012148,D004374,0
D012148,C537583,0.20226899
D012148,D020325,0.133104163
D012148,D020326,0.12050948
D012148,D020325,0.133104163
D012148,D020326,0.12050948
D012148,C563817,0.012632826
D012148,D052537,0.103941525
D012148,C536119,0.113965916
D012148,C562694,0.181240857
D012148,D004832,0.144733648
D012148,C565811,0.228974088
D012148,C562694,0.181240857
D012148,D017681,0
D012148,C564345,0.185977061
D012148,C564330,0.230504603
D012148,D010003,0.003694794
D012148,C564306,0.143729134
D012148,D001925,0.193029241
D012148,C564296,0.162614095
D012148,C535499,0.208304764
D012148,C564274,0.114250466
D012148,D015464,0
D012148,D010282,0
D012148,C564258,0.011842208
D012148,D008180,0.000962555
D012148,C563924,0
D012148,C538261,0.012632826
D012148,C563897,0.018735392
D012148,C563838,0
D012148,C563834,0.193436351
D030981,D031845,0.839589746
D030981,D015845,0
D030981,D000224,0
D030981,D000437,0
D030981,C537057,0.265081636
D030981,D000544,0
D030981,C536595,0
D030981,D054179,0
D030981,D004057,0.256160546
D030981,C531622,0
D030981,D020181,0
D030981,D001327,0.00617077
D030981,D000505,0
D030981,D005764,0
D030981,D015451,0
D030981,D001749,0
D030981,C562419,0
D030981,C566188,0
D030981,D017488,0
D030981,D001943,0
D030981,D015179,0
D030981,D006528,0
D030981,C567779,0
D030981,D001145,0
D030981,D020936,0
D030981,D020936,0
D030981,D007644,0
D030981,D046589,0
D030981,C565115,0
D030981,C562379,0
D030981,D020790,0
D030981,C565101,0
D030981,C564219,0
D030981,C565100,0
D030981,D003924,0
D030981,D009103,0
D030981,C565080,0.517792763
D030981,D020961,0
D030981,C536698,0
D030981,D004715,0
D030981,D003966,0.400201683
D030981,C565054,0
D030981,D004828,0
D030981,D010787,0
D030981,D020195,0
D030981,D004938,0
D030981,C565034,0.305780589
D030981,C565025,0
D030981,D006467,0
D030981,C565024,0
D030981,C565023,0
D030981,D005198,0
D030981,D005258,0.166884918
D030981,D005351,0
D030981,D006970,0
D030981,D013274,0
D030981,C564239,0
D030981,D005879,0
D030981,C564234,0
D030981,D005902,0
D030981,D005910,0
D030981,D018310,0
D030981,D050031,0
D030981,D010003,0.245283561
D030981,D006392,0
D030981,D006816,0
D030981,D005878,0
D030981,C562999,0
D030981,D006938,0
D030981,D006938,0
D030981,D006945,0
D030981,D006950,0
D030981,D006938,0
D030981,D006954,0
D030981,D002292,0
D030981,C564164,0
D030981,D000075222,0
D030981,C564156,0
D030981,C535694,0
D030981,D006953,0
D030981,C562785,0
D030981,C537156,0
D030981,C537907,0
D030981,D019578,0
D030981,D016112,0
D030981,D007154,0.023497009
D030981,C535932,0.005862395
D030981,D000699,0
D030981,D007299,0
D030981,D012514,0
D030981,D007627,0
D030981,D007873,0.271421643
D030981,D007948,0
D030981,D015451,0
D030981,D018459,0
D030981,D008180,0
D030981,C562479,0
D030981,D008269,0
D030981,C535695,0
D030981,C535696,0
D030981,C535507,0
D030981,D008575,0
D030981,C563591,0
D030981,D020326,0
D030981,D008945,0
D030981,D020254,0
D030981,D009041,0
D030981,D049310,0.158335675
D030981,D009220,0.239460518
D030981,C563534,0
D030981,C562889,0
D030981,C563498,0
D030981,C535351,0.220346329
D030981,D010003,0.245283561
D030981,C536051,0.759864771
D030981,D010024,0.342558549
D030981,D010033,0
D030981,C563476,0.318148234
D030981,D010300,0
D030981,D010300,0
D030981,D010300,0
D030981,D000752,0
D030981,D010673,0
D030981,D010916,0
D030981,D005359,0.419089271
D030981,D011125,0
D030981,C562464,0
D030981,C566757,0
D030981,D011471,0
D030981,D006976,0
D030981,D011928,0
D030981,D012507,0
D030981,D012555,0
D030981,D017492,0
D030981,D018288,0
D030981,D010264,0
D030981,D011085,0
D030981,D013700,0
D030981,D013922,0
D030981,D016553,0
D030981,D019851,0
D030981,C572845,0
D030981,D014029,0
D030981,D014103,0
D030981,D011225,0
D030981,C536545,0
D030981,C536406,0
D030981,D014277,0
D030981,C565346,0
D030981,D003093,0
D030981,D001750,0
D030981,D014648,0
D030981,D001327,0.00617077
D030981,D056725,0
D030981,D009396,0
D030981,D014927,0
D030981,C536000,0.189118438
D030981,D000326,0
D030981,D000347,0
D030981,D002549,0
D030981,D000744,0
D030981,C562385,0
D030981,C535382,0.186004107
D030981,C535387,0.313252242
D030981,D002915,0
D030981,C565935,0
D030981,C565933,0
D030981,C565932,0
D030981,C538013,0
D030981,D008175,0
D030981,D002178,0
D030981,D002311,0
D030981,D002311,0
D030981,C565881,0
D030981,C538280,0
D030981,C535858,0.517792763
D030981,C565850,0
D030981,C565679,0.220621095
D030981,C565678,0
D030981,C565672,0
D030981,D003414,0
D030981,D003550,0
D030981,C535765,0
D030981,D003554,0
D030981,D003555,0
D030981,D003922,0
D030981,D001927,0.020115828
D030981,D004695,0
D030981,D004760,0
D030981,D005166,0
D030981,D005776,0
D030981,D005776,0
D030981,D005776,0
D030981,D006828,0
D030981,D001606,0
D030981,D006030,0
D030981,D005317,0
D030981,C535758,0
D030981,D006689,0
D030981,D006932,0
D030981,D007566,0
D030981,C565498,0
D030981,C565494,0
D030981,D000075262,0
D030981,D012614,0
D030981,D005058,0
D030981,C538603,0
D030981,D011559,0
D030981,D007918,0
D030981,D006646,0
D030981,C565441,0
D030981,D054221,0
D030981,C565429,0
D030981,C565423,0
D030981,D010505,0
D030981,C536988,0
D030981,D009157,0
D030981,D009182,0
D030981,D055728,0
D030981,D009101,0
D030981,D020190,0
D030981,D020194,0
D030981,D009230,0
D030981,D009404,0
D030981,D009447,0
D030981,D052536,0
D030981,D052556,0
D030981,C536420,0
D030981,D012516,0
D030981,C535282,0.463841447
D030981,C564906,0.20667157
D030981,C564899,0
D030981,C564894,0
D030981,C538556,0
D030981,C537286,0
D030981,D011087,0
D030981,D053579,0
D030981,C562688,0.232366806
D030981,C564862,0
D030981,D015212,0
D030981,D008228,0
D030981,C564847,0
D030981,D018232,0
D030981,C535865,0
D030981,D053713,0
D030981,C563236,0.008521003
D030981,D013915,0
D030981,D006111,0
D030981,C536928,0
D030981,C562794,0.232366806
D030981,C535393,0
D030981,D056729,0
D030981,D020915,0
D030981,D006527,0
D030981,C536746,0
D030981,D000326,0
D030981,D020326,0
D030981,D003922,0
D030981,C564714,0.517792763
D030981,D015794,0
D030981,C580192,0.023497009
D030981,D003919,0
D030981,D056889,0
D030981,C536085,0
D030981,C567924,0
D030981,C564118,0
D030981,C562901,0
D030981,D016649,0
D030981,C536692,0.210462136
D030981,D017241,0.170809228
D030981,C564015,0
D030981,C564005,0.232366806
D030981,D011470,0
D030981,D020734,0
D030981,D004832,0
D030981,D016481,0
D030981,C563959,0
D030981,C563949,0.001915219
D030981,C535697,0
D030981,C563933,0
D030981,D053206,0
D030981,D010911,0
D030981,D002764,0
D030981,D001249,0
D030981,C563439,0
D030981,C563401,0.210462136
D030981,C563371,0
D030981,C563352,0
D030981,C537243,0
D030981,C566652,0
D030981,D015470,0
D030981,D009765,0
D030981,C566645,0
D030981,D005902,0
D030981,D008180,0
D030981,C535698,0
D030981,C535699,0
D030981,C566603,0
D030981,C566602,0
D030981,D007896,0
D030981,D010001,0.318148234
D030981,C566578,0
D030981,C536546,0
D030981,C566552,0
D030981,D004915,0
D030981,C566530,0
D030981,C566404,0
D030981,C566395,0
D030981,D006111,0
D030981,C565798,0.208533211
D030981,C536253,0.22081239
D030981,D020190,0
D030981,D004831,0
D030981,C565728,0
D030981,D008180,0
D030981,D008180,0
D030981,C565325,0
D030981,C565292,0
D030981,C565291,0
D030981,C535516,0
D030981,D009290,0
D030981,C565280,0
D030981,D056693,0
D030981,C565238,0
D030981,C535500,0
D030981,C564676,0
D030981,D046152,0
D030981,C535428,0
D030981,C536596,0
D030981,D010300,0
D030981,D065631,0
D030981,D002446,0
D030981,C537217,0
D030981,D004374,0
D030981,C537583,0
D030981,D020325,0
D030981,D020326,0
D030981,D020325,0
D030981,D020326,0
D030981,C563817,0
D030981,D052537,0
D030981,C536119,0
D030981,C562694,0
D030981,D004832,0
D030981,C565811,0
D030981,C562694,0
D030981,D017681,0
D030981,C564345,0
D030981,C564330,0
D030981,D010003,0.245283561
D030981,C564306,0
D030981,D001925,0
D030981,C564296,0
D030981,C535499,0
D030981,C564274,0
D030981,D015464,0
D030981,D010282,0
D030981,C564258,0
D030981,D008180,0
D030981,C563924,0
D030981,C538261,0
D030981,C563897,0
D030981,C563838,0
D030981,C563834,0
D031845,D015845,0
D031845,D000224,0
D031845,D000437,0
D031845,C537057,0.490574382
D031845,D000544,0
D031845,C536595,0
D031845,D054179,0.23113005
D031845,D004057,0.225323759
D031845,C531622,0
D031845,D020181,0
D031845,D001327,0
D031845,D000505,0
D031845,D005764,0
D031845,D015451,0
D031845,D001749,0
D031845,C562419,0.316831207
D031845,C566188,0
D031845,D017488,0.217945249
D031845,D001943,0
D031845,D015179,0
D031845,D006528,0
D031845,C567779,0
D031845,D001145,0
D031845,D020936,0.151391224
D031845,D020936,0.151391224
D031845,D007644,0.238341583
D031845,D046589,0.2190254
D031845,C565115,0
D031845,C562379,0
D031845,D020790,0
D031845,C565101,0
D031845,C564219,0
D031845,C565100,0
D031845,D003924,0
D031845,D009103,0
D031845,C565080,0.513010932
D031845,D020961,0
D031845,C536698,0.220249275
D031845,D004715,0
D031845,D003966,0.395447441
D031845,C565054,0
D031845,D004828,0
D031845,D010787,0
D031845,D020195,0
D031845,D004938,0
D031845,C565034,0.350993173
D031845,C565025,0.31063895
D031845,D006467,0.273678076
D031845,C565024,0.31063895
D031845,C565023,0.31063895
D031845,D005198,0.228585499
D031845,D005258,0.152681363
D031845,D005351,0.199477
D031845,D006970,0
D031845,D013274,0
D031845,C564239,0
D031845,D005879,0.245029678
D031845,C564234,0
D031845,D005902,0
D031845,D005910,0
D031845,D018310,0
D031845,D050031,0
D031845,D010003,0.220470998
D031845,D006392,0
D031845,D006816,0.257507284
D031845,D005878,0.224621232
D031845,C562999,0
D031845,D006938,0.250488595
D031845,D006938,0.250488595
D031845,D006945,0
D031845,D006950,0.217387541
D031845,D006938,0.250488595
D031845,D006954,0.200543068
D031845,D002292,0
