Drug,Protein
DB00328,P23219
DB00328,P35354
DB00332,P20309
DB00332,P11229
DB00332,P08172
DB00333,P35372
DB00333,Q05586
DB00333,Q12879
DB00333,Q13224
DB00333,Q14957
DB00333,O15399
DB00333,Q8TCU5
DB00333,O60391
DB00333,P41143
DB00333,P36544
DB00333,P46098
DB00333,P32297
DB00333,P43681
DB00333,P17787
DB00334,P28223
DB00334,P14416
DB00334,P21728
DB00334,P21918
DB00334,P35462
DB00334,P21917
DB00334,P28335
DB00334,P46098
DB00334,P50406
DB00334,P35367
DB00334,P35348
DB00334,P35368
DB00334,P11229
DB00334,P08172
DB00334,P20309
DB00334,P08173
DB00334,P21728
DB00334,P21918
DB00334,P08588
DB00334,P07550
DB00334,P13945
DB00334,P08908
DB00334,P28222
DB00334,P28221
DB00334,P28566
DB00334,P30939
DB00334,P14867
DB00334,P47869
DB00334,P34903
DB00334,P31644
DB00334,Q8N1C3
DB00334,P18507
DB00334,Q99928
DB00342,P35367
DB00342,P20309
DB00342,P11229
DB00342,P08912
DB00342,P08173
DB00342,P08172
DB00342,Q12809
DB00343,Q13936
DB00343,Q06432
DB00344,P23975
DB00344,P31645
DB00349,P14867
DB00349,P47869
DB00349,P34903
DB00349,P48169
DB00349,P31644
DB00349,Q16445
DB00349,P18505
DB00349,P47870
DB00349,P28472
DB00349,O14764
DB00349,P78334
DB00349,Q8N1C3
DB00349,P18507
DB00349,Q99928
DB00349,O00591
DB00349,Q9UN88
DB00349,P14867
DB00349,P47869
DB00349,P34903
DB00349,P31644
DB00349,Q8N1C3
DB00349,P18507
DB00349,Q99928
DB00358,P29274
DB00361,P07437
DB00363,P21728
DB00363,P14416
DB00363,P35462
DB00363,P21917
DB00363,P21918
DB00363,P08908
DB00363,P28222
DB00363,P28221
DB00363,P28566
DB00363,P28223
DB00363,P46098
DB00363,P28335
DB00363,P50406
DB00363,P34969
DB00363,P18825
DB00363,P35367
DB00363,Q9H3N8
DB00363,P35348
DB00363,P35368
DB00363,P08913
DB00363,P18089
DB00363,P11229
DB00363,P08172
DB00363,P20309
DB00363,P08173
DB00363,P08912
DB00363,Q9NYX4
DB00363,P09211
DB00363,Q9UBS5
DB00363,O75899
DB00363,P14867
DB00363,P18505
DB00363,Q8N1C3
DB00368,P35348
DB00368,P35368
DB00368,P25100
DB00368,P08913
DB00368,P18089
DB00368,P18825
DB00368,P08588
DB00368,P07550
DB00368,P13945
DB00368,P00439
DB00368,Q05940
DB00368,P54219
DB00371,P14867
DB00371,P47869
DB00371,P34903
DB00371,P48169
DB00371,P31644
DB00371,Q16445
DB00371,P18505
DB00371,P47870
DB00371,P28472
DB00371,O14764
DB00371,P78334
DB00371,Q8N1C3
DB00371,P18507
DB00371,Q99928
DB00371,O00591
DB00371,Q9UN88
DB00371,P14867
DB00371,P47869
DB00371,P34903
DB00371,P48169
DB00371,P31644
DB00371,Q16445
DB00373,P08588
DB00373,P07550
DB00373,P00720
DB00382,P06276
DB00382,P22303
DB00382,P23141
DB00390,P05023
DB00396,P06401
DB00396,P08235
DB00396,P03372
DB00396,P05093
DB00396,P41145
DB00396,P02763
DB00396,P04150
DB00396,P10275
DB00396,P04278
DB00396,Q92731
DB00398,P15056
DB00398,P04049
DB00398,P35916
DB00398,P35968
DB00398,P17948
DB00398,P36888
DB00398,P09619
DB00398,P10721
DB00398,P11362
DB00398,P07949
DB00401,Q13936
DB00401,P54289
DB00401,Q08289
DB00401,Q01668
DB00401,Q13698
DB00412,P37231
DB00412,O60488
DB00412,Q07869
DB00412,Q03181
DB00412,P19793
DB00412,P28702
DB00412,P48443
DB00421,P08235
DB00421,P04150
DB00421,P10275
DB00421,P06401
DB00421,P03372
DB00421,Q92731
DB00421,O75469
DB00421,Q13936
DB00421,Q01668
DB00421,O60840
DB00421,Q13698
DB00421,Q02641
DB00421,Q08289
DB00421,P54284
DB00421,O00305
DB00421,O00555
DB00428,Q89ZI2
DB00428,P11168
DB00428,O60502
DB00437,P47989
DB00439,P04035
DB00440,P0ABQ4
DB00441,P23921
DB00441,P04818
DB00441,P30085
DB00443,P04150
DB00445,P11388
DB00446,P0ADY7
DB00446,P24093
DB00446,P08174
DB00451,P06756
DB00451,P05106
DB00451,P10827
DB00451,P10828
DB00455,P35367
DB00455,Q12809
DB00457,P35348
DB00457,P35368
DB00457,P25100
DB00457,Q12809
DB00457,P08913
DB00457,P18089
DB00457,P35348
DB00457,P35368
DB00457,P25100
DB00458,P23975
DB00458,P31645
DB00458,P28223
DB00458,P35367
DB00458,P35348
DB00458,P25100
DB00458,P11229
DB00458,P08172
DB00458,P20309
DB00458,P08173
DB00458,P08912
DB00458,Q9NZV8
DB00458,Q9UK17
DB00458,P28335
DB00458,P35368
DB00458,P34969
DB00458,P21728
DB00458,P21918
DB00458,P14416
DB00458,Q12809
DB00458,Q01959
DB00458,P08908
DB00458,P50406
DB00458,O95259
DB00458,P19652
DB00468,P14770
DB00468,O15554
DB00470,P21554
DB00470,P34972
DB00471,Q9Y271
DB00471,P09917
DB00472,P31645
DB00472,P28335
DB00472,Q15822
DB00472,P32297
DB00472,P30926
DB00472,P61024
DB00472,Q12809
DB00477,P14416
DB00477,P21728
DB00477,P08908
DB00477,P28223
DB00477,P35348
DB00477,P35368
DB00477,P35367
DB00477,Q12809
DB00477,P21728
DB00477,P21918
DB00477,P35462
DB00477,P21917
DB00477,P21918
DB00477,P28335
DB00477,P28223
DB00477,P41595
DB00477,P28335
DB00477,P35348
DB00477,P35368
DB00477,P25100
DB00477,P08913
DB00477,P18089
DB00477,P18825
DB00477,P11229
DB00477,P20309
DB00477,P17405
DB00477,P0DP23
DB00477,P02763
DB00477,P19652
DB00477,P50406
DB00477,P34969
DB00477,Q9H3N8
DB00482,P35354
DB00482,P00918
DB00482,P07451
DB00482,P55287
DB00482,O15530
DB00482,Q99519
DB00490,P08908
DB00490,P14416
DB00490,P35462
DB00490,P21917
DB00490,P35348
DB00490,P35368
DB00490,P25100
DB00495,Q72547
DB00495,O14746
DB00500,P35354
DB00500,P23219
DB00501,P25021
DB00502,P28335
DB00502,P14416
DB00502,P28223
DB00502,P35462
DB00502,Q99705
DB00502,Q05940
DB00502,Q99720
DB00502,P35367
DB00502,P20309
DB00502,P35348
DB00502,P08913
DB00502,P18089
DB00502,P18825
DB00502,P08908
DB00502,P50406
DB00502,P34969
DB00502,Q13224
DB00502,P21728
DB00514,Q99720
DB00514,Q8TCU5
DB00514,Q15822
DB00514,P31645
DB00514,O00264
DB00514,P32297
DB00514,P43681
DB00514,P30926
DB00514,P17787
DB00514,P36544
DB00514,P35372
DB00514,P41143
DB00514,P41145
DB00514,P04839
DB00514,P13498
DB00514,P14598
DB00514,P19878
DB00514,Q15080
DB00514,P63000
DB00514,P15153
DB00514,P23975
DB00518,F1L7U3
DB00518,Q71U36
DB00518,P68371
DB00518,P83223
DB00519,P12821
DB00523,P10276
DB00523,P19793
DB00523,P10826
DB00523,P28702
DB00523,P13631
DB00523,P48443
DB00523,P17936
DB00523,Q15238
DB00523,Q6V0L0
DB00530,O75469
DB00530,P00533
DB00533,P35354
DB00533,P15502
DB00537,P43702
DB00537,P43700
DB00537,P11388
DB00537,Q12809
DB00537,P0AES4
DB00537,P0C1U9
DB00537,Q59192
DB00537,P05653
DB00537,C3T8E2
DB00537,B4YQT9
DB00537,P20831
DB00539,P03372
DB00539,P04278
DB00541,P07437
DB00541,P68366
DB00542,P12821
DB00544,P04818
DB00549,Q9Y271
DB00554,P35354
DB00554,P23219
DB00555,Q15878
DB00555,P35498
DB00555,Q9Y5Y9
DB00555,Q9UI33
DB00555,Q99250
DB00555,Q9NY46
DB00555,P35499
DB00555,Q14524
DB00555,Q01118
DB00555,Q9UQD0
DB00555,Q15858
DB00555,P30542
DB00555,P29274
DB00555,P35348
DB00555,P08913
DB00555,P08588
DB00555,P21728
DB00555,P21918
DB00555,P14416
DB00555,P14867
DB00555,P47869
DB00555,P34903
DB00555,P48169
DB00555,P31644
DB00555,Q16445
DB00555,P18505
DB00555,P47870
DB00555,P28472
DB00555,O14764
DB00555,P78334
DB00555,Q8N1C3
DB00555,P18507
DB00555,Q99928
DB00555,O00591
DB00555,Q9UN88
DB00555,P14867
DB00555,P47869
DB00555,P34903
DB00555,P31644
DB00555,Q8N1C3
DB00555,P18507
DB00555,Q99928
DB00555,P35367
DB00555,P41145
DB00555,P02708
DB00555,P28223
DB00555,P46098
DB00555,P42261
DB00559,P24530
DB00559,P25101
DB00563,P04818
DB00563,P31939
DB00563,P00374
DB00564,P35498
DB00564,Q9Y5Y9
DB00564,Q9UI33
DB00564,Q99250
DB00564,Q9NY46
DB00564,P35499
DB00564,Q14524
DB00564,Q01118
DB00564,Q9UQD0
DB00564,Q15858
DB00564,P43681
DB00564,O75469
DB00570,Q71U36
DB00570,P07437
DB00570,Q9UJT1
DB00570,P23258
DB00570,Q9UJT0
DB00570,P05412
DB00571,P08588
DB00571,P07550
DB00571,P13945
DB00571,P08908
DB00571,P28222
DB00575,P18089
DB00575,P18825
DB00575,P08913
DB00575,P35348
DB00575,P35368
DB00575,P25100
DB00584,P12821
DB00586,P35354
DB00586,P23219
DB00590,P35348
DB00590,P25100
DB00590,Q12809
DB00590,Q9H252
DB00590,Q9NS40
DB00590,P35368
DB00594,P37088
DB00594,P51168
DB00594,P51170
DB00594,P51172
DB00594,P19801
DB00594,Q16515
DB00594,P78348
DB00594,P19634
DB00594,P00749
DB00605,P35354
DB00605,P23219
DB00605,P15121
DB00605,P27361
DB00605,Q03181
DB00605,Q9Y5Y4
DB00605,O60218
DB00608,P09210
DB00608,P01375
DB00608,Q9NR96
DB00608,Q8ILQ7
DB00608,P09429
DB00608,P09488
DB00608,Q9BYF1
DB00619,P11274
DB00619,P10721
DB00619,P07949
DB00619,P04629
DB00619,P07333
DB00619,P16234
DB00619,Q08345
DB00619,P00519
DB00619,P09619
DB00619,Q16832
DB00622,Q13936
DB00622,Q08289
DB00622,P54289
DB00622,Q01668
DB00622,P54750
DB00622,Q01064
DB00622,P35348
DB00622,P35368
DB00622,P25100
DB00622,P11229
DB00622,P08172
DB00622,P20309
DB00622,P08173
DB00622,P08912
DB00622,P0DP23
DB00622,Q06432
DB00622,Q9Y698
DB00622,O60359
DB00622,Q9UBN1
DB00622,Q9UF02
DB00622,Q9BXT2
DB00622,P62955
DB00622,Q8WXS5
DB00622,P54289
DB00622,Q9NY47
DB00622,Q8IZS8
DB00622,Q7Z3S7
DB00622,Q13936
DB00622,Q01668
DB00622,O60840
DB00622,Q13698
DB00622,Q02641
DB00622,Q08289
DB00622,P54284
DB00622,O00305
DB00622,Q00975
DB00622,O00555
DB00622,Q15878
DB00622,O43497
DB00622,O95180
DB00622,Q9P0X4
DB00622,O43497
DB00622,O95180
DB00622,Q9P0X4
DB00623,P14416
DB00623,P21728
DB00623,P0DP23
DB00623,P10275
DB00623,P28223
DB00623,P28335
DB00624,P10275
DB00624,P03372
DB00624,P08235
DB00627,P49019
DB00627,Q8TDS4
DB00627,Q15274
DB00627,P40261
DB00635,P04150
DB00637,P35367
DB00637,Q12809
DB00637,O95259
DB00637,P10636
DB00640,P30542
DB00640,P29274
DB00640,P29275
DB00640,P0DMS8
DB00641,P04035
DB00641,P20701
DB00641,Q92769
DB00643,Q71U36
DB00643,P68371
DB00655,P03372
DB00655,Q92731
DB00655,P10275
DB00655,P11511
DB00655,P04278
DB00656,P28223
DB00656,P28335
DB00656,P31645
DB00656,P08908
DB00656,P35367
DB00656,P35348
DB00656,P08913
DB00656,P08909
DB00661,Q13936
DB00661,Q00975
DB00661,O00555
DB00661,Q14654
DB00661,O43497
DB00661,O95180
DB00661,Q12809
DB00661,P31645
DB00661,P35348
DB00661,P35368
DB00661,P25100
DB00661,Q06432
DB00661,Q9Y698
DB00661,O60359
DB00661,Q9UBN1
DB00661,Q9UF02
DB00661,Q9BXT2
DB00661,P62955
DB00661,Q8WXS5
DB00661,P54289
DB00661,Q9NY47
DB00661,Q8IZS8
DB00661,Q7Z3S7
DB00661,Q13936
DB00661,Q01668
DB00661,O60840
DB00661,Q13698
DB00661,Q02641
DB00661,Q08289
DB00661,P54284
DB00661,O00305
DB00661,Q00975
DB00661,O00555
DB00661,Q15878
DB00661,O43497
DB00661,O95180
DB00661,Q9P0X4
DB00661,P08183
DB00668,P35348
DB00668,P35368
DB00668,P08588
DB00668,P07550
DB00668,P08913
DB00668,P18089
DB00668,P25100
DB00668,P01375
DB00669,P08908
DB00669,P28221
DB00669,P28222
DB00669,P30939
DB00672,Q09428
DB00675,P03372
DB00675,Q92731
DB00675,P17252
DB00675,P05771
DB00675,Q05655
DB00675,Q02156
DB00675,P05129
DB00675,P41743
DB00675,Q04759
DB00675,Q05513
DB00675,P04278
DB00675,Q15125
DB00675,P10275
DB00675,Q12809
DB00675,O75469
DB00675,P62508
DB00675,P45983
DB00678,P30556
DB00683,P14867
DB00683,P47869
DB00683,P34903
DB00683,P48169
DB00683,P31644
DB00683,Q16445
DB00683,P18505
DB00683,P47870
DB00683,P28472
DB00683,O14764
DB00683,P78334
DB00683,Q8N1C3
DB00683,P18507
DB00683,Q99928
DB00683,O00591
DB00683,Q9UN88
DB00683,P14867
DB00683,P47869
DB00683,P34903
DB00683,P31644
DB00683,Q8N1C3
DB00683,P18507
DB00683,Q99928
DB00683,P29274
DB00690,P14867
DB00690,P47869
DB00690,P34903
DB00690,P48169
DB00690,P31644
DB00690,Q16445
DB00690,P18505
DB00690,P47870
DB00690,P28472
DB00690,O14764
DB00690,P78334
DB00690,Q8N1C3
DB00690,P18507
DB00690,Q99928
DB00690,O00591
DB00690,Q9UN88
DB00690,P14867
DB00690,P47869
DB00690,P34903
DB00690,P31644
DB00690,Q8N1C3
DB00690,P18507
DB00690,Q99928
DB00694,P11388
DB00694,Q02880
DB00695,Q13621
DB00695,P00918
DB00695,Q9HC97
DB00696,P28221
DB00696,P28222
DB00696,P28223
DB00696,P35348
DB00696,P35368
DB00696,P25100
DB00696,P14416
DB00696,P08913
DB00696,P21728
DB00696,P21918
DB00696,P08908
DB00696,P30939
DB00696,P28335
DB00696,P41595
DB00696,P18825
DB00704,P35372
DB00704,P41145
DB00704,P41143
DB00704,Q99720
DB00712,P35354
DB00712,P23219
DB00715,P31645
DB00715,P23975
DB00715,P28223
DB00715,P35348
DB00715,P35368
DB00715,P25100
DB00715,P08913
DB00715,P18089
DB00715,P18825
DB00715,P08588
DB00715,P07550
DB00715,P13945
DB00715,P14416
DB00715,P35367
DB00715,P08908
DB00715,P28222
DB00715,P28221
DB00715,P28566
DB00715,P30939
DB00715,P28223
DB00715,P41595
DB00715,P28335
DB00715,P46098
DB00715,O95264
DB00715,Q8WXA8
DB00715,Q70Z44
DB00715,A5X5Y0
DB00715,Q13639
DB00715,P50406
DB00715,P34969
DB00715,P11229
DB00715,P08172
DB00715,P20309
DB00715,P08173
DB00715,P08912
DB00715,P41595
DB00715,P21728
DB00715,P21918
DB00726,P31645
DB00726,P23975
DB00726,Q01959
DB00726,P28223
DB00726,P08908
DB00726,P35348
DB00726,P35368
DB00726,P14416
DB00726,P18089
DB00726,P35367
DB00726,P28335
DB00726,P46098
DB00726,P28221
DB00726,P08913
DB00726,P21728
DB00726,P21918
DB00726,P08588
DB00726,P07550
DB00726,P13945
DB00726,P11229
DB00726,P08172
DB00726,P20309
DB00726,P08173
DB00726,P08912
DB00726,P08909
DB00734,P28223
DB00734,P14416
DB00734,P35368
DB00734,P18089
DB00734,P35348
DB00734,P18825
DB00734,P35367
DB00734,P28335
DB00734,P28221
DB00734,P08908
DB00734,P34969
DB00734,P21728
DB00740,Q14524
DB00740,Q9UPY5
DB00741,P04150
DB00741,P04083
DB00749,P35354
DB00749,P23219
DB00749,P19793
DB00755,P10276
DB00755,P10826
DB00755,P13631
DB00755,P19793
DB00755,P28702
DB00755,P48443
DB00755,P29762
DB00755,P49788
DB00755,P00352
DB00755,O94788
DB00755,Q8NFJ5
DB00755,P31025
DB00755,Q9NY56
DB00755,P02753
DB00755,Q16654
DB00755,Q14081
DB00758,Q9H244
DB00759,P02359
DB00759,P0AG59
DB00759,P0A7V3
DB00759,P0A7W7
DB00759,P0A7U3
DB00759,P04156
DB00759,C9EH48
DB00759,Q9UM07
DB00773,P11388
DB00773,Q02880
DB00783,P03372
DB00783,Q92731
DB00783,O75469
DB00783,P43681
DB00783,Q99527
DB00783,P00846
DB00783,Q14457
DB00788,P23219
DB00788,P35354
DB00788,Q51911
DB00790,P12821
DB00790,Q6FHJ7
DB00795,P09917
DB00795,P35354
DB00795,P23219
DB00795,P24752
DB00795,P04054
DB00795,Q9UPY5
DB00795,P19838
DB00795,Q00653
DB00795,O14920
DB00795,O15111
DB00795,P37231
DB00796,P30556
DB00802,P35372
DB00810,P11229
DB00811,P20839
DB00811,P26676
DB00811,P12823
DB00811,P12268
DB00811,P16502
DB00812,P23219
DB00812,P35354
DB00812,Q16647
DB00813,P35372
DB00813,P41143
DB00813,P41145
DB00813,P08183
DB00814,P35354
DB00814,P23219
DB00819,P00915
DB00819,P00918
DB00819,P22748
DB00819,O43570
DB00819,Q9ULX7
DB00819,P07451
DB00819,P43166
DB00819,P29972
DB00829,P14867
DB00829,P47869
DB00829,P34903
DB00829,P48169
DB00829,P31644
DB00829,Q16445
DB00829,P18505
DB00829,P47870
DB00829,P28472
DB00829,O14764
DB00829,P78334
DB00829,Q8N1C3
DB00829,P18507
DB00829,Q99928
DB00829,O00591
DB00829,Q9UN88
DB00829,P14867
DB00829,P47869
DB00829,P34903
DB00829,P31644
DB00829,Q8N1C3
DB00829,P18507
DB00829,Q99928
DB00831,P14416
DB00831,Q9NYX4
DB00831,P35348
DB00831,P0DP23
DB00831,P63316
DB00831,P26447
DB00834,P06401
DB00834,P04150
DB00834,P07288
DB00834,O75469
DB00836,P35372
DB00836,P41143
DB00836,P41145
DB00836,P0DP23
DB00836,P01189
DB00836,O00555
DB00836,Q12809
DB00845,P37231
DB00845,P22001
DB00860,P04150
DB00861,P35354
DB00861,P23219
DB00863,P25021
DB00863,P22303
DB00875,P14416
DB00875,P21728
DB00875,P28223
DB00875,P35348
DB00875,P35462
DB00875,P21917
DB00875,P28335
DB00875,P11229
DB00877,P42345
DB00882,P03372
DB00882,P04278
DB00887,Q13621
DB00887,P55011
DB00887,Q9UP95
DB00887,Q9H2X9
DB00887,P13569
DB00903,Q13621
DB00903,P05023
DB00903,Q9UJU2
DB00903,P09211
DB00907,Q01959
DB00907,P23975
DB00907,P35498
DB00907,Q9Y5Y9
DB00907,Q9UI33
DB00907,Q99250
DB00907,Q9NY46
DB00907,P35499
DB00907,Q14524
DB00907,Q01118
DB00907,Q9UQD0
DB00907,Q15858
DB00907,Q07699
DB00907,O60939
DB00907,Q9NY72
DB00907,Q8IWT1
DB00907,P31645
DB00907,P11229
DB00907,P08172
DB00907,Q99720
DB00907,P23141
DB00908,Q14524
DB00908,O00180
DB00908,Q9Y257
DB00908,Q12809
DB00908,P35348
DB00908,P35368
DB00908,P25100
DB00914,Q13131
DB00914,Q15842
DB00915,P21430
DB00915,Q8TCU5
DB00915,P14416
DB00915,P36544
DB00915,P43681
DB00915,P32297
DB00917,P43116
DB00917,P34995
DB00917,P43115
DB00917,P35408
DB00917,Q9Y5Y4
DB00921,P41145
DB00921,P35372
DB00921,P41143
DB00921,P41146
DB00925,P35348
DB00925,P08913
DB00925,P18825
DB00925,P18089
DB00925,P0DP23
DB00925,P07550
DB00925,P35368
DB00925,P25100
DB00927,P25021
DB00934,P23975
DB00934,P35367
DB00934,P11229
DB00934,P08172
DB00934,P20309
DB00934,P08173
DB00934,P08912
DB00934,P35348
DB00934,P35368
DB00934,P25100
DB00934,P28223
DB00934,P28335
DB00934,P34969
DB00934,P14416
DB00934,P08913
DB00934,P18089
DB00934,P18825
DB00936,P23219
DB00936,P35354
DB00936,Q04828
DB00945,P23219
DB00945,P35354
DB00945,Q04828
DB00945,Q13131
DB00945,P54646
DB00945,Q9Y478
DB00945,O43741
DB00945,P54619
DB00945,Q9UGJ0
DB00945,Q9UGI9
DB00945,P25101
DB00945,P04637
DB00945,P11021
DB00945,P51812
DB00945,P25963
DB00945,P98066
DB00945,P29466
DB00945,P42574
DB00945,O14920
DB00945,P28482
DB00945,Q8TD08
DB00945,P27361
DB00945,P31152
DB00945,Q16659
DB00945,Q13164
DB00945,P24385
DB00945,P01106
DB00945,P12004
DB00945,Q99519
DB00950,P35367
DB00959,P04150
DB00959,P04083
DB00966,P37231
DB00966,P30556
DB00967,P35367
DB00968,P20711
DB00968,P08913
DB00973,Q9UHC9
DB00973,P35610
DB00973,P15144
DB00977,P03372
DB00977,O75469
DB00987,P06746
DB00988,P14416
DB00988,P21728
DB00988,P21918
DB00988,P35462
DB00988,P21917
DB00988,Q01959
DB00988,P09172
DB00988,P08908
DB00988,P34969
DB00988,P21728
DB00988,P21918
DB00988,P23975
DB00988,P31645
DB00988,P46098
DB00988,O95264
DB00988,P00441
DB00988,Q05940
DB00997,P11388
DB00997,Q14978
DB00997,P11387
DB00997,Q02880
DB01009,P35354
DB01009,P23219
DB01009,P25024
DB01011,P15538
DB01011,P00183
DB01016,Q09428
