Disease,Protein
D007249,Q9BYF1
D055370,Q9BYF1
D011658,Q9BYF1
D012128,Q9BYF1
D015431,Q9BYF1
D008545,Q9NUN7
D000544,Q6TQD3
D019969,Q6TQD3
D000740,Q6TQD3
D001943,Q6TQD3
D002292,Q6TQD3
D015179,Q6TQD3
D064420,Q6TQD3
D006130,Q6TQD3
D007859,Q6TQD3
D008106,Q6TQD3
D008569,Q6TQD3
D009069,Q6TQD3
D009422,Q6TQD3
D009765,Q6TQD3
D011041,Q6TQD3
D049188,Q6TQD3
D011471,Q6TQD3
D012640,Q6TQD3
D014202,Q6TQD3
D001749,Q6TQD3
D008288,Q5Y7A4
D001172,P25106
D002277,P25106
D015179,P25106
D007674,P25106
D008106,P25106
D009362,P25106
D006528,P53396
D006333,P53396
D009765,P53396
D009361,P21399
D010003,P21399
D006528,Q71UF1
D012128,Q71UF1
D003921,Q86TX2
D006529,Q86TX2
D008113,Q86TX2
D017202,P49753
D012559,Q3I5F7
D008106,Q96EA2
D006528,Q15067
D003921,Q15067
D008106,Q99424
D015451,Q9NUZ1
D008106,P13686
D009765,P13686
D011471,Q8NEB7
D001169,Q108N2
D002277,Q108N2
D056486,Q108N2
D003921,Q108N2
D008106,Q108N2
D015674,Q108N2
D008325,Q108N2
D009765,Q108N2
D001169,Q9ULC5
D019969,Q9UKU0
D008175,Q08AH1
D011471,Q53FZ2
D017379,Q7Z7J6
D001943,Q13707
D003110,Q13707
D004715,Q13707
D005317,Q13707
D005355,Q13707
D005923,Q13707
D007511,Q13707
D007674,Q13707
D008103,Q13707
D008106,Q13707
D008107,Q13707
D009203,Q13707
D009400,Q13707
D011658,Q13707
D002277,Q9UMN3
D006528,Q9UMN3
D056486,Q9UMN3
D019465,Q9UMN3
D004421,Q9UMN3
D004938,Q9UMN3
D006319,Q9UMN3
D000860,Q9UMN3
D008175,Q9UMN3
D015674,Q9UMN3
D008325,Q9UMN3
D017202,Q9UMN3
D009361,Q9UMN3
D009421,Q9UMN3
D010003,Q9UMN3
D002311,P68032
D011230,P68032
D013274,P68032
D054058,Q96FU6
D002277,Q96FU6
D002471,Q96FU6
D019465,Q96FU6
D015674,Q96FU6
D008325,Q96FU6
D009421,Q96FU6
D010024,Q96FU6
D003110,P63267
D008106,Q5ZEZ4
D002277,Q96BG6
D056486,Q96BG6
D005923,Q96BG6
D015674,Q96BG6
D008325,Q96BG6
D056486,P61158
D001943,Q53SV1
D005910,Q53SV1
D010190,P36896
D006976,P37023
D002292,Q03154
D011230,Q03154
D001321,Q16073
D006940,Q16073
D008106,Q16073
D008175,Q16073
D013118,Q16073
D003092,Q6P5T8
D008106,Q6P5T8
D008175,Q9UKQ2
D011471,Q9UKQ2
D001943,Q8N8Z9
D056486,Q14C66
D011471,Q13443
D000544,Q8NE26
D001943,Q8NE26
D006528,Q8NE26
D002289,Q8NE26
D009361,Q8NE26
D006528,Q96P40
D008113,Q8TE56
D008545,P59510
D012559,Q96AY5
D006529,Q9UNA0
D003324,Q9UKP4
D011471,Q5FWF1
D003924,Q9P2N4
D006130,Q86TH1
D006529,Q86TH1
D001943,P55265
D010300,Q86X17
D019966,Q86X17
D006948,Q8NFM5
D013375,Q8NFM5
D001249,Q7RTV6
D001714,Q7RTV6
D015470,P51828
D012559,P51828
D003925,Q4F7X0
D006948,Q4F7X0
D019964,Q4F7X0
D013375,Q4F7X0
D009202,Q53BH1
D006940,Q53BH1
D015877,Q53BH1
D020258,Q53BH1
D011595,Q53BH1
D012640,Q53BH1
D001249,Q6S992
D006528,Q96D30
D006973,Q96D30
D001714,Q5VU08
D002545,Q5VU08
D008106,Q5VU08
D020258,Q5VU08
D008106,Q14246
D008171,P48960
D012559,Q8IZF3
D010003,Q8IZP9
D006528,Q96K78
D001289,Q9HAR2
D008106,P07327
D017114,P07327
D065626,P07327
D002544,P00325
D015179,P00325
D004938,P00325
D017114,P00325
D065626,P00325
D009765,P00325
D006528,P08319
D008106,P08319
D065626,P08319
D004938,P40394
D008106,Q8IWW8
D011471,Q9BV57
D001169,Q15848
D001172,Q15848
D050197,Q15848
D002292,Q15848
D056486,Q15848
D003920,Q15848
D003924,Q15848
D003928,Q15848
D006333,Q15848
D006556,Q15848
D006940,Q15848
D006943,Q15848
D006973,Q15848
D007249,Q15848
D007333,Q15848
D007676,Q15848
D008106,Q15848
D024821,Q15848
D017202,Q15848
D015428,Q15848
D065626,Q15848
D009765,Q15848
D011654,Q15848
D011658,Q15848
D015430,Q15848
D015431,Q15848
D007247,Q96A54
D007676,Q96A54
D007247,Q86V24
D000860,P55263
D001321,P35318
D005921,P35318
D006930,P35318
D006943,P35318
D007333,P35318
D008106,P35318
D010146,P35318
D018805,P35318
D013276,P35318
D017202,Q7Z4H4
D010689,Q7Z4H4
D014652,Q7Z4H4
D001321,Q6DHZ8
D001919,P30542
D002375,P30542
D004342,P30542
D064420,P30542
D007022,P30542
D020244,P30542
D007511,P30542
D002546,P30542
D009203,P30542
D009410,P30542
D011297,P30542
D013345,P30542
D013375,P30542
D018754,P30542
D019969,P29274
D001008,P29274
D001172,P29274
D009202,P29274
D003866,P29274
D004342,P29274
D064420,P29274
D006948,P29274
D007022,P29274
D008106,P29274
D009069,P29274
D016584,P29274
D011605,P29274
D015427,P29274
D012640,P29274
D018805,P29274
D007319,P29274
D013375,P29274
D014202,P29274
D018754,P29274
D015431,P29274
D056486,Q2L7J7
D009362,Q2L7J7
D015427,Q2L7J7
D018805,Q2L7J7
D007511,P0DMS8
D008106,P0DMS8
D009203,P0DMS8
D006528,P35348
D003921,P35348
D008103,P35348
D020257,P35348
D006332,P35368
D007022,P35368
D007674,P35368
D008106,P35368
D009410,P35368
D020258,P35368
D012640,P35368
D006332,P08913
D004827,P08913
D005355,P08913
D006331,P08913
D006973,P08913
D007022,P08913
D016584,P08913
D006528,P18089
D008171,P18089
D006332,Q4W594
D005355,Q4W594
D006333,Q4W594
D002311,P08588
D002318,P08588
D003920,P08588
D004719,P08588
D006333,P08588
D006940,P08588
D006973,P08588
D017202,P08588
D015428,P08588
D009765,P08588
D013274,P08588
D018754,P08588
D001321,Q9BYZ0
D009202,Q9BYZ0
D002311,Q9BYZ0
D005355,Q9BYZ0
D006949,Q9BYZ0
D007008,Q9BYZ0
D007333,Q9BYZ0
D008171,Q9BYZ0
D017202,Q9BYZ0
D009422,Q9BYZ0
D009765,Q9BYZ0
D011471,Q9BYZ0
D013274,Q9BYZ0
D014202,Q9BYZ0
D018487,Q9BYZ0
D003921,P13945
D006333,P13945
D006949,P13945
D017379,P13945
D009765,P13945
D001321,P30566
D003324,Q96IZ2
D008106,Q8WTP8
D002294,Q8N4X5
D001172,P51826
D019966,P51826
D000015,Q8TAX5
D003072,Q8TAX5
D006130,Q8TAX5
D006330,Q8TAX5
D008171,Q8TAX5
D009765,Q8TAX5
D012559,Q8NB90
D058186,P43652
D064420,P43652
D008106,P43652
D001943,P02771
D006528,P02771
D008106,P02771
D008107,P02771
D008114,P02771
D008325,P02771
D013274,P02771
D001321,Q9UPQ3
D001281,Q5VU57
D019966,Q5VU57
D001172,Q71BG7
D001249,Q71BG7
D050197,Q71BG7
D003925,Q71BG7
D006930,Q71BG7
D006943,Q71BG7
D006973,Q71BG7
D006984,Q71BG7
D020244,Q71BG7
D007249,Q71BG7
D009437,Q71BG7
D010003,Q71BG7
D008106,P52594
D008106,P35573
D019970,Q9UKV8
D019636,Q8TEB0
D001943,Q4JM47
D011471,Q4JM47
D015470,Q96QF9
D000419,Q53YY1
D000740,Q53YY1
D001002,Q53YY1
D001145,Q53YY1
D050197,Q53YY1
D001919,Q53YY1
D006332,Q53YY1
D009202,Q53YY1
D066126,Q53YY1
D002318,Q53YY1
D002375,Q53YY1
D056486,Q53YY1
D002779,Q53YY1
D003072,Q53YY1
D003645,Q53YY1
D003921,Q53YY1
D003928,Q53YY1
D062787,Q53YY1
D004719,Q53YY1
D005317,Q53YY1
D005355,Q53YY1
D005921,Q53YY1
D005923,Q53YY1
D018149,Q53YY1
D006331,Q53YY1
D006333,Q53YY1
D006930,Q53YY1
D006940,Q53YY1
D020138,Q53YY1
D006973,Q53YY1
D006974,Q53YY1
D006977,Q53YY1
D006984,Q53YY1
D017379,Q53YY1
D007008,Q53YY1
D007022,Q53YY1
D007249,Q53YY1
D007674,Q53YY1
D008103,Q53YY1
D008106,Q53YY1
D009203,Q53YY1
D017202,Q53YY1
D015428,Q53YY1
D009336,Q53YY1
D019954,Q53YY1
D011014,Q53YY1
D011507,Q53YY1
D011658,Q53YY1
D051437,Q53YY1
D015427,Q53YY1
D012640,Q53YY1
D013927,Q53YY1
D014652,Q53YY1
D018487,Q53YY1
D020257,Q53YY1
D009410,Q9UPW5
D006333,Q6NUP5
D006973,Q6NUP5
D007674,Q6NUP5
D009362,Q6NUP5
D010911,Q6NUP5
D011507,Q6NUP5
D006332,P30556
D005355,P30556
D018149,P30556
D007674,P30556
D008106,P30556
D008325,P30556
D006973,P30556
D011297,P30556
D006973,P50052
D017379,P50052
D008325,P50052
D009362,P50052
D013274,P50052
D004195,Q1RMG2
D000860,Q1RMG2
D065626,Q1RMG2
D011471,Q96HN2
D001321,Q9NQN3
D002526,Q9NQN3
D012559,Q9NQN3
D002292,Q9BVU3
D008106,Q9BVU3
D009361,Q9BVU3
D001169,P35869
D001172,P35869
D050197,P35869
D001284,P35869
D001943,P35869
D006332,P35869
D056486,P35869
D003092,P35869
D004195,P35869
D050171,P35869
D018149,P35869
D006130,P35869
D006330,P35869
D006529,P35869
D006973,P35869
D006984,P35869
D017379,P35869
D007003,P35869
D007247,P35869
D007249,P35869
D007333,P35869
D008103,P35869
D008107,P35869
D008113,P35869
D055370,P35869
D009336,P35869
D009361,P35869
D009362,P35869
D009369,P35869
D009374,P35869
D065626,P35869
D009765,P35869
D010190,P35869
D011014,P35869
D011471,P35869
D011537,P35869
D013163,P35869
D013274,P35869
D013610,P35869
D014652,P35869
D015430,P35869
D015431,P35869
D058186,P02765
D064420,P02765
D001327,Q6QLN7
D007945,Q6QLN7
D008106,Q96BJ3
D004195,Q5STX8
D006930,Q5STX8
D006973,Q5STX8
D008106,Q5STX8
D010300,Q5STX8
D013345,Q5STX8
D009103,Q5T3W0
D000236,Q9NWT8
D017202,Q6FGX9
D003638,P54819
D010003,P27144
D019969,Q9Y6K8
D009765,Q92667
D001714,Q9UKA4
D012559,Q9UKA4
D001943,Q86TJ9
D002292,Q12802
D004938,Q12802
D011471,Q12802
D006332,Q6PG46
D008569,Q6PG46
D019957,Q6PG46
D001281,Q13023
D019966,Q6P4D3
D012871,Q6PJH3
D006528,Q5T621
D056486,Q5T621
D002386,P15121
D016889,P15121
D004715,P15121
D008106,P15121
D012128,P15121
D002289,Q04828
D002471,Q04828
D016889,Q04828
D004715,Q04828
D008106,Q04828
D010003,Q04828
D006528,Q1KXY7
D002471,Q1KXY7
D004715,Q1KXY7
D010003,Q1KXY7
D015430,Q1KXY7
D002471,P42330
D016889,P42330
D004715,P42330
D008106,P42330
D009765,P42330
D011471,P42330
D013274,P42330
D001714,P17516
D010259,P17516
D000230,P31749
D019969,P31749
D001943,P31749
D006528,P31749
D002294,P31749
D006332,P31749
D009202,P31749
D015179,P31749
D003924,P31749
D004195,P31749
D004827,P31749
D005234,P31749
D005355,P31749
D006529,P31749
D006965,P31749
D015228,P31749
D007249,P31749
D015473,P31749
D008175,P31749
D009133,P31749
D009765,P31749
D010051,P31749
D010146,P31749
D011230,P31749
D011471,P31749
D011605,P31749
D012559,P31749
D012878,P31749
D001749,P31749
D015427,Q96B36
D013119,Q96B36
D000230,Q6P4H3
D001943,Q6P4H3
D003924,Q6P4H3
D011471,Q6P4H3
D008106,Q9H8T0
D002292,P13716
D006402,P13716
D006973,P13716
D007674,P13716
D008103,P13716
D008107,P13716
D011471,P13716
D012128,P13716
D012640,P13716
D008114,Q86YM3
D058186,Q6LEH2
D000799,Q6LEH2
D001002,Q6LEH2
D001169,Q6LEH2
D001927,Q6LEH2
D001930,Q6LEH2
D002545,Q6LEH2
D002318,Q6LEH2
D056486,Q6LEH2
D003866,Q6LEH2
D003925,Q6LEH2
D003928,Q6LEH2
D004195,Q6LEH2
D064420,Q6LEH2
D004827,Q6LEH2
D005355,Q6LEH2
D005921,Q6LEH2
D015433,Q6LEH2
D006331,Q6LEH2
D006333,Q6LEH2
D006463,Q6LEH2
D006505,Q6LEH2
D006529,Q6LEH2
D006967,Q6LEH2
D006973,Q6LEH2
D007022,Q6LEH2
D007674,Q6LEH2
D007676,Q6LEH2
D008103,Q6LEH2
D008105,Q6LEH2
D008106,Q6LEH2
D017114,Q6LEH2
D055370,Q6LEH2
D008582,Q6LEH2
D009135,Q6LEH2
D015428,Q6LEH2
D009393,Q6LEH2
D009395,Q6LEH2
D009404,Q6LEH2
D010146,Q6LEH2
D010195,Q6LEH2
D011041,Q6LEH2
D011507,Q6LEH2
D012128,Q6LEH2
D013262,Q6LEH2
D013274,Q6LEH2
D020521,Q6LEH2
D013921,Q6LEH2
D014581,Q6LEH2
D002277,Q13740
D015674,Q13740
D008325,Q13740
D006073,Q8IZ83
D004195,P54886
D002292,Q5SYQ9
D002471,Q5SYQ9
D008106,Q5SYQ9
D008107,Q5SYQ9
D008545,Q5SYQ9
D065626,Q5SYQ9
D020734,Q5SYQ9
D010003,Q9UED3
D020734,Q9UED3
D011471,Q9UED3
D008545,P47895
D013274,P47895
D002779,P30837
D003110,P30837
D006529,P30837
D008106,P30837
D065626,P30837
D056486,Q3SY69
D008106,Q3SY69
D001249,Q9UN17
D015179,Q9UN17
D004938,Q9UN17
D005483,Q9UN17
D008106,Q9UN17
D065626,Q9UN17
D010300,Q9UN17
D011230,Q9UN17
D014652,Q9UN17
D018754,Q9UN17
D002386,Q6PKA6
D065626,Q5TF55
D011230,Q5TF55
D001928,Q8N3W7
D004195,Q8N3W7
D020821,Q8N3W7
D009461,Q8N3W7
D017202,Q02252
D009765,Q02252
D001847,P49419
D013274,P49419
D002779,Q9H2A2
D056486,P49189
D001943,P04075
D017202,P04075
D009361,P04075
D009362,P04075
D056486,P05062
D000860,P05062
D013274,P05062
D004827,Q9NP73
D001932,Q580I3
D001943,Q580I3
D002289,Q580I3
D002292,Q580I3
D002471,Q580I3
D016403,Q580I3
D009362,Q580I3
D009101,Q6P6C2
D001943,Q96BT7
D009361,Q96BT7
D002311,Q8TCU4
D006930,P18054
D010523,P18054
D012871,P18054
D050197,P16050
D004938,P16050
D006973,P16050
D000230,P09917
D000236,P09917
D001172,P09917
D001249,P09917
D050197,P09917
D002292,P09917
D003092,P09917
D003110,P09917
D003875,P09917
D006930,P09917
D006976,P09917
D020244,P09917
D015464,P09917
D009102,P09917
D009361,P09917
D009362,P09917
D009400,P09917
D010051,P09917
D011471,P09917
D015427,P09917
D013274,P09917
D014581,P09917
D050197,P20292
D008107,P20292
D020258,P20292
D011507,P20292
D011471,Q9BYJ1
D003920,Q96QP1
D003928,Q96QP1
D006073,Q96QP1
D009400,Q96QP1
D015431,Q96QP1
D004195,P05186
D008107,P05186
D012640,P05186
D012559,Q60I27
D019465,Q15699
D019465,Q9H161
D008175,Q9H161
D000236,Q9UHK6
D015179,Q9UHK6
D008106,Q9UHK6
D008107,Q9UHK6
D011471,Q9UHK6
D058186,P02760
D002295,P02760
D056486,P02760
D064420,P02760
D019964,P02760
D009361,P02760
D013119,Q9C0C7
D000544,Q6PGR1
D001749,Q6PGR1
D058186,Q9BXJ7
D004487,Q9BXJ7
D005119,Q9BXJ7
D001932,Q4VCS5
D005910,Q8IY63
D009361,Q8IY63
D018908,Q6PH79
D009133,Q6PH79
D009135,Q6PH79
D005355,Q15389
D006984,Q15389
D007249,Q15389
D009410,Q15389
D018805,Q15389
D008106,Q9Y5C1
D001943,Q9BY76
D002277,Q9BY76
D003324,Q9BY76
D050171,Q9BY76
D005234,Q9BY76
D015228,Q9BY76
D009361,Q9BY76
D009362,Q9BY76
D009765,Q9BY76
D006528,Q8NI99
D020521,Q01484
D001714,Q12955
D008175,Q12955
D013226,Q12955
D001749,Q9P2R3
D019465,Q9HCJ1
D004715,Q9HCJ1
D004715,Q05DQ9
D004827,Q8IVY9
D008175,Q8IVF6
D008175,Q5SQ80
D001943,Q69YU3
D001172,Q3KP44
D003324,Q49AR9
D008103,Q68DC2
D006528,Q9NQW6
D005923,Q9NQW6
D004421,Q9BYT9
D004715,Q32M45
D019966,Q32M45
D008106,Q4KMQ2
D015179,Q6PKH8
D004195,Q6PKH8
D017114,Q6PKH8
D001749,P15144
D010024,Q32Q26
D011471,Q32Q26
D002277,Q5TZZ9
D002294,Q5TZZ9
D019465,Q5TZZ9
D006973,Q5TZZ9
D007674,Q5TZZ9
D008106,Q5TZZ9
D015674,Q5TZZ9
D008325,Q5TZZ9
D009361,Q5TZZ9
D009362,Q5TZZ9
D011471,Q5TZZ9
D013272,Q5TZZ9
D010190,Q9UJ72
D002294,P07355
D056486,P07355
D015470,P07355
D008106,P07355
D008113,P07355
D008175,P07355
D015674,P07355
D009361,P07355
D010024,P07355
D015430,P07355
D001749,Q3ZCQ2
D001172,P12429
D008106,P12429
D008180,P12429
D010051,P12429
D011471,P12429
D002277,Q6P452
D006528,Q6P452
D002292,Q6P452
D015470,Q6P452
D008106,Q6P452
D008113,Q6P452
D015674,Q6P452
D008325,Q6P452
D009362,Q6P452
D011230,Q6P452
D011471,Q6P452
D002294,P08758
D015470,P08758
D008106,P08758
D013274,P08758
D015430,P08758
D056486,P08133
D015470,P08133
D008113,P20073
D019969,P28039
D006332,P19801
D006973,P19801
D003920,Q16853
D003921,Q16853
D003928,Q16853
D006973,Q16853
D001281,Q8N6M6
D011230,Q8N6M6
D011471,Q06278
D002780,P61966
D008064,P61966
D008106,Q549M9
D011565,Q53T10
D008106,Q92572
D003924,Q6PK37
D002292,Q9H0R1
D012871,Q99767
D008106,Q7Z5R6
D015430,Q5I0G1
D000230,Q9UM98
D000236,Q9UM98
D001321,Q9UM98
D006528,Q9UM98
D002289,Q9UM98
D002471,Q9UM98
D003110,Q9UM98
D015179,Q9UM98
D006471,Q9UM98
D005909,Q9UM98
D006949,Q9UM98
D007964,Q9UM98
D008113,Q9UM98
D008175,Q9UM98
D015674,Q9UM98
D008654,Q9UM98
D011471,Q9UM98
D012128,Q9UM98
D013163,Q9UM98
D013274,Q9UM98
D015431,Q9UM98
D001943,Q9UNL8
D015179,Q9UNL8
D009765,Q8J025
D006528,P02743
D003324,P02743
D006333,P02743
D008113,P02743
D013262,P02743
D001930,Q5TZP7
D006528,Q5TZP7
D004195,Q5TZP7
D006331,Q5TZP7
D008545,Q5TZP7
D048629,Q5TZP7
D011471,Q5TZP7
D012640,Q5TZP7
D013274,Q5TZP7
D000544,Q4R1J8
D006528,Q9ULZ1
D006332,Q9ULZ1
D005355,Q9ULZ1
D007022,Q9ULZ1
D017202,Q9UED0
D009410,Q9UED0
D008106,Q9HDC9
D000230,Q6LEJ8
D050197,Q6LEJ8
D006528,Q6LEJ8
D056486,Q6LEJ8
D003324,Q6LEJ8
D003875,Q6LEJ8
D004487,Q6LEJ8
D015433,Q6LEJ8
D006973,Q6LEJ8
D000860,Q6LEJ8
D007249,Q6LEJ8
D008175,Q6LEJ8
D013274,Q6LEJ8
D020521,Q6LEJ8
D050197,Q13784
D008106,Q13784
D008114,Q13784
D012559,Q13784
D003324,Q6Q788
D015228,Q6Q788
D002318,Q7Z7Q0
D003327,Q7Z7Q0
D064420,Q7Z7Q0
D050171,Q7Z7Q0
D005234,Q7Z7Q0
D006470,Q7Z7Q0
D006937,Q7Z7Q0
D006949,Q7Z7Q0
D015228,Q7Z7Q0
D008106,Q4VB33
D001943,P31941
D009369,P31941
D001943,Q9UH17
D002294,Q9UH17
D006258,Q9UH17
D009369,Q9UH17
D001749,Q9UH17
D002583,Q9UH17
D000544,P02654
D006333,P02654
D003875,Q6P163
D017114,Q6P163
D008114,Q6P163
D002318,P02656
D003324,P02656
D003875,P02656
D008175,P02656
D005910,P05090
D018476,P05090
D007859,P05090
D019636,P05090
D000230,Q8TCZ8
D000544,Q8TCZ8
D001008,Q8TCZ8
D001161,Q8TCZ8
D050197,Q8TCZ8
D002318,Q8TCZ8
D056486,Q8TCZ8
D003072,Q8TCZ8
D003327,Q8TCZ8
D050171,Q8TCZ8
D005234,Q8TCZ8
D005355,Q8TCZ8
D034381,Q8TCZ8
D006937,Q8TCZ8
D006949,Q8TCZ8
D006973,Q8TCZ8
D008175,Q8TCZ8
D009103,Q8TCZ8
D009203,Q8TCZ8
D009410,Q8TCZ8
D019954,Q8TCZ8
D009765,Q8TCZ8
D011507,Q8TCZ8
D011565,Q8TCZ8
D051437,Q8TCZ8
D012559,Q8TCZ8
D012640,Q8TCZ8
D013163,Q8TCZ8
D006528,Q13790
D056486,P02749
D065626,P02749
D005923,Q2KHQ6
D019970,Q9BQE5
D012559,Q9BQE5
D012559,Q9BRG6
D000544,Q9BYY9
D000647,Q9BYY9
D001008,Q9BYY9
D001927,Q9BYY9
D009202,Q9BYY9
D003072,Q9BYY9
D003704,Q9BYY9
D004195,Q9BYY9
D007859,Q9BYY9
D008106,Q9BYY9
D008569,Q9BYY9
D009336,Q9BYY9
D009410,Q9BYY9
D019636,Q9BYY9
D010243,Q9BYY9
D013118,Q9BYY9
D013163,Q9BYY9
D015430,Q9BYY9
D019636,Q9UKG1
D008106,Q9UKG1
D011471,Q8NEU8
D019966,Q8NEU8
D001943,Q12898
D002292,Q12898
D002277,Q8TCV1
D006973,Q8TCV1
D006980,Q8TCV1
D015674,Q8TCV1
D008325,Q8TCV1
D010146,Q8TCV1
D012772,Q8TCV1
D013119,Q8TCV1
D009202,Q8NHX2
D018500,Q8NHX2
D002294,Q92482
D004938,Q92482
D010051,Q92482
D012878,Q92482
D001749,Q92482
D001321,Q9H3V7
D004195,Q9H3V7
D013119,Q9H3V7
D013226,Q9H3V7
D008106,Q6P5T0
D009765,Q6P5T0
D007938,Q6FGT0
D015470,Q6FGT0
