,src,dst,similarity
527,DB00014,DB01222,0.42024394108000385
528,DB00014,DB01223,0.4162409527898326
529,DB00014,DB01224,0.48249780119691504
533,DB00014,DB01231,0.4912868979788771
535,DB00014,DB01233,0.48200690423604026
536,DB00014,DB01234,0.4159432758574446
537,DB00014,DB01235,0.4669178187102221
538,DB00014,DB01238,0.47075072908550575
539,DB00014,DB01240,0.49542869521204813
547,DB00014,DB01260,0.41892348832882814
550,DB00014,DB01267,0.4859664368310783
559,DB00014,DB01359,0.4596423528545324
560,DB00014,DB01364,0.4430463463894166
567,DB00014,DB01403,0.47996683607754353
569,DB00014,DB01410,0.42712886311337434
576,DB00014,DB01623,0.48534937660746835
583,DB00014,DB04861,0.45273912961201096
585,DB00035,DB00014,0.522597193388572
586,DB00035,DB00035,1.0
587,DB00035,DB00067,0.8333333333333334
589,DB00035,DB00104,0.531622412142811
595,DB00035,DB00131,0.4489963298324153
607,DB00035,DB00177,0.5121833584927172
611,DB00035,DB00181,0.4412995227059063
613,DB00035,DB00186,0.464322359171857
614,DB00035,DB00187,0.4635022154112503
618,DB00035,DB00193,0.4404817210966894
621,DB00035,DB00201,0.48696783345290423
627,DB00035,DB00211,0.49765166567870595
631,DB00035,DB00216,0.494040418321325
633,DB00035,DB00221,0.4939571155882942
639,DB00035,DB00240,0.4504060464601903
643,DB00035,DB00245,0.47837267423703084
644,DB00035,DB00246,0.5119009846692151
645,DB00035,DB00248,0.5095815166451775
650,DB00035,DB00264,0.49506998587875045
651,DB00035,DB00268,0.4893225250344467
653,DB00035,DB00273,0.4475149678102939
654,DB00035,DB00275,0.5088876423641149
655,DB00035,DB00277,0.44560318319145725
664,DB00035,DB00287,0.463174296929628
667,DB00035,DB00295,0.45852398308018477
669,DB00035,DB00302,0.4606134763048953
676,DB00035,DB00315,0.47009871141255455
678,DB00035,DB00318,0.4467991469641017
681,DB00035,DB00323,0.41648818368042884
682,DB00035,DB00324,0.44888217243377654
688,DB00035,DB00333,0.4493752127950866
689,DB00035,DB00334,0.4795993837206108
690,DB00035,DB00335,0.49630074123813933
693,DB00035,DB00342,0.4878882513659306
695,DB00035,DB00346,0.4796133888822292
699,DB00035,DB00353,0.4888189480261089
700,DB00035,DB00354,0.47645984438326733
704,DB00035,DB00363,0.5076759977080526
706,DB00035,DB00366,0.4605381058562336
708,DB00035,DB00368,0.49570082582272307
709,DB00035,DB00371,0.45588284661145134
712,DB00035,DB00376,0.4304499513179641
719,DB00035,DB00387,0.4289135471532007
720,DB00035,DB00388,0.49578180506424707
723,DB00035,DB00394,0.4557139891756356
726,DB00035,DB00398,0.4040067640817964
729,DB00035,DB00404,0.45782154377409884
730,DB00035,DB00407,0.44864166754707285
731,DB00035,DB00408,0.4948600410558093
733,DB00035,DB00413,0.4689473538587065
738,DB00035,DB00424,0.42928671209441216
740,DB00035,DB00433,0.4233903058255599
746,DB00035,DB00443,0.4500536745532151
750,DB00035,DB00449,0.48072007591917904
751,DB00035,DB00451,0.44485935626933276
752,DB00035,DB00454,0.49222847870919706
753,DB00035,DB00457,0.48220585206950756
759,DB00035,DB00470,0.43734589154657405
760,DB00035,DB00471,0.4514248428527455
762,DB00035,DB00475,0.45821380709088655
764,DB00035,DB00477,0.48228590543631683
768,DB00035,DB00484,0.4739030296192645
770,DB00035,DB00490,0.4288901996345391
773,DB00035,DB00494,0.41661038505046993
774,DB00035,DB00497,0.4305700659695577
778,DB00035,DB00502,0.4886562563370678
779,DB00035,DB00508,0.4592760094228365
780,DB00035,DB00514,0.4489401443405356
783,DB00035,DB00521,0.4961014459493431
806,DB00035,DB00559,0.5150127260361236
811,DB00035,DB00571,0.5021835809588165
812,DB00035,DB00572,0.4620034555714669
814,DB00035,DB00575,0.495713340880686
820,DB00035,DB00588,0.45693185780324647
821,DB00035,DB00590,0.4899874202452383
822,DB00035,DB00591,0.4638990571727441
826,DB00035,DB00598,0.5098566123124789
828,DB00035,DB00604,0.4894788164229206
831,DB00035,DB00611,0.45091119373101574
832,DB00035,DB00612,0.496201050836182
834,DB00035,DB00620,0.4500536745532151
836,DB00035,DB00623,0.45005071242927935
841,DB00035,DB00635,0.45409946192741607
843,DB00035,DB00637,0.5068047382438795
844,DB00035,DB00640,0.450748367069117
848,DB00035,DB00647,0.4477726938372359
850,DB00035,DB00651,0.48306856066604925
851,DB00035,DB00652,0.4604424662589739
853,DB00035,DB00654,0.4648436079903584
856,DB00035,DB00659,0.4590858694474526
858,DB00035,DB00668,0.48029803980167457
859,DB00035,DB00669,0.4677908054393656
863,DB00035,DB00678,0.509160209769436
864,DB00035,DB00679,0.4750254451425991
872,DB00035,DB00696,0.5186785397830925
874,DB00035,DB00704,0.44889704884297177
879,DB00035,DB00714,0.46810758677449793
889,DB00035,DB00734,0.5161929450991016
891,DB00035,DB00741,0.4626758064365199
894,DB00035,DB00747,0.4619284716472838
904,DB00035,DB00764,0.44924180922899826
917,DB00035,DB00796,0.5216677907624053
918,DB00035,DB00800,0.48510768026511575
922,DB00035,DB00810,0.47514327475350804
923,DB00035,DB00813,0.4560072142508293
925,DB00035,DB00816,0.4696752891477927
929,DB00035,DB00829,0.46757117658421404
930,DB00035,DB00831,0.4616578500972368
933,DB00035,DB00844,0.45075830228025077
934,DB00035,DB00846,0.4504312175604656
939,DB00035,DB00860,0.45059600262484123
941,DB00035,DB00863,0.4748718227666842
947,DB00035,DB00876,0.5131027507856799
956,DB00035,DB00899,0.45073977870742404
957,DB00035,DB00901,0.4786690031808026
960,DB00035,DB00905,0.43935135558647115
967,DB00035,DB00917,0.4301634247576851
969,DB00035,DB00921,0.4610948228859781
974,DB00035,DB00929,0.4189250628907444
975,DB00035,DB00933,0.45396367997492665
978,DB00035,DB00938,0.5077063912417572
982,DB00035,DB00949,0.47519762419873307
983,DB00035,DB00952,0.4715367918824623
984,DB00035,DB00953,0.4542860362374424
985,DB00035,DB00956,0.43094491913406313
988,DB00035,DB00959,0.4504122746967938
989,DB00035,DB00960,0.5017828581562949
991,DB00035,DB00966,0.45077425747657385
992,DB00035,DB00968,0.4582422966124778
997,DB00035,DB00983,0.5016322085023913
999,DB00035,DB00988,0.48982382186083523
1010,DB00035,DB01001,0.49449399798460175
1017,DB00035,DB01013,0.45253860924613676
1021,DB00035,DB01018,0.4766866113774693
1025,DB00035,DB01029,0.45719294061989624
1032,DB00035,DB01043,0.4611055343366439
1036,DB00035,DB01062,0.4693350715495119
1040,DB00035,DB01068,0.46003593437397106
1041,DB00035,DB01069,0.46636902516157797
1045,DB00035,DB01075,0.4878654971109602
1049,DB00035,DB01085,0.4248977091008423
1062,DB00035,DB01118,0.4489428638927497
1071,DB00035,DB01136,0.47759052246248607
1073,DB00035,DB01142,0.47134125648665653
1080,DB00035,DB01162,0.48658272537430397
1085,DB00035,DB01173,0.4663055025241267
1086,DB00035,DB01174,0.44011482251330664
1088,DB00035,DB01176,0.44071755963466397
1096,DB00035,DB01192,0.43088388211256984
1097,DB00035,DB01193,0.49821120284633397
1102,DB00035,DB01200,0.5196182681220453
1104,DB00035,DB01203,0.495218233303452
1107,DB00035,DB01214,0.4947399609887841
1111,DB00035,DB01221,0.43937876089602895
1112,DB00035,DB01222,0.45292822382350567
1113,DB00035,DB01223,0.43768473101963395
1114,DB00035,DB01224,0.5075152312596131
1115,DB00035,DB01225,0.4549357206327452
1118,DB00035,DB01231,0.46866381372883575
1120,DB00035,DB01233,0.47879550798733067
1121,DB00035,DB01234,0.4524283680164081
1122,DB00035,DB01235,0.4650247938901603
1123,DB00035,DB01238,0.5138289425269494
1124,DB00035,DB01240,0.5051688355698182
1132,DB00035,DB01260,0.4503290865358845
1135,DB00035,DB01267,0.5165471348762186
1142,DB00035,DB01351,0.4189170364797779
1144,DB00035,DB01359,0.5016256175716095
1145,DB00035,DB01364,0.46515340137723177
1152,DB00035,DB01403,0.4900178702923578
1154,DB00035,DB01410,0.46037770074734646
1161,DB00035,DB01623,0.4658569430937563
1168,DB00035,DB04861,0.5028663813620097
1170,DB00067,DB00014,0.45427077568456103
1171,DB00067,DB00035,0.8333333333333334
1172,DB00067,DB00067,0.8333333333333334
1174,DB00067,DB00104,0.45685518681692655
1180,DB00067,DB00131,0.44571707543131067
1192,DB00067,DB00177,0.49835092850175067
1196,DB00067,DB00181,0.43782603093259737
1198,DB00067,DB00186,0.45918779826534134
1199,DB00067,DB00187,0.4574502396191535
1203,DB00067,DB00193,0.4372276683218699
1206,DB00067,DB00201,0.48606758138232453
1212,DB00067,DB00211,0.49346105265188595
1216,DB00067,DB00216,0.4812832166752345
1218,DB00067,DB00221,0.4907231953583265
1224,DB00067,DB00240,0.4432946343369258
1228,DB00067,DB00245,0.47162147076162864
1229,DB00067,DB00246,0.49869850774434066
1230,DB00067,DB00248,0.4929489099240148
1235,DB00067,DB00264,0.4907231953583265
1236,DB00067,DB00268,0.48331001902194065
1237,DB00067,DB00270,0.42907138993402444
1238,DB00067,DB00273,0.446139451991862
1239,DB00067,DB00275,0.49835092850175067
1240,DB00067,DB00277,0.44439501598111536
1249,DB00067,DB00287,0.45055462765199533
1252,DB00067,DB00295,0.4533894221736692
1260,DB00067,DB00313,0.4190554472846652
1261,DB00067,DB00315,0.4625583164394845
1263,DB00067,DB00318,0.4419436421085969
1266,DB00067,DB00323,0.41253398160299737
1267,DB00067,DB00324,0.4432946343369258
1273,DB00067,DB00333,0.44521143763894505
1274,DB00067,DB00334,0.4735312795613083
1275,DB00067,DB00335,0.4907231953583265
1278,DB00067,DB00342,0.476661999207036
1280,DB00067,DB00346,0.4702969737016165
1284,DB00067,DB00353,0.477806514633569
1285,DB00067,DB00354,0.4668262548966875
1289,DB00067,DB00363,0.5017152683952897
1291,DB00067,DB00366,0.45808110339923114
1293,DB00067,DB00368,0.49368912136039683
1294,DB00067,DB00371,0.4535947926615476
1297,DB00067,DB00376,0.42277959812495663
1300,DB00067,DB00381,0.4222681033769577
1304,DB00067,DB00387,0.42205851615653883
1305,DB00067,DB00388,0.49346105265188595
1307,DB00067,DB00393,0.4456676464308882
1308,DB00067,DB00394,0.4432946343369258
1311,DB00067,DB00398,0.43104555216709617
1313,DB00067,DB00401,0.43764686088805654
1314,DB00067,DB00404,0.45368546081942096
1316,DB00067,DB00408,0.48944235493207633
1318,DB00067,DB00413,0.465722332561396
1323,DB00067,DB00424,0.42205851615653883
1325,DB00067,DB00433,0.41535677456464487
1331,DB00067,DB00443,0.4432946343369258
1335,DB00067,DB00449,0.47679783853855146
1336,DB00067,DB00451,0.4390063196443907
1337,DB00067,DB00454,0.48864938064191005
1338,DB00067,DB00457,0.47420721353989553
1344,DB00067,DB00470,0.431445669558024
1345,DB00067,DB00471,0.43238475846455987
1347,DB00067,DB00475,0.45368546081942096
1349,DB00067,DB00477,0.47793859019721446
1353,DB00067,DB00484,0.4703633127966103
1355,DB00067,DB00490,0.4170641126780173
1358,DB00067,DB00494,0.41253398160299737
1359,DB00067,DB00497,0.42491144970541117
1363,DB00067,DB00502,0.4788591954553323
1364,DB00067,DB00508,0.455027530837465
1365,DB00067,DB00514,0.4438914391849167
1368,DB00067,DB00521,0.4907231953583265
1391,DB00067,DB00559,0.5039085012659551
1396,DB00067,DB00571,0.4974694145905148
1397,DB00067,DB00572,0.4547752596335935
1399,DB00067,DB00575,0.4930447334085852
1405,DB00067,DB00588,0.44731231608253746
1406,DB00067,DB00590,0.47714552564884066
1407,DB00067,DB00591,0.4577362287588615
1411,DB00067,DB00598,0.49811023810655786
1413,DB00067,DB00604,0.4760733866606135
1416,DB00067,DB00611,0.4419436421085969
1417,DB00067,DB00612,0.4907231953583265
1419,DB00067,DB00620,0.4432946343369258
1421,DB00067,DB00623,0.43990186263225634
1426,DB00067,DB00635,0.445650387853342
1428,DB00067,DB00637,0.4907263068713305
1429,DB00067,DB00640,0.4481552506146143
1433,DB00067,DB00647,0.4414909972028422
1435,DB00067,DB00651,0.48009661582534546
1436,DB00067,DB00652,0.4552470476735447
1438,DB00067,DB00654,0.45055462765199533
1441,DB00067,DB00659,0.45749856786015103
1442,DB00067,DB00661,0.41949130489656367
1443,DB00067,DB00668,0.47786406146408184
1444,DB00067,DB00669,0.4625583164394845
1448,DB00067,DB00678,0.49835092850175067
1449,DB00067,DB00679,0.46613343625059017
1457,DB00067,DB00696,0.49057650779000994
1459,DB00067,DB00704,0.43944869203546005
1464,DB00067,DB00714,0.46232137823238384
1474,DB00067,DB00734,0.502629726708297
1476,DB00067,DB00741,0.45507387139851013
1479,DB00067,DB00747,0.4552476155517417
1489,DB00067,DB00764,0.44259990897007667
1502,DB00067,DB00796,0.49835092850175067
1503,DB00067,DB00800,0.47825264926845384
1507,DB00067,DB00810,0.466726963705618
1508,DB00067,DB00813,0.4455610386134355
1510,DB00067,DB00816,0.46714272764272763
1514,DB00067,DB00829,0.46288886269137386
1515,DB00067,DB00831,0.45383738086908315
1518,DB00067,DB00844,0.4419436421085969
1519,DB00067,DB00846,0.4432946343369258
1524,DB00067,DB00860,0.4432946343369258
1526,DB00067,DB00863,0.4697980764539998
1532,DB00067,DB00876,0.49835092850175067
1541,DB00067,DB00899,0.4419436421085969
1542,DB00067,DB00901,0.46714272764272763
1545,DB00067,DB00905,0.4240310213246327
1552,DB00067,DB00917,0.4190246642410362
1554,DB00067,DB00921,0.4531736068722765
1559,DB00067,DB00929,0.40891001136822497
1560,DB00067,DB00933,0.44465919055878333
1563,DB00067,DB00938,0.49168635162856833
1567,DB00067,DB00949,0.47017462734567084
1568,DB00067,DB00952,0.4625583164394845
1569,DB00067,DB00953,0.44978633227059817
1570,DB00067,DB00956,0.42487681497476065
1573,DB00067,DB00959,0.4432946343369258
1574,DB00067,DB00960,0.4974694145905148
1576,DB00067,DB00966,0.434511502374533
1577,DB00067,DB00968,0.4554645188347
1582,DB00067,DB00983,0.49168635162856833
1584,DB00067,DB00988,0.48761793950789406
1595,DB00067,DB01001,0.49168635162856833
1602,DB00067,DB01013,0.4432946343369258
1606,DB00067,DB01018,0.47341626254026004
1609,DB00067,DB01023,0.45271340473153865
1610,DB00067,DB01029,0.4433605106289296
1617,DB00067,DB01043,0.4601403998210208
1621,DB00067,DB01062,0.46197367288376534
1625,DB00067,DB01068,0.4540288672361618
1626,DB00067,DB01069,0.4629568590243853
1630,DB00067,DB01075,0.4846114443361407
1634,DB00067,DB01085,0.42205851615653883
1645,DB00067,DB01113,0.44141455475470814
1646,DB00067,DB01115,0.43212792254770666
1647,DB00067,DB01118,0.43812326528304
1656,DB00067,DB01136,0.46575081390146594
1658,DB00067,DB01142,0.467114416049883
1665,DB00067,DB01162,0.47714552564884066
1670,DB00067,DB01173,0.46259263123699795
1671,DB00067,DB01174,0.435527112746314
1673,DB00067,DB01176,0.43658191033772437
1681,DB00067,DB01192,0.42487681497476065
1682,DB00067,DB01193,0.4907231953583265
1687,DB00067,DB01200,0.49745542624842054
1689,DB00067,DB01203,0.4907231953583265
1692,DB00067,DB01214,0.4907231953583265
1696,DB00067,DB01221,0.43575688476419266
1697,DB00067,DB01222,0.4432946343369258
1698,DB00067,DB01223,0.43550261259547735
1699,DB00067,DB01224,0.49798977230568164
1703,DB00067,DB01231,0.46197367288376534
1705,DB00067,DB01233,0.47399123752469713
1706,DB00067,DB01234,0.44566932780011886
1707,DB00067,DB01235,0.4616134878472753
1708,DB00067,DB01238,0.49869850774434066
1709,DB00067,DB01240,0.4951605934881038
1712,DB00067,DB01244,0.45405285385704414
1717,DB00067,DB01260,0.4432946343369258
1720,DB00067,DB01267,0.502629726708297
1727,DB00067,DB01351,0.41578714602594385
1729,DB00067,DB01359,0.49673405698697964
1730,DB00067,DB01364,0.4630182134806968
1737,DB00067,DB01403,0.4855572052477511
1739,DB00067,DB01410,0.4432946343369258
1746,DB00067,DB01623,0.4560066672860337
1753,DB00067,DB04861,0.4907231953583265
1758,DB00091,DB00091,1.0
1764,DB00091,DB00126,0.40124842271677724
1779,DB00091,DB00179,0.4223582268259613
1807,DB00091,DB00230,0.40882017845014557
1847,DB00091,DB00316,0.41577546789887215
1873,DB00091,DB00361,0.43916131189911484
1896,DB00091,DB00398,0.4185109933669213
1935,DB00091,DB00480,0.4652797094880606
1957,DB00091,DB00530,0.47995271318236704
1964,DB00091,DB00541,0.46515062325907147
1980,DB00091,DB00570,0.41863206498085254
1993,DB00091,DB00593,0.47814508886352686
2003,DB00091,DB00619,0.40445006591701027
2016,DB00091,DB00642,0.424121377240889
2112,DB00091,DB00864,0.4875118324570211
2176,DB00091,DB00996,0.4580570733180256
2200,DB00091,DB01041,0.4018492107587665
2218,DB00091,DB01083,0.417950413128721
2287,DB00091,DB01229,0.46067876957423937
2296,DB00091,DB01242,0.4038273486214032
2297,DB00091,DB01244,0.5108764636757774
2298,DB00091,DB01248,0.46200115087514915
2299,DB00091,DB01254,0.5216687646535138
2301,DB00091,DB01259,0.475496755280167
2306,DB00091,DB01268,0.46090641991728004
2318,DB00091,DB01394,0.43854528291431943
2330,DB00091,DB01590,0.43926341813685116
2339,DB00091,DB06287,0.4400944179408055
2340,DB00104,DB00014,0.5062368180175095
2341,DB00104,DB00035,0.531622412142811
2342,DB00104,DB00067,0.45685518681692655
2344,DB00104,DB00104,1.0
2350,DB00104,DB00131,0.47869738396595896
2362,DB00104,DB00177,0.5121401255894436
2366,DB00104,DB00181,0.44680079113591287
2368,DB00104,DB00186,0.48114365258259145
2369,DB00104,DB00187,0.5269671016813874
2373,DB00104,DB00193,0.5109623173184862
2376,DB00104,DB00201,0.4524470947614904
2382,DB00104,DB00211,0.4680493190602191
2383,DB00104,DB00213,0.4372995543288609
2386,DB00104,DB00216,0.5523530604425603
2388,DB00104,DB00221,0.5062217513453914
2394,DB00104,DB00240,0.43919502407411787
2398,DB00104,DB00245,0.45902884919164916
2399,DB00104,DB00246,0.5506722530638052
2400,DB00104,DB00248,0.5149387784580269
2405,DB00104,DB00264,0.5073596895983532
2406,DB00104,DB00268,0.5080115856026124
2408,DB00104,DB00273,0.4931583107834286
2409,DB00104,DB00275,0.5080254286598417
2410,DB00104,DB00277,0.43254446128408514
2419,DB00104,DB00287,0.4341201431276233
2422,DB00104,DB00295,0.4587422475456347
2431,DB00104,DB00315,0.4680605411439691
2433,DB00104,DB00318,0.47750389882625693
2434,DB00104,DB00320,0.4246132896678207
2437,DB00104,DB00324,0.43714109803569706
2443,DB00104,DB00333,0.4884873857678577
2444,DB00104,DB00334,0.5021286892781646
2445,DB00104,DB00335,0.5085812443364387
2447,DB00104,DB00338,0.4311438540972583
2448,DB00104,DB00342,0.4764658511382302
2450,DB00104,DB00346,0.4560723897995731
2454,DB00104,DB00353,0.4827390831830933
2455,DB00104,DB00354,0.41584557333133726
2459,DB00104,DB00363,0.5296172998465875
2461,DB00104,DB00366,0.44470739596747916
2463,DB00104,DB00368,0.4566361991501006
2464,DB00104,DB00371,0.46195791982337714
2467,DB00104,DB00376,0.4557102428569835
2474,DB00104,DB00387,0.4558130275685337
2475,DB00104,DB00388,0.465020128632388
2478,DB00104,DB00394,0.44463190774646805
2484,DB00104,DB00404,0.46522215836378344
2486,DB00104,DB00408,0.5317661940610378
2488,DB00104,DB00413,0.5123448182509659
2493,DB00104,DB00424,0.4587047257186154
2495,DB00104,DB00433,0.5236215785651607
2501,DB00104,DB00443,0.43821934496328835
2504,DB00104,DB00448,0.43973712283551963
2505,DB00104,DB00449,0.4823798909268664
2506,DB00104,DB00451,0.43664885119256996
2507,DB00104,DB00454,0.5159957271288286
2508,DB00104,DB00457,0.451119296525186
2514,DB00104,DB00470,0.4695783431868528
2515,DB00104,DB00471,0.4983240360278976
2517,DB00104,DB00475,0.46593371494735236
2519,DB00104,DB00477,0.5204484730218003
2523,DB00104,DB00484,0.4581178149086898
2525,DB00104,DB00490,0.5325749228789434
2529,DB00104,DB00497,0.4586274050754235
2533,DB00104,DB00502,0.5263720674195134
2534,DB00104,DB00508,0.5195545593251425
2535,DB00104,DB00514,0.5447614194886125
2538,DB00104,DB00521,0.50867357692558
2561,DB00104,DB00559,0.4907856633044611
2566,DB00104,DB00571,0.48810304548539113
2567,DB00104,DB00572,0.4817958781228698
2569,DB00104,DB00575,0.47314756768647
2575,DB00104,DB00588,0.4293272405876565
2576,DB00104,DB00590,0.46455869051740617
2577,DB00104,DB00591,0.4518206613953391
2581,DB00104,DB00598,0.48612681322776713
2583,DB00104,DB00604,0.5054730359950304
2586,DB00104,DB00611,0.47930013625996176
2587,DB00104,DB00612,0.508884954091333
2589,DB00104,DB00620,0.43834881238054946
2591,DB00104,DB00623,0.447928135614955
2596,DB00104,DB00635,0.44275211332839143
2598,DB00104,DB00637,0.46916485121447854
2599,DB00104,DB00640,0.46062793850165806
2603,DB00104,DB00647,0.46103277213818
2605,DB00104,DB00651,0.5047199915978566
2606,DB00104,DB00652,0.42777343692321906
2608,DB00104,DB00654,0.4355862889300184
2611,DB00104,DB00659,0.4868393802898712
2613,DB00104,DB00668,0.4678307680955536
2614,DB00104,DB00669,0.46492347699909803
2618,DB00104,DB00678,0.507430285975981
2619,DB00104,DB00679,0.5003900928265423
2627,DB00104,DB00696,0.5354357062160053
2629,DB00104,DB00704,0.47510753412776513
2634,DB00104,DB00714,0.5151938486853834
2644,DB00104,DB00734,0.5610625790830587
2645,DB00104,DB00736,0.436908735124014
2646,DB00104,DB00741,0.43697763708363274
2649,DB00104,DB00747,0.4920227819516829
2659,DB00104,DB00764,0.44091645638637145
2672,DB00104,DB00796,0.5214803498772785
2673,DB00104,DB00800,0.4659041070192904
2677,DB00104,DB00810,0.4669321070902597
2678,DB00104,DB00813,0.4676154346782615
